cell_type	contrast	n_genes_tested	n_padj_05	n_padj_05_lfc_1	top5_up	top5_down
Lymphatic.endothelial	SBRT_vs_Ctrl	909	22	6	Col1a1,Gzmb,Ccnd1,Hmgb2,Clu	H2-DMb1
Lymphatic.endothelial	MBRT_vs_SBRT	909	0	0	""	""
Macrophage	MBRT_vs_Ctrl	947	0	0	""	""
Macrophage	SBRT_vs_Ctrl	947	29	10	Col1a1,Gzmb,Hmgb2,Ccnd1,Mki67	Fn1,Cxcr4,Cdkn1a,Col11a1,Cmklr1
Macrophage	MBRT_vs_SBRT	947	3	2	Cdkn1a	Top2a,Hmgb2
Memory.B	MBRT_vs_Ctrl	346	0	0	""	""
Memory.B	SBRT_vs_Ctrl	346	4	4	Ccl8,Col1a1,Col1a2	H2-T23
Memory.B	MBRT_vs_SBRT	346	0	0	""	""
Microglia	MBRT_vs_Ctrl	381	0	0	""	""
Microglia	SBRT_vs_Ctrl	381	0	0	""	""
Microglia	MBRT_vs_SBRT	381	0	0	""	""
NK	MBRT_vs_Ctrl	36	0	0	""	""
NK	SBRT_vs_Ctrl	36	4	4	Col1a1,Col1a2,Krt8	H2-Ab1
NK	MBRT_vs_SBRT	36	0	0	""	""
NKT	MBRT_vs_Ctrl	950	1	1	Col3a1	""
NKT	SBRT_vs_Ctrl	950	22	5	Col3a1,Col1a1,Acta2,Col1a2,Lair1	Cdkn1a,Ifit3/b,Tnfsf4,Icam2,Cd28
NKT	MBRT_vs_SBRT	950	4	1	Cdkn1a,Pdcd1,Tnfsf4	Acta2
PerC.macrophage	MBRT_vs_Ctrl	947	3	1	Pf4,Cxcl3	Ciita
PerC.macrophage	SBRT_vs_Ctrl	947	51	18	Cd163,Top2a,Acta2,Pf4,Il4ra	Cdkn1a,Ifit3/b,Acvrl1,Ccrl2,Il12rb1
PerC.macrophage	MBRT_vs_SBRT	947	10	5	Cdkn1a	Top2a,Hmgb2,Lair1,Nusap1,Mki67
Pericyte	MBRT_vs_Ctrl	950	2	0	Gpx3	Ifit3/b
Pericyte	SBRT_vs_Ctrl	950	130	22	Acta2,Col5a1,Col5a3,Ffar2,Angptl1	Cdkn1a,Ifit3/b,Ccl21a/b/d,Acvr1b,Tnfrsf13b
Pericyte	MBRT_vs_SBRT	950	20	1	Cdkn1a,Cmklr1,Cxcr4,Ccl11,Csf3r	Top2a,Actg2,Hmgb2,Col5a3,Igfbp3
Plasma	MBRT_vs_Ctrl	531	0	0	""	""
Plasma	SBRT_vs_Ctrl	531	3	2	Ccnd1,Mki67,Hmgb2	""
Plasma	MBRT_vs_SBRT	531	2	2	Cdkn1a	Hmgb2
Plasmablast	MBRT_vs_Ctrl	189	0	0	""	""
Plasmablast	SBRT_vs_Ctrl	189	0	0	""	""
Plasmablast	MBRT_vs_SBRT	189	0	0	""	""
small.peritoneal.macs	MBRT_vs_Ctrl	573	1	1	S100a9	""
small.peritoneal.macs	SBRT_vs_Ctrl	573	8	4	Arg1,Col1a1,Hmgb2,Stmn1,Ccnd1	Cdkn1a,Cxcl9,Bax
small.peritoneal.macs	MBRT_vs_SBRT	573	1	1	Cdkn1a	""
Spleen.CD4Act.48hrs	MBRT_vs_Ctrl	88	0	0	""	""
Spleen.CD4Act.48hrs	SBRT_vs_Ctrl	88	0	0	""	""
Spleen.CD4Act.48hrs	MBRT_vs_SBRT	88	0	0	""	""
