sample_id	cell_type	pathway_name	pathway_source	tier	score_type	mean	sd	median	n_cells	condition	treatment	timepoint_h	dataset	slide_id	n_set_genes	n_panel_genes	panel_coverage_frac
sam0004	Adipocyte	DNA_Damage_Repair	nanostring	primary	UCell	0.0508020068878322	0.0523995592685868	0.0521074571560908	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	18	17	0.9444
sam0005	Adipocyte	DNA_Damage_Repair	nanostring	primary	UCell	0.0452322254595189	0.0497807299610638	0.0511811023622047	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	18	17	0.9444
sam0006	Adipocyte	DNA_Damage_Repair	nanostring	primary	UCell	0.0615058183785536	0.0578599425892907	0.054423344140806	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	18	17	0.9444
sam0007	Adipocyte	DNA_Damage_Repair	nanostring	primary	UCell	0.0540060419573818	0.0539721517670967	0.0534969893469198	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	18	17	0.9444
sam0008	Adipocyte	DNA_Damage_Repair	nanostring	primary	UCell	0.0489497070784704	0.0522158323261057	0.0523390458545623	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	18	17	0.9444
sam0001	Adipocyte	Fibrosis_remodeling	nanostring	primary	AMS	0.0157368663606891	0.100911265865924	0.00753424087629256	1393	Control	NT	0	Mutter_01	sld0002	140	136	0.9714
sam0002	Adipocyte	Fibrosis_remodeling	nanostring	primary	AMS	0.0230093831357226	0.0931065839416451	0.0171371708162728	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	140	136	0.9714
sam0003	Adipocyte	Fibrosis_remodeling	nanostring	primary	AMS	0.00974878815207365	0.092661178146722	0.00414030366537715	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	140	136	0.9714
sam0004	Adipocyte	Fibrosis_remodeling	nanostring	primary	AMS	-0.00163395179886457	0.0910719165244076	-0.00589456286557843	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	140	136	0.9714
sam0005	Adipocyte	Fibrosis_remodeling	nanostring	primary	AMS	-0.00947810967527273	0.0854384408086323	-0.0164062752529079	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	140	136	0.9714
sam0006	Adipocyte	Fibrosis_remodeling	nanostring	primary	AMS	0.0134196114560667	0.0944861422657261	0.0026570432363498	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	140	136	0.9714
sam0007	Adipocyte	Fibrosis_remodeling	nanostring	primary	AMS	-0.000934841314474056	0.0889718117924807	-0.00880192439040639	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	140	136	0.9714
sam0008	Adipocyte	Fibrosis_remodeling	nanostring	primary	AMS	-0.018110218623357	0.0849736684553039	-0.0246569852580417	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	140	136	0.9714
sam0001	Adipocyte	Fibrosis_remodeling	nanostring	primary	UCell	0.0768725357256248	0.0399793758736093	0.0722222222222222	1393	Control	NT	0	Mutter_01	sld0002	140	136	0.9714
sam0002	Adipocyte	Fibrosis_remodeling	nanostring	primary	UCell	0.0764827186200603	0.0387498618685791	0.072739651416122	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	140	136	0.9714
sam0003	Adipocyte	Fibrosis_remodeling	nanostring	primary	UCell	0.0740567529783217	0.0373687549741826	0.0679738562091503	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	140	136	0.9714
sam0004	Adipocyte	Fibrosis_remodeling	nanostring	primary	UCell	0.0671828273209958	0.035700142464525	0.0636710239651416	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	140	136	0.9714
sam0005	Adipocyte	Fibrosis_remodeling	nanostring	primary	UCell	0.0607516368863818	0.031992039374507	0.0544662309368191	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	140	136	0.9714
sam0006	Adipocyte	Fibrosis_remodeling	nanostring	primary	UCell	0.0764603940209477	0.0381549415717797	0.0724128540305011	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	140	136	0.9714
sam0007	Adipocyte	Fibrosis_remodeling	nanostring	primary	UCell	0.0674120214256971	0.034967815795446	0.0645152505446623	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	140	136	0.9714
sam0008	Adipocyte	Fibrosis_remodeling	nanostring	primary	UCell	0.0583199946645326	0.032547813807372	0.0536492374727668	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	140	136	0.9714
sam0001	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	AMS	0.105348460673338	0.286222096213702	0.0822480129481428	1393	Control	NT	0	Mutter_01	sld0002	200	19	0.095
sam0002	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	AMS	0.125969653034034	0.297937970047599	0.0899906063477141	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	200	19	0.095
sam0003	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	AMS	0.0605532532345323	0.262025658507792	0.0382555768451767	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	200	19	0.095
sam0004	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	AMS	0.0884658936388383	0.283569822546746	0.0582595909776086	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	200	19	0.095
sam0005	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	AMS	0.10040299766669	0.284486262112586	0.0777432149018602	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	200	19	0.095
sam0006	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	AMS	0.0534224345157365	0.2659876663215	0.0227808355657244	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	200	19	0.095
sam0007	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	AMS	0.0308987262132915	0.24247722387479	-0.0242322553060784	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	200	19	0.095
sam0008	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	AMS	0.131407833969568	0.301136710097933	0.107350594889489	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	200	19	0.095
sam0001	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	UCell	0.0506478267935933	0.0485912138645533	0.0480367585630743	1393	Control	NT	0	Mutter_01	sld0002	200	19	0.095
sam0002	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	UCell	0.0534577594428549	0.0504815508685018	0.0486633249791144	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	200	19	0.095
sam0003	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	UCell	0.0428467383354602	0.0441601016940452	0.0459482038429407	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	200	19	0.095
sam0004	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	UCell	0.04568608229085	0.0481839884045425	0.0467836257309942	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	200	19	0.095
sam0005	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	UCell	0.047333587717853	0.0476504541345628	0.0484544695071011	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	200	19	0.095
sam0006	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	UCell	0.0428972226849272	0.0448070282051115	0.0457393483709273	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	200	19	0.095
sam0007	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	UCell	0.0362358922784669	0.0413219790396715	0.0431286549707602	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	200	19	0.095
sam0008	Adipocyte	HALLMARK_ADIPOGENESIS	hallmark	exploratory	UCell	0.0522943937551887	0.0508827057994906	0.0494987468671679	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	200	19	0.095
sam0001	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	AMS	-0.00687371779228282	0.105516912798652	-0.0109952415111302	1393	Control	NT	0	Mutter_01	sld0002	192	95	0.4948
sam0002	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	AMS	-0.0242190281444853	0.0996904009705755	-0.0310295054482154	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	192	95	0.4948
sam0003	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	AMS	-0.00387562273162895	0.104935727720768	-0.00980200025491118	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	192	95	0.4948
sam0004	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	AMS	0.00614082068131555	0.104974568390914	-0.00364316643367996	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	192	95	0.4948
sam0005	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	AMS	0.0126229385649339	0.106245070911902	0.00550099075315386	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	192	95	0.4948
sam0006	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	AMS	-0.0121783680841945	0.103922117658586	-0.0189616552581893	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	192	95	0.4948
sam0007	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	AMS	0.00982895794228994	0.104593628890243	0.00347915437818482	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	192	95	0.4948
sam0008	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	AMS	0.0275098279925443	0.111064243037332	0.0177611873370032	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	192	95	0.4948
sam0001	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	UCell	0.0525469538396013	0.0288739320343789	0.0509569377990431	1393	Control	NT	0	Mutter_01	sld0002	192	95	0.4948
sam0002	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	UCell	0.0464742029046873	0.0273032775675056	0.0439593301435407	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	192	95	0.4948
sam0003	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	UCell	0.0526593422526436	0.0295595286515417	0.0462918660287082	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	192	95	0.4948
sam0004	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	UCell	0.0526355898982523	0.0299046237888238	0.0459330143540669	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	192	95	0.4948
sam0005	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	UCell	0.0512930886269075	0.0291347237738027	0.0454545454545454	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	192	95	0.4948
sam0006	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	UCell	0.0516522300525255	0.0295980474785847	0.0457236842105263	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	192	95	0.4948
sam0007	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	UCell	0.053687753329473	0.0294413216482889	0.0510765550239234	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	192	95	0.4948
sam0008	Adipocyte	HALLMARK_ALLOGRAFT_REJECTION	hallmark	exploratory	UCell	0.0551951807590904	0.0306848603172839	0.0541866028708135	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	192	95	0.4948
sam0001	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	AMS	0.108841201802088	0.351687296712575	0.0879837530446947	1393	Control	NT	0	Mutter_01	sld0002	96	16	0.1667
sam0002	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	AMS	0.0793718193457968	0.329977751688725	0.0547974498769071	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	96	16	0.1667
sam0003	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	AMS	0.110088634276787	0.336074825055569	0.0903728792643101	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	96	16	0.1667
sam0004	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	AMS	0.141318637991542	0.336623257745114	0.128643679634455	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	96	16	0.1667
sam0005	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	AMS	0.0684681851830341	0.309070116935216	0.0425605695442484	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	96	16	0.1667
sam0006	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	AMS	0.0706604361966903	0.332965533220505	0.0401986137327492	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	96	16	0.1667
sam0007	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	AMS	0.122153686100118	0.335228339809898	0.113754159913922	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	96	16	0.1667
sam0008	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	AMS	0.078944906418809	0.305084325224066	0.0710758927509183	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	96	16	0.1667
sam0001	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	UCell	0.0691414002787045	0.0604561412347389	0.0588235294117647	1393	Control	NT	0	Mutter_01	sld0002	96	16	0.1667
sam0002	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	UCell	0.0604065446237493	0.0562364075081867	0.0571078431372549	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	96	16	0.1667
sam0003	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	UCell	0.0680220106690703	0.057082151110866	0.0590686274509804	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	96	16	0.1667
sam0004	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	UCell	0.0696662229477198	0.0575484756370962	0.0598039215686275	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	96	16	0.1667
sam0005	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	UCell	0.0512691994551356	0.051576168691585	0.0561274509803922	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	96	16	0.1667
sam0006	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	UCell	0.0612399638999988	0.0560339763248059	0.0569852941176471	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	96	16	0.1667
sam0007	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	UCell	0.0676640751842137	0.0571687171077395	0.0595588235294118	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	96	16	0.1667
sam0008	Adipocyte	HALLMARK_ANDROGEN_RESPONSE	hallmark	exploratory	UCell	0.0550479422538254	0.0511228502658092	0.0573529411764706	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	96	16	0.1667
sam0001	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	AMS	-0.00235081259676548	0.229828166850702	-0.0549834925343834	1393	Control	NT	0	Mutter_01	sld0002	36	19	0.5278
sam0002	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	AMS	0.00617367586549063	0.23310194542804	-0.0570626796107268	678	MBRT_1h	MBRT	1	Mutter_01	sld0004	36	19	0.5278
sam0003	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	AMS	-0.0232550857352962	0.224104003693322	-0.0930629655851028	3003	MBRT_4h	MBRT	4	Mutter_01	sld0004	36	19	0.5278
sam0004	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	AMS	-0.00151515188661185	0.229108855720766	-0.0739970528298776	3027	MBRT_day2	MBRT	48	Mutter_01	sld0001	36	19	0.5278
sam0005	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	AMS	-0.036447557252028	0.214379354720141	-0.111675558702123	3757	MBRT_day6	MBRT	144	Mutter_01	sld0001	36	19	0.5278
sam0006	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	AMS	-0.0152492118260529	0.228195721047625	-0.0885893492144736	2618	SBRT_4h	SBRT	4	Mutter_01	sld0004	36	19	0.5278
sam0007	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	AMS	-0.0173990824627288	0.225818170508522	-0.0937702461882195	1570	SBRT_day2	SBRT	48	Mutter_01	sld0002	36	19	0.5278
sam0008	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	AMS	-0.0422049226624459	0.208065882137742	-0.112873033609649	3185	SBRT_day6	SBRT	144	Mutter_01	sld0002	36	19	0.5278
sam0001	Adipocyte	HALLMARK_ANGIOGENESIS	hallmark	exploratory	UCell	0.0354625496500284	0.0399076696977181	0.0421888053467001	1393	Control	NT	0	Mutter_01	sld0002	36	19	0.5278
