metric	ctrl_mean	mbrt_mean	sbrt_mean	within_sd	max_arm_gap	gap_sd	balanced	metric_label
specificity_fdr	7.525638549289049e-4	7.701378530154875e-4	6.956542568276099e-4	5.9083985117484775e-5	7.448359618787757e-5	1.2606393431277807	FALSE	specificity FDR
mecr	0.025750000000000002	0.02725	0.02325	0.005571123471938655	0.004	0.7179880360124328	TRUE	MECR (contamination)
snr	0.2238689274650465	0.2235839042024485	0.2126340458982345	0.02269916373061486	0.011234881566811988	0.494946937259158	TRUE	SNR (log10)
med_nFeature	60	57.5	60.5	10.669405185839802	3	0.2811778114848927	TRUE	genes/cell (median)
sparsity	0.9232207132471695	0.9242856840970295	0.9264171446222123	0.011448224765731046	0.003196431375042774	0.27920760121786975	TRUE	sparsity
tpc	152.51808290311826	153.0530738817465	156.268932072223	27.307442120510085	3.750849169104754	0.13735629842414146	TRUE	TPC (transcripts/cell)
