Embedding	Isolated labels	KMeans NMI	KMeans ARI	Silhouette label	cLISI	BRAS	iLISI	KBET	Graph connectivity	PCR comparison	Batch correction	Bio conservation	Total
X_pca	0.4074097	0.10482514204353159	-0.05734832740777381	0.30820483	0.95700306	0.3990657	0.10074949	0.06783260647473255	0.15573839946515855	0.0	0.144677240347753	0.34401888847351075	0.26428222922320765
X_harmony	0.46265367	0.20509215638740969	0.025255551474425268	0.42022866	0.970573	0.8599691	0.13057399	0.2738770030326664	0.2399626651224932	0.8878429289835804	0.4784451329188063	0.41676058769226076	0.441434405782879
X_scvi	0.49019602	0.13551298121499897	0.018195728473162684	0.46176264	0.955704	0.90865505	0.4674542	0.231107447146824	0.17932165503352573	0.8348597718746271	0.5242796232988494	0.41227426528930666	0.45707640849312375
Metric Type	Bio conservation	Bio conservation	Bio conservation	Bio conservation	Bio conservation	Batch correction	Batch correction	Batch correction	Batch correction	Batch correction	Aggregate score	Aggregate score	Aggregate score
