lineage	dataset	n_cells	marker_mean	neg_mean	recall_s2b
Adipocyte	Mutter_01	4	0.0	0.0	0.0
Adipocyte	Mutter_02	8	0.325	0.0	325000.0
B	Mutter_01	2	0.125	0.0	125000.0
B	Mutter_02	1	0.125	0.0	125000.0
Endothelial	Mutter_01	16	0.1063	0.0125	8.5
Endothelial	Mutter_02	20	0.1	0.0	100000.0
Epithelial	Mutter_01	189230	0.3255	0.0171	19.04
Epithelial	Mutter_02	1219165	0.5777	0.0169	34.12
Fibroblast	Mutter_01	582362	0.1479	0.0163	9.04
Fibroblast	Mutter_02	631982	0.3469	0.0083	41.7
Macrophage	Mutter_01	180365	0.0767	0.0107	7.17
Macrophage	Mutter_02	472959	0.1561	0.0059	26.38
Mast	Mutter_01	118	1.0847	0.0144	75.29
Mast	Mutter_02	792	4.8056	0.0122	392.37
NK	Mutter_01	4	0.0357	0.0	35714.29
NK	Mutter_02	12	0.2024	0.0	202380.95
Pericyte	Mutter_01	1	0.3333	0.0	333333.33
Pericyte	Mutter_02	4	0.1667	0.025	6.67
SmoothMuscle	Mutter_01	19	0.0902	0.0053	17.14
SmoothMuscle	Mutter_02	26	0.1648	0.0038	42.86
