cluster	n_cells	frac	top_lineage	compartment	frac_M01	frac_M02	minority_frac	neg_mean	signal_to_bg
0	1691647	0.5162	Epithelial	tumor	0.3011	0.6989	0.3011	0.0179	24.65
1	1394365	0.4255	Fibroblast	stroma	0.2791	0.7209	0.2791	0.0081	19.17
2	186112	0.0568	SmoothMuscle	stroma	0.2871	0.7129	0.2871	0.0092	33.71
3	4106	0.0013	Epithelial	tumor	0.0326	0.9674	0.0326	0.0086	177.93
4	521	0.0002	NK	immune	0.0307	0.9693	0.0307	0.0551	40.33
5	339	0.0001	Mast	immune	0.0649	0.9351	0.0649	0.0145	729.12
