sample_id	arm	slide_id	mean_r_armmates	PC1	PC2	r_outlier
sam0021	Control	sld0008	0.9273725615062136	1.6464298766372134	-2.0407045443335425	FALSE
sam0012	Control	sld0005	0.9347556479831266	-1.1745610845184435	1.200910022696395	FALSE
sam0013	MBRT	sld0005	0.9380107646866728	-0.014907148574795265	-0.40598140610518324	FALSE
sam0019	MBRT	sld0007	0.9419141371624717	-2.0974274547958927	-1.2431705192929863	FALSE
sam0016	MBRT	sld0006	0.9431143133552686	2.3112606355876997	-0.5276919994463742	FALSE
sam0015	Control	sld0006	0.9432686846124	1.19348806617941	0.8817824529247226	FALSE
sam0022	MBRT	sld0008	0.9475019815845576	-0.0029903415496200323	0.31554159646032515	FALSE
sam0018	Control	sld0007	0.9488301022594878	-2.274346664365493	-1.082764041297134	FALSE
sam0014	SBRT	sld0005	0.9705491783471081	-0.4000190615084294	0.02469106366930338	FALSE
sam0017	SBRT	sld0006	0.9707827469262093	3.361715102661168	0.9181510051714236	FALSE
sam0020	SBRT	sld0007	0.9710049826690659	0.21310294705730753	0.7384352868923936	FALSE
sam0023	SBRT	sld0008	0.9718717949653337	-2.761744872810125	1.220801082660657	FALSE
