subcluster	n_cells	frac	frac_M01	frac_M02	minority_frac	neg_mean
0	145379	0.1092	0.6517	0.3483	0.3483	0.0171
1	129856	0.0975	0.1006	0.8994	0.1006	0.0053
2	100177	0.0752	0.4813	0.5187	0.4813	0.0084
3	94735	0.0711	0.2722	0.7278	0.2722	0.0062
4	90857	0.0682	0.2101	0.7899	0.2101	0.0133
5	84500	0.0635	0.436	0.564	0.436	0.0076
6	82035	0.0616	0.4816	0.5184	0.4816	0.0126
7	73570	0.0552	0.2688	0.7312	0.2688	0.0076
8	71746	0.0539	0.2664	0.7336	0.2664	0.0074
9	70461	0.0529	0.5264	0.4736	0.4736	0.008
10	68794	0.0517	0.4454	0.5546	0.4454	0.0072
11	52297	0.0393	0.3798	0.6202	0.3798	0.0082
12	51962	0.039	0.5926	0.4074	0.4074	0.0096
13	49258	0.037	0.4892	0.5108	0.4892	0.0119
14	43959	0.033	0.2851	0.7149	0.2851	0.0103
15	28963	0.0218	0.7668	0.2332	0.2332	0.0094
16	22150	0.0166	0.261	0.739	0.261	0.0106
17	14976	0.0112	0.3698	0.6302	0.3698	0.0068
18	13318	0.01	0.3298	0.6702	0.3298	0.0063
19	5219	0.0039	0.6666	0.3334	0.3334	0.0077
20	5140	0.0039	0.3212	0.6788	0.3212	0.0069
21	5039	0.0038	0.3614	0.6386	0.3614	0.0075
22	4538	0.0034	0.4379	0.5621	0.4379	0.0109
23	3067	0.0023	0.4255	0.5745	0.4255	0.0075
24	2467	0.0019	0.2619	0.7381	0.2619	0.0077
25	2363	0.0018	0.5171	0.4829	0.4829	0.0114
26	2154	0.0016	0.4118	0.5882	0.4118	0.0077
27	2150	0.0016	0.2563	0.7437	0.2563	0.006
28	1499	0.0011	0.2348	0.7652	0.2348	0.0058
29	1390	0.001	0.5302	0.4698	0.4698	0.0104
30	1081	0.0008	0.4061	0.5939	0.4061	0.0069
31	1050	0.0008	0.4419	0.5581	0.4419	0.0075
32	1008	0.0008	0.5794	0.4206	0.4206	0.0118
33	919	0.0007	0.5593	0.4407	0.4407	0.0112
34	858	0.0006	0.3403	0.6597	0.3403	0.0084
35	857	0.0006	0.3687	0.6313	0.3687	0.0095
36	848	0.0006	0.3632	0.6368	0.3632	0.008
37	474	0.0004	0.3629	0.6371	0.3629	0.0093
38	453	0.0003	0.2472	0.7528	0.2472	0.0044
39	31	0.0	0.3871	0.6129	0.3871	0.0097
40	3	0.0	0.6667	0.3333	0.3333	0.0
