set	gene	cell_group	detect_frac	mean_count	target_group	is_target	target_detect	near_floor
Angiogenesis	Tek	all	0.06015865157772	0.0782393227608626	Endothelial	FALSE	0.130626531326566	FALSE
Angiogenesis	Tek	immune	0.0560099863822061	0.0713481615978211	Endothelial	FALSE	0.130626531326566	FALSE
Angiogenesis	Tek	stroma	0.0480411102757048	0.0645026191023594	Endothelial	FALSE	0.130626531326566	FALSE
Angiogenesis	Tek	tumor	0.0683621499335002	0.0879097971312374	Endothelial	FALSE	0.130626531326566	FALSE
Angiogenesis	Tie1	Endothelial	0.191459572978649	0.353867693384669	Endothelial	TRUE	0.191459572978649	FALSE
Angiogenesis	Tie1	all	0.0546592234133014	0.0732297936015491	Endothelial	FALSE	0.191459572978649	FALSE
Angiogenesis	Tie1	immune	0.0446754425783023	0.0569541534271448	Endothelial	FALSE	0.191459572978649	FALSE
Angiogenesis	Tie1	stroma	0.0399843413097376	0.0569528934401273	Endothelial	FALSE	0.191459572978649	FALSE
Angiogenesis	Tie1	tumor	0.0654344643820053	0.0860628783164347	Endothelial	FALSE	0.191459572978649	FALSE
Angiogenesis	Vegfa	Endothelial	0.0893594679733987	0.133006650332517	Endothelial	TRUE	0.0893594679733987	FALSE
Angiogenesis	Vegfa	all	0.169609573288934	0.313071271057808	Endothelial	FALSE	0.0893594679733987	FALSE
Angiogenesis	Vegfa	immune	0.14635497049478	0.264875170222424	Endothelial	FALSE	0.0893594679733987	FALSE
Angiogenesis	Vegfa	stroma	0.105261195652849	0.192328484524616	Endothelial	FALSE	0.0893594679733987	FALSE
Angiogenesis	Vegfa	tumor	0.213379507585752	0.395972932370156	Endothelial	FALSE	0.0893594679733987	FALSE
Angiogenesis	Vegfc	Endothelial	0.047812390619531	0.0606930346517326	Endothelial	TRUE	0.047812390619531	TRUE
Angiogenesis	Vegfc	all	0.0634959003754459	0.0814053864804219	Endothelial	FALSE	0.047812390619531	TRUE
