subcluster	n_cells	frac	frac_M01	frac_M02	minority_frac	neg_mean
84	2272	0.0017	0.4054	0.5946	0.4054	0.0065
85	2269	0.0017	0.3997	0.6003	0.3997	0.0072
86	2218	0.0017	0.3656	0.6344	0.3656	0.0064
87	2177	0.0016	0.4975	0.5025	0.4975	0.0077
88	2101	0.0016	0.3389	0.6611	0.3389	0.0071
89	2045	0.0015	0.4548	0.5452	0.4548	0.008
90	2013	0.0015	0.4968	0.5032	0.4968	0.0083
91	1999	0.0015	0.4972	0.5028	0.4972	0.0084
92	1988	0.0015	0.6051	0.3949	0.3949	0.0075
93	1943	0.0015	0.3875	0.6125	0.3875	0.0081
94	1935	0.0015	0.4315	0.5685	0.4315	0.0083
95	1928	0.0014	0.5041	0.4959	0.4959	0.0081
96	1927	0.0014	0.6238	0.3762	0.3762	0.0082
97	1924	0.0014	0.6091	0.3909	0.3909	0.0122
98	1788	0.0013	0.5151	0.4849	0.4849	0.0091
99	1756	0.0013	0.512	0.488	0.488	0.0112
100	1737	0.0013	0.5216	0.4784	0.4784	0.0099
101	1724	0.0013	0.4577	0.5423	0.4577	0.0097
102	1693	0.0013	0.554	0.446	0.446	0.0082
103	1689	0.0013	0.4523	0.5477	0.4523	0.0082
104	1678	0.0013	0.5393	0.4607	0.4607	0.0076
105	1673	0.0013	0.5655	0.4345	0.4345	0.0097
106	1669	0.0013	0.5267	0.4733	0.4733	0.0099
107	1635	0.0012	0.3749	0.6251	0.3749	0.0087
108	1624	0.0012	0.5653	0.4347	0.4347	0.0089
109	1610	0.0012	0.5224	0.4776	0.4776	0.0119
110	1572	0.0012	0.5344	0.4656	0.4656	0.0103
111	1568	0.0012	0.493	0.507	0.493	0.0084
112	1560	0.0012	0.5872	0.4128	0.4128	0.0092
113	1553	0.0012	0.5621	0.4379	0.4379	0.0102
114	1538	0.0012	0.5137	0.4863	0.4863	0.0088
115	1535	0.0012	0.3296	0.6704	0.3296	0.0066
116	1524	0.0011	0.4744	0.5256	0.4744	0.0103
117	1522	0.0011	0.2622	0.7378	0.2622	0.0068
118	1522	0.0011	0.5657	0.4343	0.4343	0.0095
119	1521	0.0011	0.3859	0.6141	0.3859	0.0085
120	1504	0.0011	0.5698	0.4302	0.4302	0.0086
121	1482	0.0011	0.2706	0.7294	0.2706	0.0055
122	1476	0.0011	0.5034	0.4966	0.4966	0.0122
123	1442	0.0011	0.4577	0.5423	0.4577	0.0086
124	1431	0.0011	0.5164	0.4836	0.4836	0.0096
125	1431	0.0011	0.3124	0.6876	0.3124	0.0088
126	1420	0.0011	0.5134	0.4866	0.4866	0.01
127	1380	0.001	0.3312	0.6688	0.3312	0.0067
128	1341	0.001	0.481	0.519	0.481	0.0078
129	1330	0.001	0.5211	0.4789	0.4789	0.0105
130	1325	0.001	0.5487	0.4513	0.4513	0.014
131	1307	0.001	0.5891	0.4109	0.4109	0.0138
132	1303	0.001	0.5909	0.4091	0.4091	0.0112
133	1285	0.001	0.67	0.33	0.33	0.0107
134	1278	0.001	0.2535	0.7465	0.2535	0.0068
135	1270	0.001	0.4724	0.5276	0.4724	0.008
136	1268	0.001	0.567	0.433	0.433	0.0086
137	1261	0.0009	0.4552	0.5448	0.4552	0.0098
138	1242	0.0009	0.5862	0.4138	0.4138	0.0112
139	1224	0.0009	0.3407	0.6593	0.3407	0.0099
140	1218	0.0009	0.1831	0.8169	0.1831	0.0044
141	1203	0.0009	0.527	0.473	0.473	0.009
142	1190	0.0009	0.5042	0.4958	0.4958	0.0077
143	1180	0.0009	0.4712	0.5288	0.4712	0.0081
144	1171	0.0009	0.4526	0.5474	0.4526	0.0078
145	1164	0.0009	0.5541	0.4459	0.4459	0.0075
146	1115	0.0008	0.3578	0.6422	0.3578	0.007
147	1112	0.0008	0.2401	0.7599	0.2401	0.0055
148	1104	0.0008	0.1984	0.8016	0.1984	0.0057
149	1091	0.0008	0.3978	0.6022	0.3978	0.0081
150	1083	0.0008	0.5457	0.4543	0.4543	0.0087
151	1079	0.0008	0.43	0.57	0.43	0.0076
152	1077	0.0008	0.5088	0.4912	0.4912	0.0116
153	1064	0.0008	0.4624	0.5376	0.4624	0.0091
154	1061	0.0008	0.3742	0.6258	0.3742	0.0065
155	1044	0.0008	0.4176	0.5824	0.4176	0.0082
156	1005	0.0008	0.4149	0.5851	0.4149	0.0091
157	991	0.0007	0.554	0.446	0.446	0.0123
158	982	0.0007	0.5061	0.4939	0.4939	0.0095
159	931	0.0007	0.5403	0.4597	0.4597	0.009
160	926	0.0007	0.5907	0.4093	0.4093	0.0135
161	913	0.0007	0.5378	0.4622	0.4622	0.0108
162	905	0.0007	0.632	0.368	0.368	0.0113
163	897	0.0007	0.4169	0.5831	0.4169	0.0081
164	868	0.0007	0.379	0.621	0.379	0.0084
165	867	0.0007	0.5767	0.4233	0.4233	0.0092
166	839	0.0006	0.441	0.559	0.441	0.0072
167	824	0.0006	0.6566	0.3434	0.3434	0.0075
168	812	0.0006	0.4877	0.5123	0.4877	0.0085
169	801	0.0006	0.5456	0.4544	0.4544	0.0092
170	782	0.0006	0.633	0.367	0.367	0.0148
171	773	0.0006	0.2872	0.7128	0.2872	0.0074
172	772	0.0006	0.5233	0.4767	0.4767	0.0101
173	771	0.0006	0.5863	0.4137	0.4137	0.0086
174	760	0.0006	0.4632	0.5368	0.4632	0.0095
175	759	0.0006	0.6469	0.3531	0.3531	0.009
176	750	0.0006	0.348	0.652	0.348	0.0076
177	734	0.0006	0.6689	0.3311	0.3311	0.012
178	724	0.0005	0.4586	0.5414	0.4586	0.0098
179	715	0.0005	0.7818	0.2182	0.2182	0.0138
180	713	0.0005	0.5652	0.4348	0.4348	0.0107
181	692	0.0005	0.5491	0.4509	0.4509	0.0091
182	675	0.0005	0.4593	0.5407	0.4593	0.0081
183	675	0.0005	0.3259	0.6741	0.3259	0.0092
184	674	0.0005	0.5045	0.4955	0.4955	0.0093
185	617	0.0005	0.2966	0.7034	0.2966	0.0057
186	602	0.0005	0.4751	0.5249	0.4751	0.012
187	596	0.0004	0.5436	0.4564	0.4564	0.0111
188	592	0.0004	0.5422	0.4578	0.4578	0.0093
189	584	0.0004	0.4572	0.5428	0.4572	0.0115
190	571	0.0004	0.5447	0.4553	0.4553	0.0112
191	542	0.0004	0.4465	0.5535	0.4465	0.0081
192	538	0.0004	0.6134	0.3866	0.3866	0.0117
193	530	0.0004	0.4377	0.5623	0.4377	0.0081
194	527	0.0004	0.5047	0.4953	0.4953	0.0065
195	524	0.0004	0.6164	0.3836	0.3836	0.0107
196	517	0.0004	0.6054	0.3946	0.3946	0.0101
197	515	0.0004	0.3243	0.6757	0.3243	0.0099
198	509	0.0004	0.4931	0.5069	0.4931	0.0094
199	507	0.0004	0.3057	0.6943	0.3057	0.0083
200	501	0.0004	0.6707	0.3293	0.3293	0.0094
201	479	0.0004	0.2547	0.7453	0.2547	0.0065
202	457	0.0003	0.2867	0.7133	0.2867	0.0105
203	428	0.0003	0.521	0.479	0.479	0.0079
204	418	0.0003	0.4809	0.5191	0.4809	0.0089
205	412	0.0003	0.4951	0.5049	0.4951	0.0061
206	383	0.0003	0.4752	0.5248	0.4752	0.0084
207	383	0.0003	0.2585	0.7415	0.2585	0.0055
208	341	0.0003	0.4194	0.5806	0.4194	0.0079
209	340	0.0003	0.4588	0.5412	0.4588	0.0115
210	333	0.0003	0.2162	0.7838	0.2162	0.0066
211	322	0.0002	0.6087	0.3913	0.3913	0.0109
212	318	0.0002	0.434	0.566	0.434	0.0132
213	271	0.0002	0.4207	0.5793	0.4207	0.0077
