subcluster	n_cells	frac	frac_M01	frac_M02	minority_frac	neg_mean
0	72055	0.0541	0.6226	0.3774	0.3774	0.0187
1	53966	0.0405	0.5363	0.4637	0.4637	0.0156
2	49274	0.037	0.2031	0.7969	0.2031	0.0078
3	48499	0.0364	0.4446	0.5554	0.4446	0.0135
4	45284	0.034	0.0948	0.9052	0.0948	0.0059
5	44651	0.0335	0.2018	0.7982	0.2018	0.0058
6	43802	0.0329	0.1638	0.8362	0.1638	0.0069
7	40400	0.0303	0.2909	0.7091	0.2909	0.0069
8	39739	0.0298	0.1231	0.8769	0.1231	0.0048
9	38225	0.0287	0.1613	0.8387	0.1613	0.0147
10	37214	0.0279	0.5413	0.4587	0.4587	0.0083
11	36514	0.0274	0.3573	0.6427	0.3573	0.0071
12	36502	0.0274	0.3995	0.6005	0.3995	0.0089
13	31363	0.0236	0.4889	0.5111	0.4889	0.0134
14	30225	0.0227	0.2868	0.7132	0.2868	0.0097
15	28681	0.0215	0.6956	0.3044	0.3044	0.0075
16	27787	0.0209	0.2366	0.7634	0.2366	0.0059
17	27602	0.0207	0.3405	0.6595	0.3405	0.0128
18	25628	0.0192	0.8111	0.1889	0.1889	0.0091
19	25088	0.0188	0.2347	0.7653	0.2347	0.0065
20	24590	0.0185	0.7256	0.2744	0.2744	0.0131
21	23769	0.0178	0.545	0.455	0.455	0.0093
22	19927	0.015	0.2417	0.7583	0.2417	0.0115
23	16606	0.0125	0.2348	0.7652	0.2348	0.0056
24	15841	0.0119	0.185	0.815	0.185	0.0055
25	15411	0.0116	0.3591	0.6409	0.3591	0.0068
26	13352	0.01	0.2194	0.7806	0.2194	0.0062
27	12813	0.0096	0.2889	0.7111	0.2889	0.0057
28	12048	0.009	0.5929	0.4071	0.4071	0.0097
29	10786	0.0081	0.3001	0.6999	0.3001	0.014
30	9735	0.0073	0.3849	0.6151	0.3849	0.0091
31	8663	0.0065	0.6708	0.3292	0.3292	0.0073
32	8416	0.0063	0.6141	0.3859	0.3859	0.0089
33	8175	0.0061	0.4158	0.5842	0.4158	0.0079
34	7882	0.0059	0.4906	0.5094	0.4906	0.0089
35	7754	0.0058	0.3344	0.6656	0.3344	0.0071
36	7307	0.0055	0.3694	0.6306	0.3694	0.007
37	7152	0.0054	0.3255	0.6745	0.3255	0.0063
38	7091	0.0053	0.7275	0.2725	0.2725	0.0129
39	6985	0.0052	0.6123	0.3877	0.3877	0.0095
40	5866	0.0044	0.3181	0.6819	0.3181	0.0077
41	5850	0.0044	0.3376	0.6624	0.3376	0.0074
42	5623	0.0042	0.2115	0.7885	0.2115	0.0077
43	5605	0.0042	0.1781	0.8219	0.1781	0.0059
44	5463	0.0041	0.5371	0.4629	0.4629	0.0086
45	5425	0.0041	0.3912	0.6088	0.3912	0.0067
46	4949	0.0037	0.5235	0.4765	0.4765	0.0076
47	4930	0.0037	0.5787	0.4213	0.4213	0.0087
48	4902	0.0037	0.4678	0.5322	0.4678	0.0084
49	4491	0.0034	0.4175	0.5825	0.4175	0.0079
50	4424	0.0033	0.4555	0.5445	0.4555	0.0075
51	4226	0.0032	0.5201	0.4799	0.4799	0.0086
52	3827	0.0029	0.5997	0.4003	0.4003	0.0098
53	3826	0.0029	0.7164	0.2836	0.2836	0.0145
54	3755	0.0028	0.7084	0.2916	0.2916	0.0121
55	3699	0.0028	0.5574	0.4426	0.4426	0.0092
56	3648	0.0027	0.3147	0.6853	0.3147	0.0069
57	3632	0.0027	0.2219	0.7781	0.2219	0.006
58	3381	0.0025	0.4682	0.5318	0.4682	0.0077
59	3361	0.0025	0.3612	0.6388	0.3612	0.0091
60	3339	0.0025	0.5181	0.4819	0.4819	0.0091
61	3262	0.0024	0.531	0.469	0.469	0.0086
62	3226	0.0024	0.5192	0.4808	0.4808	0.0091
63	3188	0.0024	0.2506	0.7494	0.2506	0.0077
64	3172	0.0024	0.4464	0.5536	0.4464	0.0109
65	3133	0.0024	0.2892	0.7108	0.2892	0.0052
66	3101	0.0023	0.3141	0.6859	0.3141	0.0063
67	3088	0.0023	0.5878	0.4122	0.4122	0.0071
68	3078	0.0023	0.5192	0.4808	0.4808	0.0102
69	2926	0.0022	0.6025	0.3975	0.3975	0.0096
70	2829	0.0021	0.4281	0.5719	0.4281	0.0135
71	2776	0.0021	0.3667	0.6333	0.3667	0.0068
72	2738	0.0021	0.5069	0.4931	0.4931	0.0083
73	2685	0.002	0.6331	0.3669	0.3669	0.0125
74	2662	0.002	0.5083	0.4917	0.4917	0.0078
75	2617	0.002	0.5334	0.4666	0.4666	0.0115
76	2616	0.002	0.3563	0.6437	0.3563	0.0071
77	2597	0.002	0.5137	0.4863	0.4863	0.0122
78	2552	0.0019	0.5462	0.4538	0.4538	0.0122
79	2447	0.0018	0.2096	0.7904	0.2096	0.0067
80	2433	0.0018	0.573	0.427	0.427	0.014
81	2302	0.0017	0.4288	0.5712	0.4288	0.008
82	2292	0.0017	0.188	0.812	0.188	0.0071
83	2284	0.0017	0.4816	0.5184	0.4816	0.0073
