readout_class	unit	feature	contrast	effect	effect_type	ci_low	ci_high	se	stat	pvalue	padj_own	hypothesis	tier	n_per_arm	dataset	padj_confirmatory	padj_exploratory	mde	mde_scale	abs_effect_lt_mde	clears_mde	trend_call	n_panel	n_set_total	panel_cov_frac	detection_padj	level_padj	mean_among_expr_max	call_class	interpretable	dose_confounded	independent
DE	Endothelial	Parp1	SBRT_vs_Ctrl	0.114458811395738	log2FC	-0.212742809458443	0.441660432249919	0.166939602476623	0.961588023631991	0.33625658985614	0.681946057808949		exploratory	12	Mutter_02		0.681946057808949	0.80711066725836	log2_fold_change	TRUE	FALSE	below-floor				0.551335415789604	0.755411738451518	1.3	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pcna	SBRT_vs_Ctrl	0.358067786836807	log2FC	-0.0216068640884169	0.737742437762031	0.193711556594502	2.47660657684796	0.0132638018192278	0.117018961844402		exploratory	12	Mutter_02		0.117018961844402	0.80711066725836	log2_fold_change	TRUE	FALSE	below-floor				0.32799997008599	0.576011286633365	1.57	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pdcd1	SBRT_vs_Ctrl	0.0449837055250732	log2FC	-0.358610312147945	0.448577723198091	0.205915315139295	0.474921652547163	0.634842817624452	0.856029805057937		exploratory	12	Mutter_02		0.856029805057937	0.80711066725836	log2_fold_change	TRUE	FALSE	below-floor				0.939310973390223	0.886847496248023	1.31	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pdcd1lg2	SBRT_vs_Ctrl	-0.29633215429766	log2FC	-0.833321806700573	0.240657498105253	0.273974312450466	-1.92708287045308	0.0539693031310057	0.285665382107846		exploratory	12	Mutter_02		0.285665382107846	0.80711066725836	log2_fold_change	TRUE	FALSE	below-floor				0.27214530877348	0.766723802153511	1.19	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pdgfa	SBRT_vs_Ctrl	-0.0795891685807478	log2FC	-0.422705836585401	0.263527499423905	0.17505952449217	-0.687172247487813	0.49197419075515	0.782578364935351		exploratory	12	Mutter_02		0.782578364935351	0.80711066725836	log2_fold_change	TRUE	FALSE	below-floor				0.85772854047842	0.886847496248023	1.51	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pdgfb	SBRT_vs_Ctrl	0.764447888426881	log2FC	0.31782855635433	1.21106722049943	0.227867006159465	4.07309243350857	4.63930013464031e-05	0.00257617607476497		exploratory	12	Mutter_02		0.00257617607476497	0.80711066725836	log2_fold_change	TRUE	FALSE	up				0.0706611932041601	0.452775657519161	1.75	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pdgfc	SBRT_vs_Ctrl	-0.460829490449686	log2FC	-1.07844437197623	0.156785391076862	0.315109633431912	-2.4578292302827	0.0139779623298117	0.12105684806736		exploratory	12	Mutter_02		0.12105684806736	0.80711066725836	log2_fold_change	TRUE	FALSE	down				0.40722771390906	0.990958500441937	1.21	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pdgfd	SBRT_vs_Ctrl	-0.00987440532812211	log2FC	-0.349046881013166	0.329298070356921	0.173047181471961	-0.0902608830117772	0.928079904059528	0.968074507659883		exploratory	12	Mutter_02		0.968074507659883	0.80711066725836	log2_fold_change	TRUE	FALSE	below-floor				0.928949518540541	0.755411738451518	1.46	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pdgfra	SBRT_vs_Ctrl	-0.0255959971160291	log2FC	-0.334370097949164	0.283178103717106	0.157537806547518	-0.227167640508361	0.820293389062138	0.923029294803203		exploratory	12	Mutter_02		0.923029294803203	0.80711066725836	log2_fold_change	TRUE	FALSE	below-floor				0.997380017681503	0.830599071092279	1.38	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pdgfrb	SBRT_vs_Ctrl	0.619786667359524	log2FC	0.040669975118101	1.19890335960095	0.295467700123175	3.00526353832172	0.00265350828794141	0.0453198646585579		exploratory	12	Mutter_02		0.0453198646585579	0.80711066725836	log2_fold_change	TRUE	FALSE	up				0.314017671620021	0.525796282474693	1.72	ambiguous	TRUE	FALSE	TRUE
DE	Endothelial	Pds5a	SBRT_vs_Ctrl	0.102736361327357	log2FC	-0.226646983010462	0.432119705665176	0.168052726702969	0.862254997115868	0.388547211380963	0.720322492702143		exploratory	12	Mutter_02		0.720322492702143	0.80711066725836	log2_fold_change	TRUE	FALSE	below-floor				0.808556854014068	0.890292844511089	1.33	ambiguous	TRUE	FALSE	TRUE
