avg_exp	pct_exp	marker	cell_subtype	avg_exp_scaled
3.20338555269154	1.2875	Epcam	unassigned	0.106976831707312
27.9046833037091	8.95	Krt8	unassigned	0.25382042515872
13.214698130721	5.05	Krt18	unassigned	0.388883385156605
42.3641816920127	8.5625	Col1a1	unassigned	-0.314949989474807
8.54111891314069	2.875	Pdgfra	unassigned	0.52162778079281
3.40638610429599	1.2375	Acta2	unassigned	-1.51053092750115
3.48387823893229	1.15	Myh11	unassigned	0.0884944114212228
4.62840608035724	1.7625	Tagln	unassigned	-0.405728097787246
2.41798175683746	0.825	Pecam1	unassigned	-0.284851206910154
6.31635163993592	2.0875	Cdh5	unassigned	-0.0758732950801896
3.95865569509108	1.6	Cidea	unassigned	0.470087384836497
5.90340704865981	1.9	Fabp4	unassigned	-0.567076629475505
9.45458140837139	3.0375	Cd3e	unassigned	-0.1448561167913
3.90072878899566	1.45	Cd8a	unassigned	-0.15341528137663
0.860526555139573	0.3125	Cd4	unassigned	-0.0834297132033002
2.35059237267574	0.925	Ncr1	unassigned	0.0305325509013751
2.67531627570428	0.8375	Klrb1c	unassigned	1.02501326787364
3.17444866186671	1.2625	Cd19	unassigned	0.137717733038686
5.01840642344077	1.625	Ms4a1	unassigned	0.202334762690465
2.16993526638344	0.8125	Mzb1	unassigned	-0.145077505535049
2.18555907017564	0.8125	Jchain	unassigned	-0.163851021632154
7.85485927663105	2.6125	Itgam	unassigned	0.81082037301589
5.66179180391935	1.9875	Itgax	unassigned	0.38520245832044
3.21919362736958	1.1875	Cpa3	unassigned	-0.110316117551155
4.68045163128729	1.475	Kit	unassigned	-0.0625867583465835
16.6891171600323	3.475	S100a8	unassigned	0.724167595442813
43.4464170642052	5.425	S100a9	unassigned	1.1514732338654
4.78450155571849	1.625	Elane	unassigned	0.916403416181838
6.03401183938485	3.86100386100386	Epcam	Neutrophils	1.49729365367915
6.18921380415786	3.86100386100386	Krt8	Neutrophils	-1.35030155149544
4.17135191445553	4.24710424710425	Krt18	Neutrophils	-1.03718887315247
81.8983424673583	27.7992277992278	Col1a1	Neutrophils	0.931189002822781
30.4256512658339	13.1274131274131	Pdgfra	Neutrophils	2.5
11.0451012526089	8.88030888030888	Acta2	Neutrophils	0.463083938737688
4.6361897237337	4.63320463320463	Myh11	Neutrophils	1.0719963566653
4.55777482172183	4.63320463320463	Tagln	Neutrophils	-0.442918754195393
4.71804134662945	3.47490347490348	Pecam1	Neutrophils	0.951205857331283
7.48127810806022	6.17760617760618	Cdh5	Neutrophils	0.167752878004877
3.73694915984751	3.86100386100386	Cidea	Neutrophils	0.196196379393367
17.271330459687	8.88030888030888	Fabp4	Neutrophils	0.445580752032882
6.44874627493564	5.79150579150579	Cd3e	Neutrophils	-0.722197145917749
2.39385176606397	2.7027027027027	Cd8a	Neutrophils	-0.734339354573598
0.313902752927143	0.386100386100386	Cd4	Neutrophils	-1.34786330338394
3.3654279014261	3.08880308880309	Ncr1	Neutrophils	0.662164584766267
0.899479757546011	0.772200772200772	Klrb1c	Neutrophils	-1.28964571464298
0.575123916168602	1.15830115830116	Cd19	Neutrophils	-1.78215561204451
6.08878404491652	3.86100386100386	Ms4a1	Neutrophils	0.567551151698655
1.4556873599306	1.93050193050193	Mzb1	Neutrophils	-0.507481229252661
2.14318435364212	1.93050193050193	Jchain	Neutrophils	-0.178180210031444
9.69998091550955	8.88030888030888	Itgam	Neutrophils	1.23232845237997
7.27414825964622	5.01930501930502	Itgax	Neutrophils	0.823035174493434
2.21047474100226	1.93050193050193	Cpa3	Neutrophils	-0.415084775210502
4.59623574064481	4.63320463320463	Kit	Neutrophils	-0.0901205924298636
212.377052563368	17.3745173745174	S100a8	Neutrophils	2.5
307.773681193433	20.0772200772201	S100a9	Neutrophils	2.5
3.31372872497324	2.7027027027027	Elane	Neutrophils	-0.0903412477550003
6.02207629199827	8.38537020517395	Epcam	Mast cells	1.49270773079745
82.7679699733221	52.363960749331	Krt8	Mast cells	1.48052341980051
31.2214772793386	30.8652988403211	Krt18	Mast cells	1.54305895496634
61.1921768906712	23.6396074933095	Col1a1	Mast cells	0.378514524444806
1.87915289682319	3.03300624442462	Pdgfra	Mast cells	-1.49495347989716
8.77132115152392	7.13648528099911	Acta2	Mast cells	0.0524917727224478
2.95686108214678	4.99553969669938	Myh11	Mast cells	-0.449169429659774
4.56441263660532	6.24442462087422	Tagln	Mast cells	-0.439403571168585
0.913903024776044	1.42729705619982	Pecam1	Mast cells	-1.67783559100976
4.18998181231219	5.6199821587868	Cdh5	Mast cells	-0.642080435535525
2.92220293085296	3.56824264049955	Cidea	Mast cells	-0.933943026748903
4.62717163587273	6.95807314897413	Fabp4	Mast cells	-0.77974645346272
6.87979240162718	8.47457627118644	Cd3e	Mast cells	-0.626387950426231
2.10137682696595	2.76538804638715	Cd8a	Mast cells	-0.876826744738102
0.342555229773275	0.535236396074933	Cd4	Mast cells	-1.26944805103692
0.471709422053669	0.713648528099911	Ncr1	Mast cells	-1.93353676861404
1.04378894187581	1.24888492417484	Klrb1c	Mast cells	-1.03286302194065
1.28835790502132	2.31935771632471	Cd19	Mast cells	-1.04643001629578
2.45355380022218	2.94380017841213	Ms4a1	Mast cells	-1.0368759031661
1.10078172152551	0.981266726137377	Mzb1	Mast cells	-0.729060592641687
1.77166749785905	1.24888492417484	Jchain	Mast cells	-0.31277633054495
1.96693229260491	2.76538804638715	Itgam	Mast cells	-1.62421585633644
1.69673182960066	2.58697591436218	Itgax	Mast cells	-1.44159181564737
106.796531749113	34.4335414808207	Cpa3	Mast cells	2.5
33.9312842708254	26.3157894736842	Kit	Mast cells	2.5
1.41505827718225	1.78412132024978	S100a8	Mast cells	-1.02223066666421
2.76840891449279	2.76538804638715	S100a9	Mast cells	-1.0562640006572
2.11944062877805	2.05173951828724	Elane	Mast cells	-1.20267255829563
2.77544111289639	2.14487300094073	Epcam	DC	-0.182967149365767
15.2958463767608	8.27845719661336	Krt8	DC	-0.406879069271324
7.43546379181515	4.32737535277516	Krt18	DC	-0.347086044776866
36.4491527009048	15.9360301034807	Col1a1	DC	-0.596973448702132
4.96110835693645	3.89463781749765	Pdgfra	DC	-0.270039144199039
9.2138292325237	6.86735653809972	Acta2	DC	0.139417942666905
4.00980387468524	3.08560677328316	Myh11	DC	0.565403684591968
8.97070655817316	6.69802445907808	Tagln	DC	1.27828796358776
4.45900513557376	3.8381937911571	Pecam1	DC	0.839845627172829
8.13793641504456	5.87017873941675	Cdh5	DC	0.290718133572614
4.50660389646557	3.93226716839135	Cidea	DC	1.09769081254163
7.97291174728818	5.87017873941675	Fabp4	DC	-0.294284142137049
14.1958022485514	10.2539981185325	Cd3e	DC	0.492066722556835
8.76389074974217	6.45343367826905	Cd8a	DC	0.936445793566432
1.87448975477938	1.50517403574788	Cd4	DC	1.49781599051029
4.5511868074847	3.74412041392286	Ncr1	DC	1.23582432902996
3.14986869377398	2.65286923800564	Klrb1c	DC	1.45086359712472
7.08301936456818	5.47507055503293	Cd19	DC	1.43933594799068
9.42056412245584	7.84571966133584	Ms4a1	DC	1.42713220324102
7.24241991856165	6.32173095014111	Mzb1	DC	1.21136870836306
15.5913677042498	9.10630291627469	Jchain	DC	1.60197038787646
10.0130961169278	8.01505174035748	Itgam	DC	1.29656086029666
10.5147198849982	8.48541862652869	Itgax	DC	1.49062964144593
