sample_id	cell_type	condition	slide_id	n_cells	total_counts	mean_libsize	frac_genes_with_count_gt_5
sam0019	Epithelial cells	MBRT_4h	sld0007	12	793	66.1	0.0253
sam0020	Epithelial cells	SBRT_4h	sld0007	9	708	78.7	0.0242
sam0021	Epithelial cells	Control	sld0008	45	2579	57.3	0.0874
sam0022	Epithelial cells	MBRT_4h	sld0008	20	1240	62	0.0432
sam0023	Epithelial cells	SBRT_4h	sld0008	23	1436	62.4	0.0589
sam0001	Fibroblast	Control	sld0002	41176	4602924	111.8	1
sam0002	Fibroblast	MBRT_1h	sld0004	12776	1198072	93.8	1
sam0003	Fibroblast	MBRT_4h	sld0004	61921	5425169	87.6	1
sam0004	Fibroblast	MBRT_day2	sld0001	48845	3730212	76.4	1
sam0005	Fibroblast	MBRT_day6	sld0001	30708	1547911	50.4	1
sam0006	Fibroblast	SBRT_4h	sld0004	59789	5478806	91.6	1
sam0007	Fibroblast	SBRT_day2	sld0002	29340	2349246	80.1	1
sam0008	Fibroblast	SBRT_day6	sld0002	28207	1636366	58	1
sam0012	Fibroblast	Control	sld0005	40344	3522296	87.3	1
sam0013	Fibroblast	MBRT_day2	sld0005	46144	3917202	84.9	1
sam0014	Fibroblast	SBRT_day2	sld0005	66120	6494513	98.2	1
sam0015	Fibroblast	Control	sld0006	29395	2389296	81.3	1
sam0016	Fibroblast	MBRT_day2	sld0006	34832	2810529	80.7	1
sam0017	Fibroblast	SBRT_day2	sld0006	20145	1647507	81.8	1
sam0018	Fibroblast	Control	sld0007	17079	1905488	111.6	1
sam0019	Fibroblast	MBRT_4h	sld0007	23472	2537481	108.1	1
sam0020	Fibroblast	SBRT_4h	sld0007	20143	1934601	96	1
sam0021	Fibroblast	Control	sld0008	21070	2124629	100.8	1
sam0022	Fibroblast	MBRT_4h	sld0008	40132	3692853	92	1
sam0023	Fibroblast	SBRT_4h	sld0008	60461	6424886	106.3	1
sam0001	ILC	Control	sld0002	810	91043	112.4	0.9958
sam0002	ILC	MBRT_1h	sld0004	275	38397	139.6	0.9768
sam0003	ILC	MBRT_4h	sld0004	706	65260	92.4	0.9916
sam0004	ILC	MBRT_day2	sld0001	714	69819	97.8	0.9958
sam0005	ILC	MBRT_day6	sld0001	2124	191024	89.9	1
sam0006	ILC	SBRT_4h	sld0004	528	52535	99.5	0.9937
sam0007	ILC	SBRT_day2	sld0002	547	51635	94.4	0.9863
sam0008	ILC	SBRT_day6	sld0002	9429	889930	94.4	1
sam0012	ILC	Control	sld0005	2841	663090	233.4	1
sam0013	ILC	MBRT_day2	sld0005	2962	701458	236.8	1
sam0014	ILC	SBRT_day2	sld0005	2800	520956	186.1	0.9989
sam0015	ILC	Control	sld0006	3088	447621	145	0.9989
sam0016	ILC	MBRT_day2	sld0006	1821	358445	196.8	0.9958
sam0017	ILC	SBRT_day2	sld0006	267	37311	139.7	0.7084
sam0018	ILC	Control	sld0007	303	61159	201.8	0.9011
sam0019	ILC	MBRT_4h	sld0007	358	72593	202.8	0.9232
sam0020	ILC	SBRT_4h	sld0007	574	101932	177.6	0.9516
sam0021	ILC	Control	sld0008	413	57580	139.4	0.9316
sam0022	ILC	MBRT_4h	sld0008	721	128747	178.6	0.9726
sam0023	ILC	SBRT_4h	sld0008	3059	675521	220.8	1
sam0001	Macrophages	Control	sld0002	11531	1396369	121.1	1
sam0002	Macrophages	MBRT_1h	sld0004	2657	350019	131.7	1
sam0003	Macrophages	MBRT_4h	sld0004	15144	1609179	106.3	1
sam0004	Macrophages	MBRT_day2	sld0001	21938	2455673	111.9	1
sam0005	Macrophages	MBRT_day6	sld0001	20239	2009563	99.3	1
sam0006	Macrophages	SBRT_4h	sld0004	13043	1542176	118.2	1
sam0007	Macrophages	SBRT_day2	sld0002	8991	957774	106.5	1
sam0008	Macrophages	SBRT_day6	sld0002	24692	2526116	102.3	1
sam0012	Macrophages	Control	sld0005	24565	4483163	182.5	1
sam0013	Macrophages	MBRT_day2	sld0005	42157	8032998	190.5	1
sam0014	Macrophages	SBRT_day2	sld0005	23191	3648641	157.3	1
sam0015	Macrophages	Control	sld0006	16899	2521602	149.2	1
sam0016	Macrophages	MBRT_day2	sld0006	17550	2985854	170.1	1
sam0017	Macrophages	SBRT_day2	sld0006	4842	719552	148.6	1
sam0018	Macrophages	Control	sld0007	3647	643760	176.5	1
sam0019	Macrophages	MBRT_4h	sld0007	4276	759873	177.7	1
sam0020	Macrophages	SBRT_4h	sld0007	8048	1280270	159.1	1
sam0021	Macrophages	Control	sld0008	2610	346072	132.6	1
sam0022	Macrophages	MBRT_4h	sld0008	8722	1293923	148.4	1
sam0023	Macrophages	SBRT_4h	sld0008	26233	4781675	182.3	1
sam0001	Mast cells	Control	sld0002	26	3156	121.4	0.1368
sam0002	Mast cells	MBRT_1h	sld0004	5	502	100.4	0.0063
sam0003	Mast cells	MBRT_4h	sld0004	41	4461	108.8	0.1968
sam0004	Mast cells	MBRT_day2	sld0001	16	1346	84.1	0.0442
sam0005	Mast cells	MBRT_day6	sld0001	10	1115	111.5	0.0211
sam0006	Mast cells	SBRT_4h	sld0004	13	1238	95.2	0.0253
sam0007	Mast cells	SBRT_day2	sld0002	13	1167	89.8	0.0284
sam0008	Mast cells	SBRT_day6	sld0002	17	1771	104.2	0.0684
sam0012	Mast cells	Control	sld0005	110	26281	238.9	0.5484
sam0013	Mast cells	MBRT_day2	sld0005	111	25380	228.6	0.5653
sam0014	Mast cells	SBRT_day2	sld0005	122	24802	203.3	0.5505
sam0015	Mast cells	Control	sld0006	60	11800	196.7	0.2947
sam0016	Mast cells	MBRT_day2	sld0006	97	20404	210.4	0.4505
sam0017	Mast cells	SBRT_day2	sld0006	12	1669	139.1	0.0674
sam0018	Mast cells	Control	sld0007	23	3640	158.3	0.1453
sam0019	Mast cells	MBRT_4h	sld0007	22	3629	165	0.1316
sam0020	Mast cells	SBRT_4h	sld0007	71	13355	188.1	0.3979
sam0021	Mast cells	Control	sld0008	25	3327	133.1	0.1432
sam0022	Mast cells	MBRT_4h	sld0008	106	18558	175.1	0.5716
sam0023	Mast cells	SBRT_4h	sld0008	221	51375	232.5	0.7632
sam0001	NK cells	Control	sld0002	120	20770	173.1	0.7705
sam0002	NK cells	MBRT_1h	sld0004	75	14779	197.1	0.6263
sam0003	NK cells	MBRT_4h	sld0004	104	9606	92.4	0.5842
sam0004	NK cells	MBRT_day2	sld0001	65	8205	126.2	0.3811
sam0005	NK cells	MBRT_day6	sld0001	237	20651	87.1	0.9158
sam0006	NK cells	SBRT_4h	sld0004	171	25616	149.8	0.9284
sam0007	NK cells	SBRT_day2	sld0002	68	8100	119.1	0.3726
sam0008	NK cells	SBRT_day6	sld0002	336	26609	79.2	0.9442
sam0012	NK cells	Control	sld0005	1935	863242	446.1	1
sam0013	NK cells	MBRT_day2	sld0005	351	162775	463.7	0.9253
sam0014	NK cells	SBRT_day2	sld0005	309	111409	360.5	0.8737
sam0015	NK cells	Control	sld0006	211	57633	273.1	0.7432
sam0016	NK cells	MBRT_day2	sld0006	189	63884	338	0.7347
sam0017	NK cells	SBRT_day2	sld0006	41	13726	334.8	0.2979
sam0018	NK cells	Control	sld0007	60	21804	363.4	0.5316
sam0019	NK cells	MBRT_4h	sld0007	159	55791	350.9	0.84
sam0020	NK cells	SBRT_4h	sld0007	51	16921	331.8	0.3926
sam0021	NK cells	Control	sld0008	40	6397	159.9	0.2495
sam0022	NK cells	MBRT_4h	sld0008	161	47709	296.3	0.7716
sam0023	NK cells	SBRT_4h	sld0008	308	134332	436.1	0.9189
sam0001	Neutrophils	Control	sld0002	13	1247	95.9	0.0379
