cell_type	pathway_name	dataset	pearson_r	n_samples
DC	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9954	8
DC	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9766	8
DC	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9798	8
DC	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.839	8
DC	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.983	8
DC	HALLMARK_GLYCOLYSIS	Mutter_01	0.8179	8
DC	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.9448	8
DC	HALLMARK_HEME_METABOLISM	Mutter_01	0.6978	8
DC	HALLMARK_HYPOXIA	Mutter_01	0.9563	8
DC	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.9896	8
DC	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9993	8
DC	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9967	8
DC	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.942	8
DC	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9924	8
DC	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.8881	8
DC	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.8131	8
DC	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9693	8
DC	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.8904	8
DC	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.9658	8
DC	HALLMARK_MYOGENESIS	Mutter_01	0.9907	8
DC	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.9915	8
DC	HALLMARK_P53_PATHWAY	Mutter_01	0.9565	8
DC	HALLMARK_PEROXISOME	Mutter_01	0.9761	8
DC	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.9875	8
DC	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.9403	8
DC	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9858	8
DC	HALLMARK_SPERMATOGENESIS	Mutter_01	0.9513	8
DC	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.9797	8
DC	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	0.9791	8
DC	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9951	8
DC	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.9869	8
DC	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	0.9955	8
DC	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.9786	8
DC	Hypoxia	Mutter_01	0.9219	8
DC	SASP	Mutter_01	0.9643	8
DC	Stromal_stress_senescence	Mutter_01	0.9719	8
DC	TypeII_interferon	Mutter_01	0.973	8
DC	TypeI_interferon	Mutter_01	0.9791	8
Endothelial	Angiogenesis	Mutter_01	0.9984	8
Endothelial	DNA_Damage_Repair	Mutter_01	0.895	8
Endothelial	Fibrosis_remodeling	Mutter_01	0.9987	8
Endothelial	HALLMARK_ADIPOGENESIS	Mutter_01	0.9979	8
Endothelial	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9987	8
Endothelial	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.9506	8
Endothelial	HALLMARK_ANGIOGENESIS	Mutter_01	0.8529	8
Endothelial	HALLMARK_APICAL_JUNCTION	Mutter_01	0.7687	8
Endothelial	HALLMARK_APICAL_SURFACE	Mutter_01	0.8135	8
Endothelial	HALLMARK_APOPTOSIS	Mutter_01	0.9878	8
Endothelial	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.7992	8
Endothelial	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.1149	8
Endothelial	HALLMARK_COAGULATION	Mutter_01	0.9564	8
Endothelial	HALLMARK_COMPLEMENT	Mutter_01	0.9529	8
Endothelial	HALLMARK_DNA_REPAIR	Mutter_01	0.5035	8
Endothelial	HALLMARK_E2F_TARGETS	Mutter_01	0.8726	8
Endothelial	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9995	8
Endothelial	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9215	8
Endothelial	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.7189	8
Endothelial	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9836	8
Endothelial	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.5743	8
Endothelial	HALLMARK_GLYCOLYSIS	Mutter_01	0.9374	8
Endothelial	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.9931	8
Endothelial	HALLMARK_HEME_METABOLISM	Mutter_01	0.5883	8
Endothelial	HALLMARK_HYPOXIA	Mutter_01	0.8843	8
Endothelial	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.9895	8
Endothelial	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9888	8
Endothelial	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9906	8
Endothelial	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.7964	8
Endothelial	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9227	8
Endothelial	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.7806	8
Endothelial	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.9347	8
Endothelial	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9816	8
Endothelial	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.9629	8
Endothelial	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.9191	8
Endothelial	HALLMARK_MYOGENESIS	Mutter_01	0.9981	8
Endothelial	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.9196	8
Endothelial	HALLMARK_P53_PATHWAY	Mutter_01	0.9038	8
Endothelial	HALLMARK_PEROXISOME	Mutter_01	0.9539	8
Endothelial	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.9513	8
Endothelial	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.5619	8
Endothelial	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9619	8
Endothelial	HALLMARK_SPERMATOGENESIS	Mutter_01	0.7845	8
Endothelial	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.881	8
Endothelial	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	-0.2083	8
Endothelial	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9873	8
Endothelial	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.8337	8
Endothelial	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	0.42	8
Endothelial	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.9869	8
Endothelial	Hypoxia	Mutter_01	0.8015	8
Endothelial	SASP	Mutter_01	0.9944	8
Endothelial	Stromal_stress_senescence	Mutter_01	0.9955	8
Endothelial	TypeII_interferon	Mutter_01	0.8344	8
Endothelial	TypeI_interferon	Mutter_01	0.7537	8
Epithelial cells	Angiogenesis	Mutter_01	0.9861	8
Epithelial cells	DNA_Damage_Repair	Mutter_01	0.963	8
Epithelial cells	Fibrosis_remodeling	Mutter_01	0.979	8
Epithelial cells	HALLMARK_ADIPOGENESIS	Mutter_01	0.9527	8
Epithelial cells	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9862	8
Epithelial cells	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.8917	8
Epithelial cells	HALLMARK_ANGIOGENESIS	Mutter_01	0.9894	8
Epithelial cells	HALLMARK_APICAL_JUNCTION	Mutter_01	0.9355	8
Epithelial cells	HALLMARK_APICAL_SURFACE	Mutter_01	0.9897	8
Epithelial cells	HALLMARK_APOPTOSIS	Mutter_01	0.99	8
Epithelial cells	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.9786	8
Epithelial cells	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.9248	8
Epithelial cells	HALLMARK_COAGULATION	Mutter_01	0.9556	8
Epithelial cells	HALLMARK_COMPLEMENT	Mutter_01	0.99	8
Epithelial cells	HALLMARK_DNA_REPAIR	Mutter_01	0.9907	8
Epithelial cells	HALLMARK_E2F_TARGETS	Mutter_01	0.9493	8
Epithelial cells	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9881	8
Epithelial cells	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.993	8
Epithelial cells	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9887	8
Epithelial cells	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9148	8
Epithelial cells	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.9827	8
Epithelial cells	HALLMARK_GLYCOLYSIS	Mutter_01	0.9586	8
Epithelial cells	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.9719	8
Epithelial cells	HALLMARK_HEME_METABOLISM	Mutter_01	0.9823	8
Epithelial cells	HALLMARK_HYPOXIA	Mutter_01	0.9925	8
Epithelial cells	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.9921	8
Epithelial cells	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9739	8
Epithelial cells	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9941	8
Epithelial cells	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.8432	8
Epithelial cells	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9845	8
Epithelial cells	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.9409	8
Epithelial cells	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.9664	8
Epithelial cells	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9643	8
Epithelial cells	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.8709	8
Epithelial cells	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.7172	8
Epithelial cells	HALLMARK_MYOGENESIS	Mutter_01	0.984	8
Epithelial cells	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.9562	8
Epithelial cells	HALLMARK_P53_PATHWAY	Mutter_01	0.985	8
Epithelial cells	HALLMARK_PEROXISOME	Mutter_01	0.9692	8
Epithelial cells	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.942	8
Epithelial cells	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.9736	8
Epithelial cells	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9939	8
Epithelial cells	HALLMARK_SPERMATOGENESIS	Mutter_01	0.9566	8
Epithelial cells	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.9819	8
Epithelial cells	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	0.8355	8
Epithelial cells	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9652	8
Epithelial cells	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.9655	8
Epithelial cells	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	0.9755	8
Epithelial cells	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.938	8
Epithelial cells	Hypoxia	Mutter_01	0.962	8
Epithelial cells	SASP	Mutter_01	0.8743	8
Epithelial cells	Stromal_stress_senescence	Mutter_01	0.9651	8
Epithelial cells	TypeII_interferon	Mutter_01	0.8415	8
Epithelial cells	TypeI_interferon	Mutter_01	0.9352	8
Fibroblast	Angiogenesis	Mutter_01	0.7949	8
Fibroblast	DNA_Damage_Repair	Mutter_01	0.9616	8
Fibroblast	Fibrosis_remodeling	Mutter_01	0.9973	8
Fibroblast	HALLMARK_ADIPOGENESIS	Mutter_01	0.9569	8
Fibroblast	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9984	8
Fibroblast	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.9386	8
Fibroblast	HALLMARK_ANGIOGENESIS	Mutter_01	0.9875	8
Fibroblast	HALLMARK_APICAL_JUNCTION	Mutter_01	0.9818	8
Fibroblast	HALLMARK_APICAL_SURFACE	Mutter_01	0.6392	8
Fibroblast	HALLMARK_APOPTOSIS	Mutter_01	0.9981	8
Fibroblast	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.8075	8
Fibroblast	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.6861	8
Fibroblast	HALLMARK_COAGULATION	Mutter_01	0.9338	8
Fibroblast	HALLMARK_COMPLEMENT	Mutter_01	0.8084	8
Fibroblast	HALLMARK_DNA_REPAIR	Mutter_01	0.5755	8
Fibroblast	HALLMARK_E2F_TARGETS	Mutter_01	0.8404	8
Fibroblast	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9934	8
Fibroblast	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9922	8
Fibroblast	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9014	8
Fibroblast	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9946	8
Fibroblast	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.6995	8
Fibroblast	HALLMARK_GLYCOLYSIS	Mutter_01	0.9419	8
Fibroblast	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.8226	8
Fibroblast	HALLMARK_HEME_METABOLISM	Mutter_01	0.6141	8
Fibroblast	HALLMARK_HYPOXIA	Mutter_01	0.9205	8
Fibroblast	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.9898	8
Fibroblast	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9958	8
Fibroblast	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9708	8
Fibroblast	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.736	8
Fibroblast	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9153	8
Fibroblast	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.4844	8
Fibroblast	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.9527	8
Fibroblast	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9959	8
Fibroblast	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.9423	8
Fibroblast	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.9297	8
Fibroblast	HALLMARK_MYOGENESIS	Mutter_01	0.9798	8
Fibroblast	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.9761	8
Fibroblast	HALLMARK_P53_PATHWAY	Mutter_01	0.9688	8
Fibroblast	HALLMARK_PEROXISOME	Mutter_01	0.9816	8
Fibroblast	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.0476	8
Fibroblast	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.9113	8
Fibroblast	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9921	8
Fibroblast	HALLMARK_SPERMATOGENESIS	Mutter_01	0.9474	8
Fibroblast	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.8054	8
Fibroblast	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	-0.3194	8
Fibroblast	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9536	8
Fibroblast	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.7661	8
Fibroblast	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	-0.12	8
Fibroblast	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.9685	8
Fibroblast	Hypoxia	Mutter_01	0.8803	8
Fibroblast	SASP	Mutter_01	0.6629	8
Fibroblast	Stromal_stress_senescence	Mutter_01	0.9888	8
Fibroblast	TypeII_interferon	Mutter_01	0.9024	8
Fibroblast	TypeI_interferon	Mutter_01	0.8829	8
ILC	Angiogenesis	Mutter_01	0.9186	8
ILC	DNA_Damage_Repair	Mutter_01	0.9512	8
ILC	Fibrosis_remodeling	Mutter_01	0.9994	8
ILC	HALLMARK_ADIPOGENESIS	Mutter_01	0.9581	8
ILC	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9974	8
ILC	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.8961	8
ILC	HALLMARK_ANGIOGENESIS	Mutter_01	0.9964	8
ILC	HALLMARK_APICAL_JUNCTION	Mutter_01	0.8549	8
ILC	HALLMARK_APICAL_SURFACE	Mutter_01	0.8402	8
ILC	HALLMARK_APOPTOSIS	Mutter_01	0.9404	8
ILC	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.8655	8
ILC	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.5812	8
ILC	HALLMARK_COAGULATION	Mutter_01	0.6193	8
ILC	HALLMARK_COMPLEMENT	Mutter_01	0.9849	8
ILC	HALLMARK_DNA_REPAIR	Mutter_01	0.7283	8
ILC	HALLMARK_E2F_TARGETS	Mutter_01	0.9662	8
ILC	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION;HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9989	8
ILC	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9847	8
ILC	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9318	8
ILC	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.9929	8
ILC	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.9344	8
ILC	HALLMARK_GLYCOLYSIS	Mutter_01	0.8966	8
ILC	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.8076	8
ILC	HALLMARK_HEME_METABOLISM	Mutter_01	0.5628	8
ILC	HALLMARK_HYPOXIA	Mutter_01	0.8304	8
ILC	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.9877	8
ILC	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9944	8
ILC	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9891	8
ILC	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.8014	8
ILC	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9717	8
ILC	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.9312	8
ILC	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.8659	8
ILC	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9752	8
ILC	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.9299	8
ILC	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.9573	8
ILC	HALLMARK_MYOGENESIS	Mutter_01	0.9958	8
ILC	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.9877	8
ILC	HALLMARK_P53_PATHWAY	Mutter_01	0.4936	8
ILC	HALLMARK_PEROXISOME	Mutter_01	0.9938	8
ILC	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.9364	8
ILC	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.0946	8
ILC	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9944	8
ILC	HALLMARK_SPERMATOGENESIS	Mutter_01	0.7762	8
ILC	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.9712	8
ILC	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	0.2745	8
ILC	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9947	8
ILC	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.7223	8
ILC	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	0.7845	8
ILC	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.9933	8
ILC	Hypoxia	Mutter_01	0.9547	8
ILC	SASP	Mutter_01	0.9128	8
ILC	Stromal_stress_senescence	Mutter_01	0.9829	8
ILC	TypeII_interferon	Mutter_01	0.8779	8
ILC	TypeI_interferon	Mutter_01	0.8667	8
Macrophages	Angiogenesis	Mutter_01	0.9173	8
Macrophages	DNA_Damage_Repair	Mutter_01	0.8276	8
Macrophages	Fibrosis_remodeling	Mutter_01	0.9968	8
Macrophages	HALLMARK_ADIPOGENESIS	Mutter_01	0.9969	8
Macrophages	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.999	8
Macrophages	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.9599	8
Macrophages	HALLMARK_ANGIOGENESIS	Mutter_01	0.9978	8
Macrophages	HALLMARK_APICAL_JUNCTION	Mutter_01	0.4926	8
Macrophages	HALLMARK_APICAL_SURFACE	Mutter_01	0.8358	8
Macrophages	HALLMARK_APOPTOSIS	Mutter_01	0.9463	8
Macrophages	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.9424	8
Macrophages	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.8093	8
Macrophages	HALLMARK_COAGULATION	Mutter_01	0.9809	8
