cluster	n_cells	frac	top_lineage	compartment	frac_M01	frac_M02	minority_frac	neg_mean	signal_to_bg
0	353775	0.108	Fibroblast	stroma	0.3489	0.6511	0.3489	0.008	41.14
1	324724	0.0991	SmoothMuscle	stroma	0.4297	0.5703	0.4297	0.0074	19.81
2	294734	0.0899	Epithelial	tumor	0.278	0.722	0.278	0.0234	31.76
3	285616	0.0872	Fibroblast	stroma	0.6994	0.3006	0.3006	0.0178	12.12
4	278576	0.085	Epithelial	tumor	0.1143	0.8857	0.1143	0.0112	44.26
5	265234	0.0809	Epithelial	tumor	0.0627	0.9373	0.0627	0.0213	32.57
6	245121	0.0748	Epithelial	tumor	0.6314	0.3686	0.3686	0.0145	17.26
7	241148	0.0736	Macrophage	immune	0.1145	0.8855	0.1145	0.0125	42.47
8	234509	0.0716	Epithelial	tumor	0.0652	0.9348	0.0652	0.0109	18.48
9	207460	0.0633	Epithelial	tumor	0.1464	0.8536	0.1464	0.0121	30.09
10	168795	0.0515	Fibroblast	stroma	0.2258	0.7742	0.2258	0.0056	21.72
11	158745	0.0484	Epithelial	tumor	0.0921	0.9079	0.0921	0.016	34.18
12	72239	0.022	Fibroblast	stroma	0.3523	0.6477	0.3523	0.0121	56.67
13	31672	0.0097	Fibroblast	stroma	0.4425	0.5575	0.4425	0.0091	21.48
14	20898	0.0064	Epithelial	tumor	0.3189	0.6811	0.3189	0.0071	21.52
15	20688	0.0063	Fibroblast	stroma	0.3699	0.6301	0.3699	0.0108	19.83
16	13275	0.0041	Fibroblast	stroma	0.2969	0.7031	0.2969	0.0108	22.87
17	10351	0.0032	Epithelial	tumor	0.3172	0.6828	0.3172	0.012	21.58
18	9323	0.0028	Fibroblast	stroma	0.5666	0.4334	0.4334	0.0096	18.8
19	6302	0.0019	Fibroblast	stroma	0.2398	0.7602	0.2398	0.013	18.23
20	5327	0.0016	Epithelial	tumor	0.2611	0.7389	0.2611	0.0075	24.25
21	4892	0.0015	Epithelial	tumor	0.3299	0.6701	0.3299	0.0109	27.79
22	4435	0.0014	Epithelial	tumor	0.3319	0.6681	0.3319	0.0103	24.43
23	3439	0.001	Epithelial	tumor	0.205	0.795	0.205	0.0122	23.99
24	3155	0.001	Fibroblast	stroma	0.3905	0.6095	0.3905	0.0089	19.89
25	1959	0.0006	Mast	immune	0.2394	0.7606	0.2394	0.011	188.92
26	1741	0.0005	Epithelial	tumor	0.2085	0.7915	0.2085	0.0166	32.36
27	1665	0.0005	Fibroblast	stroma	0.2847	0.7153	0.2847	0.0077	17.23
28	1147	0.0004	Fibroblast	stroma	0.2703	0.7297	0.2703	0.0075	42.01
29	960	0.0003	Neutrophil	immune	0.2396	0.7604	0.2396	0.0101	14.09
30	952	0.0003	Neutrophil	immune	0.4265	0.5735	0.4265	0.0104	18.37
31	831	0.0003	Fibroblast	stroma	0.2684	0.7316	0.2684	0.0083	22.62
32	793	0.0002	Fibroblast	stroma	0.3569	0.6431	0.3569	0.011	14.61
33	702	0.0002	Epithelial	tumor	0.5299	0.4701	0.4701	0.008	11.5
34	688	0.0002	Fibroblast	stroma	0.3765	0.6235	0.3765	0.0113	21.12
35	559	0.0002	Fibroblast	stroma	0.5438	0.4562	0.4562	0.01	11.09
36	318	0.0001	Epithelial	tumor	0.4623	0.5377	0.4623	0.0148	19.39
37	286	0.0001	Epithelial	tumor	0.451	0.549	0.451	0.014	19.38
38	5	0.0	SmoothMuscle	stroma	0.2	0.8	0.2	0.02	12.86
39	4	0.0	Epithelial	tumor	0.5	0.5	0.5	0.0	218750.0
40	4	0.0	Fibroblast	stroma	0.0	1.0	0.0	0.05	5.5
41	4	0.0	Epithelial	tumor	0.0	1.0	0.0	0.0	312500.0
42	4	0.0	Epithelial	tumor	0.5	0.5	0.5	0.05	9.38
43	4	0.0	Epithelial	tumor	0.25	0.75	0.25	0.0	218750.0
44	3	0.0	Fibroblast	stroma	0.6667	0.3333	0.3333	0.0	166666.67
45	3	0.0	Epithelial	tumor	0.0	1.0	0.0	0.0	125000.0
46	3	0.0	Mast	immune	0.6667	0.3333	0.3333	0.0	166666.67
47	3	0.0	Fibroblast	stroma	0.6667	0.3333	0.3333	0.0	766666.67
48	3	0.0	Mast	immune	0.6667	0.3333	0.3333	0.0	166666.67
49	3	0.0	Epithelial	tumor	0.6667	0.3333	0.3333	0.0	250000.0
50	3	0.0	Pericyte	stroma	0.3333	0.6667	0.3333	0.0	111111.11
51	2	0.0	Neutrophil	immune	0.5	0.5	0.5	0.0	312500.0
52	2	0.0	Macrophage	immune	0.5	0.5	0.5	0.0	71428.57
53	2	0.0	SmoothMuscle	stroma	0.0	1.0	0.0	0.0	142857.14
54	2	0.0	SmoothMuscle	stroma	0.0	1.0	0.0	0.05	2.86
55	2	0.0	Epithelial	tumor	0.5	0.5	0.5	0.0	250000.0
