cell_type	pathway_name	dataset	pearson_r	n_samples
DC	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Mutter_01	0.9984	8
DC	HALLMARK_ESTROGEN_RESPONSE_EARLY	Mutter_01	0.9574	8
DC	HALLMARK_ESTROGEN_RESPONSE_LATE	Mutter_01	0.9934	8
DC	HALLMARK_FATTY_ACID_METABOLISM	Mutter_01	0.8584	8
DC	HALLMARK_G2M_CHECKPOINT	Mutter_01	0.9878	8
DC	HALLMARK_GLYCOLYSIS	Mutter_01	0.848	8
DC	HALLMARK_HEDGEHOG_SIGNALING	Mutter_01	0.9069	8
DC	HALLMARK_HEME_METABOLISM	Mutter_01	0.7176	8
DC	HALLMARK_HYPOXIA	Mutter_01	0.9411	8
DC	HALLMARK_IL2_STAT5_SIGNALING	Mutter_01	0.993	8
DC	HALLMARK_IL6_JAK_STAT3_SIGNALING	Mutter_01	0.9967	8
DC	HALLMARK_INFLAMMATORY_RESPONSE	Mutter_01	0.9943	8
DC	HALLMARK_INTERFERON_ALPHA_RESPONSE	Mutter_01	0.9291	8
DC	HALLMARK_INTERFERON_GAMMA_RESPONSE	Mutter_01	0.9936	8
DC	HALLMARK_KRAS_SIGNALING_DN	Mutter_01	0.9214	8
DC	HALLMARK_KRAS_SIGNALING_UP	Mutter_01	0.9138	8
DC	HALLMARK_MITOTIC_SPINDLE	Mutter_01	0.9674	8
DC	HALLMARK_MTORC1_SIGNALING	Mutter_01	0.9048	8
DC	HALLMARK_MYC_TARGETS_V1	Mutter_01	0.952	8
DC	HALLMARK_MYC_TARGETS_V2	Mutter_01	0.9929	8
DC	HALLMARK_MYOGENESIS	Mutter_01	0.996	8
DC	HALLMARK_NOTCH_SIGNALING	Mutter_01	0.9922	8
DC	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Mutter_01	0.773	8
DC	HALLMARK_P53_PATHWAY	Mutter_01	0.9633	8
DC	HALLMARK_PANCREAS_BETA_CELLS	Mutter_01	0.4403	8
DC	HALLMARK_PEROXISOME	Mutter_01	0.9044	8
DC	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Mutter_01	0.9908	8
DC	HALLMARK_PROTEIN_SECRETION	Mutter_01	0.7871	8
DC	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mutter_01	0.9908	8
DC	HALLMARK_SPERMATOGENESIS	Mutter_01	0.9115	8
DC	HALLMARK_TGF_BETA_SIGNALING	Mutter_01	0.9695	8
DC	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mutter_01	0.9985	8
DC	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mutter_01	0.9744	8
DC	HALLMARK_UV_RESPONSE_DN	Mutter_01	0.9961	8
DC	HALLMARK_UV_RESPONSE_UP	Mutter_01	0.9705	8
DC	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Mutter_01	0.9941	8
DC	HALLMARK_XENOBIOTIC_METABOLISM	Mutter_01	0.9676	8
DC	STING	Mutter_01	0.9659	8
DC	TypeII_interferon	Mutter_01	0.9978	8
DC	TypeI_interferon	Mutter_01	0.9633	8
Endothelial	DNA_Damage_Repair	Mutter_01	0.9515	8
Endothelial	HALLMARK_ADIPOGENESIS	Mutter_01	0.9955	8
Endothelial	HALLMARK_ALLOGRAFT_REJECTION	Mutter_01	0.9993	8
Endothelial	HALLMARK_ANDROGEN_RESPONSE	Mutter_01	0.964	8
Endothelial	HALLMARK_ANGIOGENESIS	Mutter_01	0.8157	8
Endothelial	HALLMARK_APICAL_JUNCTION	Mutter_01	0.8641	8
Endothelial	HALLMARK_APICAL_SURFACE	Mutter_01	0.839	8
Endothelial	HALLMARK_APOPTOSIS	Mutter_01	0.9913	8
Endothelial	HALLMARK_BILE_ACID_METABOLISM	Mutter_01	0.8738	8
Endothelial	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Mutter_01	0.3162	8
Endothelial	HALLMARK_COAGULATION	Mutter_01	0.9235	8
Endothelial	HALLMARK_COMPLEMENT	Mutter_01	0.8971	8
Endothelial	HALLMARK_DNA_REPAIR	Mutter_01	0.6849	8
Endothelial	HALLMARK_E2F_TARGETS	Mutter_01	0.8009	8
Endothelial	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Mutter_01	0.9994	8
