subcluster	n_cells	frac	frac_M01	frac_M02	minority_frac	neg_mean
67	3255	0.0024	0.1687	0.8313	0.1687	0.0056
68	3189	0.0024	0.3826	0.6174	0.3826	0.0064
69	3031	0.0023	0.553	0.447	0.447	0.0085
70	3024	0.0023	0.5946	0.4054	0.4054	0.0088
71	3020	0.0023	0.5474	0.4526	0.4526	0.0099
72	2907	0.0022	0.2982	0.7018	0.2982	0.0079
73	2886	0.0022	0.5561	0.4439	0.4439	0.0092
74	2879	0.0022	0.6148	0.3852	0.3852	0.0094
75	2871	0.0022	0.5719	0.4281	0.4281	0.0103
76	2837	0.0021	0.5263	0.4737	0.4737	0.008
77	2766	0.0021	0.4035	0.5965	0.4035	0.0076
78	2759	0.0021	0.602	0.398	0.398	0.0088
79	2692	0.002	0.5728	0.4272	0.4272	0.0091
80	2688	0.002	0.1466	0.8534	0.1466	0.0068
81	2655	0.002	0.2712	0.7288	0.2712	0.0071
82	2654	0.002	0.7095	0.2905	0.2905	0.0095
83	2641	0.002	0.5706	0.4294	0.4294	0.0108
84	2526	0.0019	0.5352	0.4648	0.4648	0.0115
85	2498	0.0019	0.6073	0.3927	0.3927	0.0125
86	2474	0.0019	0.3508	0.6492	0.3508	0.0066
87	2461	0.0018	0.4441	0.5559	0.4441	0.0095
88	2448	0.0018	0.4767	0.5233	0.4767	0.0068
89	2448	0.0018	0.7349	0.2651	0.2651	0.0132
90	2410	0.0018	0.3701	0.6299	0.3701	0.0078
91	2398	0.0018	0.3403	0.6597	0.3403	0.0049
92	2392	0.0018	0.4381	0.5619	0.4381	0.0084
93	2355	0.0018	0.4586	0.5414	0.4586	0.0084
94	2344	0.0018	0.273	0.727	0.273	0.0062
95	2293	0.0017	0.6367	0.3633	0.3633	0.0099
96	2280	0.0017	0.1846	0.8154	0.1846	0.0078
97	2249	0.0017	0.594	0.406	0.406	0.0096
98	2246	0.0017	0.4777	0.5223	0.4777	0.0071
99	2219	0.0017	0.1645	0.8355	0.1645	0.0059
100	2210	0.0017	0.5385	0.4615	0.4615	0.0085
101	2200	0.0017	0.4982	0.5018	0.4982	0.0081
102	2166	0.0016	0.5619	0.4381	0.4381	0.0079
103	2165	0.0016	0.4286	0.5714	0.4286	0.0069
104	2156	0.0016	0.4699	0.5301	0.4699	0.008
105	2149	0.0016	0.1815	0.8185	0.1815	0.0048
106	2129	0.0016	0.566	0.434	0.434	0.0089
107	2096	0.0016	0.2452	0.7548	0.2452	0.0057
108	2080	0.0016	0.6389	0.3611	0.3611	0.0086
109	2055	0.0015	0.329	0.671	0.329	0.0063
110	2035	0.0015	0.5111	0.4889	0.4889	0.0116
111	2029	0.0015	0.3411	0.6589	0.3411	0.0078
112	2019	0.0015	0.3125	0.6875	0.3125	0.007
113	2004	0.0015	0.2625	0.7375	0.2625	0.0066
114	1993	0.0015	0.3497	0.6503	0.3497	0.008
115	1988	0.0015	0.5568	0.4432	0.4432	0.0102
116	1977	0.0015	0.4937	0.5063	0.4937	0.0085
117	1956	0.0015	0.3885	0.6115	0.3885	0.0077
118	1953	0.0015	0.2811	0.7189	0.2811	0.0062
119	1934	0.0015	0.5786	0.4214	0.4214	0.0096
120	1931	0.0015	0.4267	0.5733	0.4267	0.0077
121	1929	0.0014	0.3193	0.6807	0.3193	0.0062
122	1929	0.0014	0.6667	0.3333	0.3333	0.0079
123	1917	0.0014	0.5029	0.4971	0.4971	0.0077
124	1905	0.0014	0.5459	0.4541	0.4541	0.0071
125	1886	0.0014	0.2715	0.7285	0.2715	0.006
126	1884	0.0014	0.4421	0.5579	0.4421	0.0076
127	1884	0.0014	0.5021	0.4979	0.4979	0.0091
128	1854	0.0014	0.6111	0.3889	0.3889	0.0086
129	1851	0.0014	0.47	0.53	0.47	0.0077
130	1849	0.0014	0.6052	0.3948	0.3948	0.0091
131	1846	0.0014	0.6197	0.3803	0.3803	0.0129
132	1845	0.0014	0.3073	0.6927	0.3073	0.0067
133	1843	0.0014	0.6413	0.3587	0.3587	0.0108
134	1840	0.0014	0.5033	0.4967	0.4967	0.009
135	1833	0.0014	0.3382	0.6618	0.3382	0.0077
136	1830	0.0014	0.5104	0.4896	0.4896	0.0114
137	1822	0.0014	0.4396	0.5604	0.4396	0.0085
138	1820	0.0014	0.3033	0.6967	0.3033	0.0068
139	1818	0.0014	0.5765	0.4235	0.4235	0.0113
140	1818	0.0014	0.2602	0.7398	0.2602	0.0067
141	1817	0.0014	0.3544	0.6456	0.3544	0.0061
142	1799	0.0014	0.3213	0.6787	0.3213	0.0096
143	1786	0.0013	0.4642	0.5358	0.4642	0.0081
144	1785	0.0013	0.6011	0.3989	0.3989	0.0142
145	1737	0.0013	0.4272	0.5728	0.4272	0.0081
146	1711	0.0013	0.4781	0.5219	0.4781	0.0082
147	1701	0.0013	0.5826	0.4174	0.4174	0.0089
148	1673	0.0013	0.5403	0.4597	0.4597	0.0095
149	1657	0.0012	0.2366	0.7634	0.2366	0.0072
150	1634	0.0012	0.623	0.377	0.377	0.0113
151	1633	0.0012	0.6436	0.3564	0.3564	0.0148
152	1629	0.0012	0.6341	0.3659	0.3659	0.0123
153	1626	0.0012	0.492	0.508	0.492	0.008
154	1624	0.0012	0.3479	0.6521	0.3479	0.0063
155	1621	0.0012	0.4084	0.5916	0.4084	0.0098
156	1621	0.0012	0.2825	0.7175	0.2825	0.0067
157	1620	0.0012	0.3407	0.6593	0.3407	0.0108
158	1618	0.0012	0.4666	0.5334	0.4666	0.0087
159	1610	0.0012	0.4957	0.5043	0.4957	0.0117
160	1609	0.0012	0.2691	0.7309	0.2691	0.008
161	1608	0.0012	0.6387	0.3613	0.3613	0.0103
162	1607	0.0012	0.308	0.692	0.308	0.0073
163	1603	0.0012	0.179	0.821	0.179	0.006
164	1602	0.0012	0.8034	0.1966	0.1966	0.0104
165	1590	0.0012	0.1906	0.8094	0.1906	0.0049
166	1589	0.0012	0.7231	0.2769	0.2769	0.0106
167	1581	0.0012	0.2751	0.7249	0.2751	0.0078
168	1571	0.0012	0.6652	0.3348	0.3348	0.009
169	1559	0.0012	0.5683	0.4317	0.4317	0.0113
170	1549	0.0012	0.2621	0.7379	0.2621	0.0071
171	1536	0.0012	0.4447	0.5553	0.4447	0.0071
172	1531	0.0011	0.7413	0.2587	0.2587	0.0108
173	1523	0.0011	0.5167	0.4833	0.4833	0.0083
174	1521	0.0011	0.3531	0.6469	0.3531	0.0076
175	1519	0.0011	0.1791	0.8209	0.1791	0.0059
176	1512	0.0011	0.4537	0.5463	0.4537	0.0081
177	1508	0.0011	0.7653	0.2347	0.2347	0.0094
178	1502	0.0011	0.5999	0.4001	0.4001	0.0076
179	1498	0.0011	0.6188	0.3812	0.3812	0.0081
180	1497	0.0011	0.6286	0.3714	0.3714	0.0133
181	1495	0.0011	0.4515	0.5485	0.4515	0.0069
182	1491	0.0011	0.5909	0.4091	0.4091	0.0094
183	1489	0.0011	0.6635	0.3365	0.3365	0.0094
184	1469	0.0011	0.5459	0.4541	0.4541	0.0074
185	1450	0.0011	0.5641	0.4359	0.4359	0.0082
186	1423	0.0011	0.3338	0.6662	0.3338	0.0079
187	1422	0.0011	0.3615	0.6385	0.3615	0.007
188	1420	0.0011	0.2796	0.7204	0.2796	0.0056
189	1420	0.0011	0.5296	0.4704	0.4704	0.0084
190	1405	0.0011	0.5253	0.4747	0.4747	0.0093
191	1404	0.0011	0.2201	0.7799	0.2201	0.0069
192	1399	0.0011	0.2616	0.7384	0.2616	0.0058
193	1391	0.001	0.514	0.486	0.486	0.0096
194	1387	0.001	0.2956	0.7044	0.2956	0.0056
195	1378	0.001	0.2329	0.7671	0.2329	0.0065
196	1378	0.001	0.2983	0.7017	0.2983	0.0056
197	1371	0.001	0.4748	0.5252	0.4748	0.0084
198	1368	0.001	0.6053	0.3947	0.3947	0.0113
199	1359	0.001	0.5504	0.4496	0.4496	0.0107
200	1358	0.001	0.4396	0.5604	0.4396	0.0092
201	1349	0.001	0.4351	0.5649	0.4351	0.0068
202	1345	0.001	0.4587	0.5413	0.4587	0.0085
203	1342	0.001	0.4568	0.5432	0.4568	0.0074
204	1340	0.001	0.5933	0.4067	0.4067	0.0103
205	1337	0.001	0.5243	0.4757	0.4757	0.0116
206	1334	0.001	0.1799	0.8201	0.1799	0.0067
207	1334	0.001	0.5225	0.4775	0.4775	0.0091
208	1330	0.001	0.4977	0.5023	0.4977	0.0083
209	1329	0.001	0.3168	0.6832	0.3168	0.0102
210	1327	0.001	0.6074	0.3926	0.3926	0.0103
211	1327	0.001	0.5901	0.4099	0.4099	0.0118
212	1325	0.001	0.3645	0.6355	0.3645	0.0067
213	1320	0.001	0.5265	0.4735	0.4735	0.0069
214	1320	0.001	0.5992	0.4008	0.4008	0.0098
215	1317	0.001	0.2407	0.7593	0.2407	0.0055
216	1313	0.001	0.5362	0.4638	0.4638	0.0095
217	1308	0.001	0.5535	0.4465	0.4465	0.0076
218	1302	0.001	0.3925	0.6075	0.3925	0.0102
219	1301	0.001	0.5749	0.4251	0.4251	0.01
220	1297	0.001	0.7702	0.2298	0.2298	0.0119
221	1296	0.001	0.5455	0.4545	0.4545	0.0091
222	1295	0.001	0.3398	0.6602	0.3398	0.0065
223	1295	0.001	0.4093	0.5907	0.4093	0.0071
224	1290	0.001	0.4155	0.5845	0.4155	0.0089
225	1281	0.001	0.2209	0.7791	0.2209	0.0074
226	1275	0.001	0.4204	0.5796	0.4204	0.006
227	1272	0.001	0.3318	0.6682	0.3318	0.009
228	1268	0.001	0.5394	0.4606	0.4606	0.0099
229	1263	0.0009	0.346	0.654	0.346	0.0063
230	1256	0.0009	0.6481	0.3519	0.3519	0.0138
231	1254	0.0009	0.5016	0.4984	0.4984	0.0076
232	1253	0.0009	0.5706	0.4294	0.4294	0.0133
233	1253	0.0009	0.4022	0.5978	0.4022	0.0077
234	1253	0.0009	0.4972	0.5028	0.4972	0.0109
235	1251	0.0009	0.6339	0.3661	0.3661	0.0105
236	1249	0.0009	0.4219	0.5781	0.4219	0.0085
237	1248	0.0009	0.4752	0.5248	0.4752	0.0087
238	1242	0.0009	0.5137	0.4863	0.4863	0.0086
239	1208	0.0009	0.5406	0.4594	0.4594	0.0093
240	1208	0.0009	0.5579	0.4421	0.4421	0.0079
241	1187	0.0009	0.6816	0.3184	0.3184	0.0117
242	1171	0.0009	0.6157	0.3843	0.3843	0.0108
243	1169	0.0009	0.2053	0.7947	0.2053	0.0066
244	1164	0.0009	0.4734	0.5266	0.4734	0.0076
245	1156	0.0009	0.5433	0.4567	0.4567	0.0105
246	1150	0.0009	0.607	0.393	0.393	0.0097
247	1149	0.0009	0.5744	0.4256	0.4256	0.007
248	1145	0.0009	0.3057	0.6943	0.3057	0.0068
249	1135	0.0009	0.422	0.578	0.422	0.0099
250	1125	0.0008	0.3102	0.6898	0.3102	0.0096
251	1121	0.0008	0.5816	0.4184	0.4184	0.012
252	1121	0.0008	0.6102	0.3898	0.3898	0.0103
253	1114	0.0008	0.4309	0.5691	0.4309	0.0064
254	1113	0.0008	0.3657	0.6343	0.3657	0.0062
255	1110	0.0008	0.3225	0.6775	0.3225	0.0126
256	1105	0.0008	0.2335	0.7665	0.2335	0.0053
257	1103	0.0008	0.6056	0.3944	0.3944	0.0107
258	1091	0.0008	0.2713	0.7287	0.2713	0.0059
259	1085	0.0008	0.5069	0.4931	0.4931	0.0066
260	1085	0.0008	0.4719	0.5281	0.4719	0.0114
261	1084	0.0008	0.4557	0.5443	0.4557	0.0107
262	1084	0.0008	0.5397	0.4603	0.4603	0.0122
263	1083	0.0008	0.542	0.458	0.458	0.0086
264	1083	0.0008	0.2742	0.7258	0.2742	0.0058
265	1076	0.0008	0.2612	0.7388	0.2612	0.0091
266	1071	0.0008	0.4556	0.5444	0.4556	0.0081
267	1070	0.0008	0.4346	0.5654	0.4346	0.0078
268	1064	0.0008	0.1767	0.8233	0.1767	0.0064
269	1056	0.0008	0.6553	0.3447	0.3447	0.0104
270	1049	0.0008	0.5205	0.4795	0.4795	0.0088
271	1045	0.0008	0.3072	0.6928	0.3072	0.0067
272	1041	0.0008	0.4822	0.5178	0.4822	0.0078
273	1035	0.0008	0.514	0.486	0.486	0.0094
274	1034	0.0008	0.4391	0.5609	0.4391	0.0082
275	1018	0.0008	0.6041	0.3959	0.3959	0.0111
276	999	0.0008	0.5465	0.4535	0.4535	0.0106
277	996	0.0007	0.4317	0.5683	0.4317	0.0082
278	987	0.0007	0.5653	0.4347	0.4347	0.0101
279	981	0.0007	0.2253	0.7747	0.2253	0.0086
280	979	0.0007	0.1379	0.8621	0.1379	0.007
281	979	0.0007	0.6925	0.3075	0.3075	0.012
282	973	0.0007	0.3422	0.6578	0.3422	0.011
283	967	0.0007	0.4178	0.5822	0.4178	0.0063
284	963	0.0007	0.2492	0.7508	0.2492	0.005
285	959	0.0007	0.5756	0.4244	0.4244	0.0082
286	958	0.0007	0.5073	0.4927	0.4927	0.0092
287	958	0.0007	0.3737	0.6263	0.3737	0.0063
288	957	0.0007	0.2278	0.7722	0.2278	0.0076
289	956	0.0007	0.205	0.795	0.205	0.0047
290	953	0.0007	0.3704	0.6296	0.3704	0.0073
291	950	0.0007	0.2895	0.7105	0.2895	0.0061
292	946	0.0007	0.3013	0.6987	0.3013	0.0057
293	942	0.0007	0.6115	0.3885	0.3885	0.0102
294	937	0.0007	0.4493	0.5507	0.4493	0.0098
295	934	0.0007	0.4797	0.5203	0.4797	0.0096
296	932	0.0007	0.5365	0.4635	0.4635	0.0075
297	929	0.0007	0.423	0.577	0.423	0.0083
298	927	0.0007	0.4088	0.5912	0.4088	0.0077
299	924	0.0007	0.382	0.618	0.382	0.0089
300	923	0.0007	0.5417	0.4583	0.4583	0.0103
301	922	0.0007	0.5249	0.4751	0.4751	0.0066
302	922	0.0007	0.5054	0.4946	0.4946	0.0107
303	922	0.0007	0.6095	0.3905	0.3905	0.0093
304	916	0.0007	0.393	0.607	0.393	0.0074
305	909	0.0007	0.3685	0.6315	0.3685	0.007
306	908	0.0007	0.6068	0.3932	0.3932	0.012
307	893	0.0007	0.4658	0.5342	0.4658	0.0103
308	891	0.0007	0.266	0.734	0.266	0.0065
309	889	0.0007	0.5816	0.4184	0.4184	0.0106
310	887	0.0007	0.4149	0.5851	0.4149	0.0063
311	883	0.0007	0.5798	0.4202	0.4202	0.0087
312	883	0.0007	0.2503	0.7497	0.2503	0.0083
313	879	0.0007	0.3879	0.6121	0.3879	0.0069
314	876	0.0007	0.355	0.645	0.355	0.0051
315	872	0.0007	0.6112	0.3888	0.3888	0.0139
316	870	0.0007	0.5184	0.4816	0.4816	0.0085
317	867	0.0007	0.6517	0.3483	0.3483	0.0078
318	867	0.0007	0.3449	0.6551	0.3449	0.0069
319	861	0.0006	0.7433	0.2567	0.2567	0.0103
320	860	0.0006	0.4105	0.5895	0.4105	0.0091
321	859	0.0006	0.5576	0.4424	0.4424	0.0081
322	858	0.0006	0.4009	0.5991	0.4009	0.0076
323	855	0.0006	0.5696	0.4304	0.4304	0.0089
324	852	0.0006	0.4495	0.5505	0.4495	0.0082
325	849	0.0006	0.5913	0.4087	0.4087	0.0073
326	848	0.0006	0.3361	0.6639	0.3361	0.007
327	848	0.0006	0.4693	0.5307	0.4693	0.0101
328	847	0.0006	0.5573	0.4427	0.4427	0.0079
329	847	0.0006	0.5443	0.4557	0.4557	0.0143
330	846	0.0006	0.5319	0.4681	0.4681	0.0086
331	845	0.0006	0.5266	0.4734	0.4734	0.0109
332	840	0.0006	0.5667	0.4333	0.4333	0.0121
333	835	0.0006	0.1976	0.8024	0.1976	0.0065
334	834	0.0006	0.5635	0.4365	0.4365	0.007
335	822	0.0006	0.2835	0.7165	0.2835	0.0078
336	820	0.0006	0.5585	0.4415	0.4415	0.0104
337	819	0.0006	0.3968	0.6032	0.3968	0.0074
338	818	0.0006	0.4768	0.5232	0.4768	0.0084
339	817	0.0006	0.3354	0.6646	0.3354	0.008
340	812	0.0006	0.4815	0.5185	0.4815	0.0084
341	812	0.0006	0.4963	0.5037	0.4963	0.0067
342	811	0.0006	0.4883	0.5117	0.4883	0.009
343	810	0.0006	0.479	0.521	0.479	0.0083
344	808	0.0006	0.5842	0.4158	0.4158	0.0141
345	798	0.0006	0.4812	0.5188	0.4812	0.0091
346	795	0.0006	0.5195	0.4805	0.4805	0.0079
347	792	0.0006	0.3434	0.6566	0.3434	0.0067
348	791	0.0006	0.2579	0.7421	0.2579	0.0063
349	785	0.0006	0.5401	0.4599	0.4599	0.0082
350	784	0.0006	0.5179	0.4821	0.4821	0.0096
351	783	0.0006	0.576	0.424	0.424	0.0105
352	779	0.0006	0.4377	0.5623	0.4377	0.0074
353	772	0.0006	0.2163	0.7837	0.2163	0.0078
354	772	0.0006	0.3174	0.6826	0.3174	0.0083
355	769	0.0006	0.4616	0.5384	0.4616	0.0068
356	765	0.0006	0.5464	0.4536	0.4536	0.0051
357	764	0.0006	0.4712	0.5288	0.4712	0.0089
358	764	0.0006	0.5641	0.4359	0.4359	0.0135
359	763	0.0006	0.5531	0.4469	0.4469	0.0058
360	758	0.0006	0.4921	0.5079	0.4921	0.0067
361	757	0.0006	0.5561	0.4439	0.4439	0.01
362	757	0.0006	0.5363	0.4637	0.4637	0.0074
363	756	0.0006	0.5979	0.4021	0.4021	0.011
364	755	0.0006	0.4675	0.5325	0.4675	0.0091
365	750	0.0006	0.6147	0.3853	0.3853	0.0108
366	747	0.0006	0.5127	0.4873	0.4873	0.0119
367	742	0.0006	0.5	0.5	0.5	0.0088
368	737	0.0006	0.5929	0.4071	0.4071	0.0098
369	737	0.0006	0.5943	0.4057	0.4057	0.0128
370	735	0.0006	0.6218	0.3782	0.3782	0.0102
371	733	0.0006	0.4925	0.5075	0.4925	0.0105
372	733	0.0006	0.558	0.442	0.442	0.0106
373	731	0.0005	0.4514	0.5486	0.4514	0.0096
374	727	0.0005	0.5254	0.4746	0.4746	0.0061
375	725	0.0005	0.5324	0.4676	0.4676	0.0135
376	723	0.0005	0.5436	0.4564	0.4564	0.0111
377	723	0.0005	0.574	0.426	0.426	0.009
378	722	0.0005	0.5526	0.4474	0.4474	0.0098
379	716	0.0005	0.2919	0.7081	0.2919	0.0054
380	715	0.0005	0.2769	0.7231	0.2769	0.0087
381	714	0.0005	0.5392	0.4608	0.4608	0.008
382	712	0.0005	0.2949	0.7051	0.2949	0.0077
383	711	0.0005	0.526	0.474	0.474	0.0077
384	710	0.0005	0.1225	0.8775	0.1225	0.0094
385	708	0.0005	0.3446	0.6554	0.3446	0.0085
386	707	0.0005	0.2405	0.7595	0.2405	0.0078
387	706	0.0005	0.3144	0.6856	0.3144	0.0055
388	704	0.0005	0.4773	0.5227	0.4773	0.0091
389	699	0.0005	0.2446	0.7554	0.2446	0.008
390	695	0.0005	0.1856	0.8144	0.1856	0.0068
391	693	0.0005	0.5945	0.4055	0.4055	0.0085
392	693	0.0005	0.5859	0.4141	0.4141	0.0079
393	692	0.0005	0.4957	0.5043	0.4957	0.0081
394	691	0.0005	0.5326	0.4674	0.4674	0.0091
395	683	0.0005	0.3572	0.6428	0.3572	0.0073
396	675	0.0005	0.5867	0.4133	0.4133	0.0089
397	671	0.0005	0.544	0.456	0.456	0.0097
398	669	0.0005	0.5247	0.4753	0.4753	0.0078
399	669	0.0005	0.6756	0.3244	0.3244	0.0143
400	667	0.0005	0.4933	0.5067	0.4933	0.0073
401	667	0.0005	0.3703	0.6297	0.3703	0.006
402	665	0.0005	0.4526	0.5474	0.4526	0.0078
403	664	0.0005	0.6069	0.3931	0.3931	0.0096
404	663	0.0005	0.5475	0.4525	0.4525	0.0094
405	663	0.0005	0.5279	0.4721	0.4721	0.0109
406	661	0.0005	0.4478	0.5522	0.4478	0.0123
407	660	0.0005	0.5939	0.4061	0.4061	0.0083
408	660	0.0005	0.3652	0.6348	0.3652	0.0067
409	655	0.0005	0.3008	0.6992	0.3008	0.0073
410	654	0.0005	0.5856	0.4144	0.4144	0.0109
411	653	0.0005	0.3415	0.6585	0.3415	0.0095
412	653	0.0005	0.5176	0.4824	0.4824	0.0115
413	652	0.0005	0.4049	0.5951	0.4049	0.0121
414	649	0.0005	0.2681	0.7319	0.2681	0.0096
415	647	0.0005	0.6043	0.3957	0.3957	0.0141
416	644	0.0005	0.2811	0.7189	0.2811	0.0075
417	643	0.0005	0.5241	0.4759	0.4759	0.0087
418	643	0.0005	0.381	0.619	0.381	0.0079
419	641	0.0005	0.5928	0.4072	0.4072	0.0109
420	637	0.0005	0.5981	0.4019	0.4019	0.0074
421	634	0.0005	0.4353	0.5647	0.4353	0.0104
422	630	0.0005	0.4603	0.5397	0.4603	0.0097
423	630	0.0005	0.5016	0.4984	0.4984	0.0097
424	629	0.0005	0.5024	0.4976	0.4976	0.0073
425	629	0.0005	0.4563	0.5437	0.4563	0.0095
426	628	0.0005	0.6656	0.3344	0.3344	0.0111
427	626	0.0005	0.5719	0.4281	0.4281	0.0105
428	623	0.0005	0.2103	0.7897	0.2103	0.0072
429	620	0.0005	0.5226	0.4774	0.4774	0.0098
430	617	0.0005	0.2853	0.7147	0.2853	0.0076
431	617	0.0005	0.2285	0.7715	0.2285	0.0045
432	614	0.0005	0.2036	0.7964	0.2036	0.0052
433	611	0.0005	0.5957	0.4043	0.4043	0.0119
434	608	0.0005	0.227	0.773	0.227	0.0112
435	607	0.0005	0.4876	0.5124	0.4876	0.0084
436	607	0.0005	0.654	0.346	0.346	0.0091
437	605	0.0005	0.5488	0.4512	0.4512	0.0084
438	603	0.0005	0.3847	0.6153	0.3847	0.0091
439	602	0.0005	0.5631	0.4369	0.4369	0.0055
440	601	0.0005	0.629	0.371	0.371	0.009
441	600	0.0005	0.5933	0.4067	0.4067	0.0127
442	597	0.0004	0.5997	0.4003	0.4003	0.0114
443	597	0.0004	0.459	0.541	0.459	0.0067
444	594	0.0004	0.2003	0.7997	0.2003	0.0082
445	594	0.0004	0.6515	0.3485	0.3485	0.0114
446	588	0.0004	0.5357	0.4643	0.4643	0.0131
447	588	0.0004	0.4218	0.5782	0.4218	0.0099
448	580	0.0004	0.569	0.431	0.431	0.0095
449	578	0.0004	0.6003	0.3997	0.3997	0.0121
450	570	0.0004	0.5772	0.4228	0.4228	0.0102
451	568	0.0004	0.2148	0.7852	0.2148	0.0097
452	567	0.0004	0.3457	0.6543	0.3457	0.0102
453	559	0.0004	0.483	0.517	0.483	0.0077
454	557	0.0004	0.4309	0.5691	0.4309	0.0092
455	555	0.0004	0.5874	0.4126	0.4126	0.0117
456	553	0.0004	0.528	0.472	0.472	0.0074
457	552	0.0004	0.1739	0.8261	0.1739	0.0109
458	546	0.0004	0.4231	0.5769	0.4231	0.0073
459	546	0.0004	0.3535	0.6465	0.3535	0.0075
460	545	0.0004	0.389	0.611	0.389	0.0114
461	545	0.0004	0.3651	0.6349	0.3651	0.0092
462	539	0.0004	0.5733	0.4267	0.4267	0.0108
463	538	0.0004	0.5428	0.4572	0.4572	0.0076
464	535	0.0004	0.4953	0.5047	0.4953	0.009
465	533	0.0004	0.5216	0.4784	0.4784	0.012
466	531	0.0004	0.5273	0.4727	0.4727	0.0081
467	529	0.0004	0.586	0.414	0.414	0.0113
468	528	0.0004	0.3826	0.6174	0.3826	0.0076
469	528	0.0004	0.4223	0.5777	0.4223	0.0091
470	527	0.0004	0.3378	0.6622	0.3378	0.0101
471	520	0.0004	0.1673	0.8327	0.1673	0.0077
472	509	0.0004	0.4558	0.5442	0.4558	0.0073
473	508	0.0004	0.5256	0.4744	0.4744	0.0089
474	507	0.0004	0.5759	0.4241	0.4241	0.0099
475	500	0.0004	0.33	0.67	0.33	0.008
476	499	0.0004	0.517	0.483	0.483	0.0076
477	493	0.0004	0.4929	0.5071	0.4929	0.0087
