subcluster	n_cells	frac	frac_M01	frac_M02	minority_frac	neg_mean
0	35869	0.0269	0.1758	0.8242	0.1758	0.0081
1	34458	0.0259	0.3939	0.6061	0.3939	0.0133
2	30344	0.0228	0.408	0.592	0.408	0.0159
3	29443	0.0221	0.1394	0.8606	0.1394	0.0068
4	28532	0.0214	0.4844	0.5156	0.4844	0.0179
5	27860	0.0209	0.1675	0.8325	0.1675	0.0056
6	26679	0.02	0.6453	0.3547	0.3547	0.0189
7	25027	0.0188	0.2536	0.7464	0.2536	0.0066
8	24535	0.0184	0.1442	0.8558	0.1442	0.0133
9	22200	0.0167	0.0978	0.9022	0.0978	0.0048
10	22120	0.0166	0.4688	0.5312	0.4688	0.0138
11	22035	0.0165	0.1521	0.8479	0.1521	0.0104
12	20778	0.0156	0.0707	0.9293	0.0707	0.0053
13	19601	0.0147	0.5622	0.4378	0.4378	0.009
14	19363	0.0145	0.7127	0.2873	0.2873	0.015
15	19316	0.0145	0.3009	0.6991	0.3009	0.0089
16	19075	0.0143	0.1117	0.8883	0.1117	0.0047
17	18900	0.0142	0.2027	0.7973	0.2027	0.0184
18	18775	0.0141	0.2282	0.7718	0.2282	0.0087
19	17967	0.0135	0.3328	0.6672	0.3328	0.0131
20	16961	0.0127	0.1208	0.8792	0.1208	0.0053
21	16416	0.0123	0.8168	0.1832	0.1832	0.0192
22	16118	0.0121	0.3361	0.6639	0.3361	0.0066
23	15846	0.0119	0.7156	0.2844	0.2844	0.0146
24	15338	0.0115	0.279	0.721	0.279	0.0068
25	15212	0.0114	0.7641	0.2359	0.2359	0.0135
26	14587	0.011	0.7121	0.2879	0.2879	0.0073
27	13247	0.0099	0.2218	0.7782	0.2218	0.0069
28	12492	0.0094	0.4058	0.5942	0.4058	0.0163
29	10695	0.008	0.187	0.813	0.187	0.0053
30	7395	0.0056	0.74	0.26	0.26	0.0075
31	6969	0.0052	0.2639	0.7361	0.2639	0.0059
32	6829	0.0051	0.3692	0.6308	0.3692	0.008
33	6672	0.005	0.2636	0.7364	0.2636	0.0064
34	6538	0.0049	0.4745	0.5255	0.4745	0.0092
35	6515	0.0049	0.5211	0.4789	0.4789	0.0089
36	6498	0.0049	0.3001	0.6999	0.3001	0.0072
37	5994	0.0045	0.2936	0.7064	0.2936	0.0059
38	5837	0.0044	0.7862	0.2138	0.2138	0.0083
39	5727	0.0043	0.3431	0.6569	0.3431	0.0071
40	5313	0.004	0.4047	0.5953	0.4047	0.0072
41	5293	0.004	0.2534	0.7466	0.2534	0.0054
42	5207	0.0039	0.1723	0.8277	0.1723	0.0084
43	5157	0.0039	0.5596	0.4404	0.4404	0.0073
44	5049	0.0038	0.6205	0.3795	0.3795	0.0086
45	4998	0.0038	0.6697	0.3303	0.3303	0.0072
46	4968	0.0037	0.3969	0.6031	0.3969	0.0068
47	4936	0.0037	0.1813	0.8187	0.1813	0.0063
48	4916	0.0037	0.2886	0.7114	0.2886	0.0065
49	4724	0.0035	0.5112	0.4888	0.4888	0.0089
50	4522	0.0034	0.5287	0.4713	0.4713	0.0081
51	4510	0.0034	0.2749	0.7251	0.2749	0.005
52	4418	0.0033	0.1444	0.8556	0.1444	0.0053
53	4398	0.0033	0.2967	0.7033	0.2967	0.0083
54	4361	0.0033	0.2068	0.7932	0.2068	0.0059
55	4332	0.0033	0.5616	0.4384	0.4384	0.0091
56	4300	0.0032	0.5856	0.4144	0.4144	0.0087
57	4160	0.0031	0.2262	0.7738	0.2262	0.0073
58	4037	0.003	0.2024	0.7976	0.2024	0.0059
59	3852	0.0029	0.4504	0.5496	0.4504	0.0087
60	3757	0.0028	0.1797	0.8203	0.1797	0.0059
61	3598	0.0027	0.4172	0.5828	0.4172	0.0069
62	3469	0.0026	0.6371	0.3629	0.3629	0.0078
63	3443	0.0026	0.5269	0.4731	0.4731	0.008
64	3354	0.0025	0.4651	0.5349	0.4651	0.0094
65	3339	0.0025	0.2372	0.7628	0.2372	0.0051
66	3305	0.0025	0.4726	0.5274	0.4726	0.0081
