sample_id	cell_type	pathway_name	pathway_source	tier	score_type	mean	sd	median	n_cells	condition	timepoint_h	dataset	slide_id	n_set_genes	n_panel_genes	panel_coverage_frac
sam0002	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	AMS	-0.0324914384128317	0.291774399822574	-0.145974359544275	678	MBRT_1h	1	Mutter_01	sld0004	32	12	0.375
sam0003	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	AMS	-0.0395684136270588	0.302410824719108	-0.153483620695662	3003	MBRT_4h	4	Mutter_01	sld0004	32	12	0.375
sam0004	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	AMS	-0.0527864245812936	0.278512947763273	-0.155684495187456	3027	MBRT_day2	48	Mutter_01	sld0001	32	12	0.375
sam0005	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	AMS	-0.0402858844297108	0.284977323614829	-0.151257877896657	3757	MBRT_day6	144	Mutter_01	sld0001	32	12	0.375
sam0006	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	AMS	-0.0201952175183594	0.316015752312525	-0.136444461940801	2618	SBRT_4h	4	Mutter_01	sld0004	32	12	0.375
sam0007	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	AMS	-0.0477320844468728	0.300507795452115	-0.161438096568528	1570	SBRT_day2	48	Mutter_01	sld0002	32	12	0.375
sam0008	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	AMS	-0.0456125380314115	0.284806234018815	-0.15779535881048	3185	SBRT_day6	144	Mutter_01	sld0002	32	12	0.375
sam0001	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.502070532590781	0.0274043809558116	0.490196078431373	1393	Control	0	Mutter_01	sld0002	32	12	0.375
sam0002	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.501582790494815	0.0266246396127293	0.490726020137785	678	MBRT_1h	1	Mutter_01	sld0004	32	12	0.375
sam0003	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.502079296196941	0.0283417401667513	0.490196078431373	3003	MBRT_4h	4	Mutter_01	sld0004	32	12	0.375
sam0004	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.500386645609056	0.0256563812269919	0.490196078431373	3027	MBRT_day2	48	Mutter_01	sld0001	32	12	0.375
sam0005	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.501197188201054	0.0255836017793144	0.490726020137785	3757	MBRT_day6	144	Mutter_01	sld0001	32	12	0.375
sam0006	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.503442445051441	0.0293325113393976	0.490726020137785	2618	SBRT_4h	4	Mutter_01	sld0004	32	12	0.375
sam0007	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.501585999637705	0.0273805513950669	0.490196078431373	1570	SBRT_day2	48	Mutter_01	sld0002	32	12	0.375
sam0008	Adipocyte	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.501196223465129	0.0257527148885961	0.490726020137785	3185	SBRT_day6	144	Mutter_01	sld0002	32	12	0.375
sam0001	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	AMS	-0.0558477831294717	0.759177040780705	-0.346646796065264	1393	Control	0	Mutter_01	sld0002	199	4	0.0201
sam0002	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	AMS	0.0606076086579748	0.817098272453909	-0.296106688522195	678	MBRT_1h	1	Mutter_01	sld0004	199	4	0.0201
sam0003	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	AMS	0.00416248440147241	0.798580894859027	-0.317047022011912	3003	MBRT_4h	4	Mutter_01	sld0004	199	4	0.0201
sam0004	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	AMS	-0.0372055488534964	0.742381091664766	-0.313389979504641	3027	MBRT_day2	48	Mutter_01	sld0001	199	4	0.0201
sam0005	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	AMS	-0.0262162240148353	0.679820018852576	-0.277533557028094	3757	MBRT_day6	144	Mutter_01	sld0001	199	4	0.0201
sam0006	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	AMS	-0.0368372832259099	0.751133042724904	-0.308395786616745	2618	SBRT_4h	4	Mutter_01	sld0004	199	4	0.0201
sam0007	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	AMS	-0.00893981860923056	0.775326847760024	-0.299698071365328	1570	SBRT_day2	48	Mutter_01	sld0002	199	4	0.0201
sam0008	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	AMS	0.0049667530599543	0.719705122584217	-0.281309103024992	3185	SBRT_day6	144	Mutter_01	sld0002	199	4	0.0201
sam0001	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	UCell	0.524035651305909	0.0716795934375961	0.486015831134565	1393	Control	0	Mutter_01	sld0002	199	4	0.0201
sam0002	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	UCell	0.53150952280882	0.0764189905406714	0.487598944591029	678	MBRT_1h	1	Mutter_01	sld0004	199	4	0.0201
sam0003	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	UCell	0.527623827359976	0.0742100742583878	0.487071240105541	3003	MBRT_4h	4	Mutter_01	sld0004	199	4	0.0201
sam0004	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	UCell	0.523386356564012	0.0687989470391056	0.487071240105541	3027	MBRT_day2	48	Mutter_01	sld0001	199	4	0.0201
sam0005	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	UCell	0.514205672717874	0.0619440629198851	0.487071240105541	3757	MBRT_day6	144	Mutter_01	sld0001	199	4	0.0201
sam0006	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	UCell	0.52121702602845	0.0691739587479354	0.486015831134565	2618	SBRT_4h	4	Mutter_01	sld0004	199	4	0.0201
sam0007	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	UCell	0.525969614977396	0.0720799913188741	0.487598944591029	1570	SBRT_day2	48	Mutter_01	sld0002	199	4	0.0201
sam0008	Adipocyte	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	exploratory	UCell	0.518612311171677	0.0649850775002057	0.487598944591029	3185	SBRT_day6	144	Mutter_01	sld0002	199	4	0.0201
sam0001	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.00983891312951881	0.183826641623894	-0.0085594875572198	1393	Control	0	Mutter_01	sld0002	199	39	0.196
sam0002	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0134088592592296	0.183545822746684	0.00199184550638129	678	MBRT_1h	1	Mutter_01	sld0004	199	39	0.196
sam0003	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0241067599758405	0.186414509256864	0.00397458357292507	3003	MBRT_4h	4	Mutter_01	sld0004	199	39	0.196
sam0004	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0164501861263589	0.180819234402166	-0.0059460420829357	3027	MBRT_day2	48	Mutter_01	sld0001	199	39	0.196
sam0005	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	AMS	-0.00191681093778728	0.170980701115897	-0.0192812496746063	3757	MBRT_day6	144	Mutter_01	sld0001	199	39	0.196
sam0006	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0161646054608237	0.184169674685638	-0.000362201582972843	2618	SBRT_4h	4	Mutter_01	sld0004	199	39	0.196
sam0007	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0294941388669224	0.182155148458399	0.0111744981181259	1570	SBRT_day2	48	Mutter_01	sld0002	199	39	0.196
sam0008	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0111722468759694	0.181818132953513	-0.00965193018025726	3185	SBRT_day6	144	Mutter_01	sld0002	199	39	0.196
sam0001	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.514968408152069	0.0176678160562611	0.512544802867384	1393	Control	0	Mutter_01	sld0002	199	39	0.196
sam0002	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.514922638552385	0.0175077437808219	0.513068651778329	678	MBRT_1h	1	Mutter_01	sld0004	199	39	0.196
sam0003	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.516056973997424	0.0179929624590544	0.513082437275986	3003	MBRT_4h	4	Mutter_01	sld0004	199	39	0.196
sam0004	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.515251182515164	0.017230147431318	0.512241521918941	3027	MBRT_day2	48	Mutter_01	sld0001	199	39	0.196
sam0005	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.512146494817984	0.0158182966014964	0.510366694237662	3757	MBRT_day6	144	Mutter_01	sld0001	199	39	0.196
sam0006	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.515004134596167	0.0177520819197539	0.512517231872071	2618	SBRT_4h	4	Mutter_01	sld0004	199	39	0.196
sam0007	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.516498632864978	0.0174690181016722	0.513620071684588	1570	SBRT_day2	48	Mutter_01	sld0002	199	39	0.196
sam0008	Adipocyte	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.513700559946576	0.016919145395074	0.511028398125172	3185	SBRT_day6	144	Mutter_01	sld0002	199	39	0.196
sam0001	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	AMS	-0.0244293940556936	0.345309433795217	-0.0735116493637873	1393	Control	0	Mutter_01	sld0002	40	4	0.1
sam0002	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	AMS	-0.00299433574087826	0.395026425210347	-0.073964998343995	678	MBRT_1h	1	Mutter_01	sld0004	40	4	0.1
sam0003	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	AMS	-0.00549592623083228	0.377824499684947	-0.0735116493637873	3003	MBRT_4h	4	Mutter_01	sld0004	40	4	0.1
sam0004	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	AMS	-0.00350531034202155	0.362508916130362	-0.0722431046549792	3027	MBRT_day2	48	Mutter_01	sld0001	40	4	0.1
sam0005	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	AMS	-0.00244020842039763	0.404190667918414	-0.0759642939386965	3757	MBRT_day6	144	Mutter_01	sld0001	40	4	0.1
sam0006	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	AMS	-0.0244709384410071	0.373003714462401	-0.0770989466541863	2618	SBRT_4h	4	Mutter_01	sld0004	40	4	0.1
sam0007	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	AMS	-0.0101383555746924	0.355227709252443	-0.0730742543137717	1570	SBRT_day2	48	Mutter_01	sld0002	40	4	0.1
sam0008	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	AMS	-0.0165434599500621	0.374113720856158	-0.0749245178413321	3185	SBRT_day6	144	Mutter_01	sld0002	40	4	0.1
sam0001	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	UCell	0.487369660212105	0.0314410459087438	0.48179419525066	1393	Control	0	Mutter_01	sld0002	40	4	0.1
sam0002	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	UCell	0.490380484273939	0.0354373473778351	0.482849604221636	678	MBRT_1h	1	Mutter_01	sld0004	40	4	0.1
sam0003	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	UCell	0.489555738896108	0.0344025767354368	0.482849604221636	3003	MBRT_4h	4	Mutter_01	sld0004	40	4	0.1
sam0004	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	UCell	0.490271941270867	0.0330099442415238	0.483905013192612	3027	MBRT_day2	48	Mutter_01	sld0001	40	4	0.1
sam0005	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	UCell	0.493317100954208	0.0357584902150773	0.484960422163588	3757	MBRT_day6	144	Mutter_01	sld0001	40	4	0.1
sam0006	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	UCell	0.488629359155512	0.0343044684720342	0.482321899736148	2618	SBRT_4h	4	Mutter_01	sld0004	40	4	0.1
sam0007	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	UCell	0.489973278658218	0.03240775604194	0.483905013192612	1570	SBRT_day2	48	Mutter_01	sld0002	40	4	0.1
sam0008	Adipocyte	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	exploratory	UCell	0.490991371990241	0.0333514090358901	0.484960422163588	3185	SBRT_day6	144	Mutter_01	sld0002	40	4	0.1
sam0001	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	AMS	0.0670757840817705	0.606627272243562	-0.15313121900549	1393	Control	0	Mutter_01	sld0002	102	4	0.0392
sam0002	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	AMS	0.0593750180941908	0.610420109295226	-0.158145842585074	678	MBRT_1h	1	Mutter_01	sld0004	102	4	0.0392
sam0003	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	AMS	0.0288900551690665	0.577569569964777	-0.159516458362395	3003	MBRT_4h	4	Mutter_01	sld0004	102	4	0.0392
sam0004	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	AMS	0.0215617414913627	0.571784542910712	-0.156633398401003	3027	MBRT_day2	48	Mutter_01	sld0001	102	4	0.0392
sam0005	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	AMS	0.0229052161614452	0.568418354404238	-0.151928587877393	3757	MBRT_day6	144	Mutter_01	sld0001	102	4	0.0392
sam0006	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	AMS	0.0558815344753112	0.610341743746038	-0.154197893308373	2618	SBRT_4h	4	Mutter_01	sld0004	102	4	0.0392
sam0007	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	AMS	0.056642915632393	0.593308259099324	-0.146154400005173	1570	SBRT_day2	48	Mutter_01	sld0002	102	4	0.0392
sam0008	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	AMS	0.0494883642849755	0.585635619733629	-0.152339371639663	3185	SBRT_day6	144	Mutter_01	sld0002	102	4	0.0392
sam0001	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	UCell	0.508554646583843	0.0563341660885081	0.484960422163588	1393	Control	0	Mutter_01	sld0002	102	4	0.0392
sam0002	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	UCell	0.508652252083966	0.0561949431821505	0.485488126649076	678	MBRT_1h	1	Mutter_01	sld0004	102	4	0.0392
sam0003	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	UCell	0.505183339088353	0.053530886958979	0.4844327176781	3003	MBRT_4h	4	Mutter_01	sld0004	102	4	0.0392
sam0004	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	UCell	0.504653936907325	0.0521386318133169	0.485488126649076	3027	MBRT_day2	48	Mutter_01	sld0001	102	4	0.0392
sam0005	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	UCell	0.504441805375787	0.0511411568536098	0.486015831134565	3757	MBRT_day6	144	Mutter_01	sld0001	102	4	0.0392
sam0006	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	UCell	0.507196423784193	0.0563138721216618	0.4844327176781	2618	SBRT_4h	4	Mutter_01	sld0004	102	4	0.0392
sam0007	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	UCell	0.505610809539015	0.0534706110731067	0.485488126649076	1570	SBRT_day2	48	Mutter_01	sld0002	102	4	0.0392
sam0008	Adipocyte	HALLMARK_PEROXISOME	MSigDB_Hallmark	exploratory	UCell	0.506962012732838	0.0524541024664494	0.486543535620053	3185	SBRT_day6	144	Mutter_01	sld0002	102	4	0.0392
sam0001	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	AMS	0.0293260872438202	0.309912190252542	-0.00318222268814161	1393	Control	0	Mutter_01	sld0002	105	16	0.1524
sam0002	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	AMS	0.0391977436898383	0.312831764698448	-0.00172843209741397	678	MBRT_1h	1	Mutter_01	sld0004	105	16	0.1524
sam0003	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	AMS	0.0284480269936176	0.312147596873449	-0.0043650751571363	3003	MBRT_4h	4	Mutter_01	sld0004	105	16	0.1524
sam0004	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	AMS	0.0565539694815244	0.321507310504015	0.020026992591993	3027	MBRT_day2	48	Mutter_01	sld0001	105	16	0.1524
sam0005	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	AMS	0.0253312332005191	0.289720113810744	-0.0468639790402338	3757	MBRT_day6	144	Mutter_01	sld0001	105	16	0.1524
sam0006	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	AMS	0.00757247590548836	0.299661542847331	-0.0388013216122843	2618	SBRT_4h	4	Mutter_01	sld0004	105	16	0.1524
sam0007	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	AMS	0.0125899074112162	0.308030938203316	-0.0331869332279286	1570	SBRT_day2	48	Mutter_01	sld0002	105	16	0.1524
sam0008	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	AMS	0.0536274809238924	0.304893760423826	0.0220858327760076	3185	SBRT_day6	144	Mutter_01	sld0002	105	16	0.1524
sam0001	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.516004458984094	0.0294837159391783	0.514239245884227	1393	Control	0	Mutter_01	sld0002	105	16	0.1524
sam0002	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.514845802452309	0.0296791783006984	0.513094131704727	678	MBRT_1h	1	Mutter_01	sld0004	105	16	0.1524
sam0003	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.515084424338274	0.0296284896485907	0.513542219861922	3003	MBRT_4h	4	Mutter_01	sld0004	105	16	0.1524
sam0004	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.517618561640577	0.0306558362003631	0.515699681359533	3027	MBRT_day2	48	Mutter_01	sld0001	105	16	0.1524
sam0005	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.51084595178043	0.0272167380041062	0.508297928836962	3757	MBRT_day6	144	Mutter_01	sld0001	105	16	0.1524
sam0006	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.51205214258735	0.0283563716613344	0.510389006903877	2618	SBRT_4h	4	Mutter_01	sld0004	105	16	0.1524
sam0007	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.514411758239156	0.0291824531285113	0.512994556558683	1570	SBRT_day2	48	Mutter_01	sld0002	105	16	0.1524
sam0008	Adipocyte	HALLMARK_PI3K_AKT_MTOR_SIGNALING	MSigDB_Hallmark	exploratory	UCell	0.514528112809729	0.0288118678694743	0.514106479022836	3185	SBRT_day6	144	Mutter_01	sld0002	105	16	0.1524
sam0001	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	AMS	-0.0491331969917067	0.415617643361997	-0.204063882606141	1393	Control	0	Mutter_01	sld0002	96	9	0.0938
sam0002	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	AMS	-0.0670409133822828	0.386039992623631	-0.198319465530341	678	MBRT_1h	1	Mutter_01	sld0004	96	9	0.0938
sam0003	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	AMS	-0.0649479557482685	0.40019660980524	-0.211641079277062	3003	MBRT_4h	4	Mutter_01	sld0004	96	9	0.0938
sam0004	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	AMS	-0.047931060647594	0.395220858931402	-0.189126523739139	3027	MBRT_day2	48	Mutter_01	sld0001	96	9	0.0938
sam0005	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	AMS	-0.0614783163013959	0.361469836628856	-0.188018811737602	3757	MBRT_day6	144	Mutter_01	sld0001	96	9	0.0938
sam0006	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	AMS	-0.0559553414706412	0.404362097162781	-0.202974936477839	2618	SBRT_4h	4	Mutter_01	sld0004	96	9	0.0938
sam0007	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	AMS	-0.0486952936771704	0.406728345950486	-0.197295240388628	1570	SBRT_day2	48	Mutter_01	sld0002	96	9	0.0938
sam0008	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	AMS	-0.0694959191339991	0.37394401842853	-0.206010035424235	3185	SBRT_day6	144	Mutter_01	sld0002	96	9	0.0938
sam0001	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	UCell	0.511854603495348	0.04020655169345	0.490476190476191	1393	Control	0	Mutter_01	sld0002	96	9	0.0938
sam0002	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	UCell	0.50802044259927	0.0365729195649362	0.48994708994709	678	MBRT_1h	1	Mutter_01	sld0004	96	9	0.0938
sam0003	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	UCell	0.508415531166851	0.0372417665716266	0.48994708994709	3003	MBRT_4h	4	Mutter_01	sld0004	96	9	0.0938
sam0004	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	UCell	0.509524955393616	0.0369454936091062	0.490476190476191	3027	MBRT_day2	48	Mutter_01	sld0001	96	9	0.0938
sam0005	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	UCell	0.504122878132868	0.032451577397304	0.489417989417989	3757	MBRT_day6	144	Mutter_01	sld0001	96	9	0.0938
sam0006	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	UCell	0.508612962581216	0.038286532600414	0.48994708994709	2618	SBRT_4h	4	Mutter_01	sld0004	96	9	0.0938
sam0007	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	UCell	0.510135926038262	0.0380753112683518	0.49021164021164	1570	SBRT_day2	48	Mutter_01	sld0002	96	9	0.0938
sam0008	Adipocyte	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	exploratory	UCell	0.505339365430064	0.0339668352793217	0.489417989417989	3185	SBRT_day6	144	Mutter_01	sld0002	96	9	0.0938
sam0001	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0531634788262283	0.532797650331627	-0.167296410314655	1393	Control	0	Mutter_01	sld0002	48	5	0.1042
sam0002	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0399806704319979	0.555613424987162	-0.172433980802189	678	MBRT_1h	1	Mutter_01	sld0004	48	5	0.1042
sam0003	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0397890112793047	0.514214837557687	-0.170512972042996	3003	MBRT_4h	4	Mutter_01	sld0004	48	5	0.1042
sam0004	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0430561984228485	0.524055174523125	-0.172433980802189	3027	MBRT_day2	48	Mutter_01	sld0001	48	5	0.1042
sam0005	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.00486212348871515	0.474344837283533	-0.169754585992231	3757	MBRT_day6	144	Mutter_01	sld0001	48	5	0.1042
sam0006	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0563253330596391	0.542214309106541	-0.165763588173954	2618	SBRT_4h	4	Mutter_01	sld0004	48	5	0.1042
sam0007	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0441357158628601	0.545583522378259	-0.168404075757415	1570	SBRT_day2	48	Mutter_01	sld0002	48	5	0.1042
sam0008	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	AMS	0.0240151501491146	0.500349779012689	-0.170512972042996	3185	SBRT_day6	144	Mutter_01	sld0002	48	5	0.1042
sam0001	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.508094098490643	0.0503602524722634	0.485744456177402	1393	Control	0	Mutter_01	sld0002	48	5	0.1042
sam0002	Adipocyte	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	MSigDB_Hallmark	exploratory	UCell	0.507159700093136	0.052537524923492	0.485744456177402	678	MBRT_1h	1	Mutter_01	sld0004	48	5	0.1042
