subcluster	n_cells	frac	frac_M01	frac_M02	minority_frac	neg_mean
0	584183	0.4387	0.4532	0.5468	0.4532	0.0079
1	378629	0.2843	0.5165	0.4835	0.4835	0.0143
2	368789	0.277	0.1807	0.8193	0.1807	0.007
