subcluster	n_cells	frac	frac_M01	frac_M02	minority_frac	neg_mean
0	97714	0.0734	0.6275	0.3725	0.3725	0.0179
1	63769	0.0479	0.0932	0.9068	0.0932	0.0055
2	60965	0.0458	0.2221	0.7779	0.2221	0.0059
3	60676	0.0456	0.5387	0.4613	0.4613	0.0152
4	59419	0.0446	0.3771	0.6229	0.3771	0.0075
5	59341	0.0446	0.4551	0.5449	0.4551	0.0132
6	58578	0.044	0.131	0.869	0.131	0.005
7	57050	0.0428	0.2198	0.7802	0.2198	0.0069
8	57050	0.0428	0.1683	0.8317	0.1683	0.0132
9	54377	0.0408	0.3978	0.6022	0.3978	0.0076
10	53931	0.0405	0.2183	0.7817	0.2183	0.0077
11	51173	0.0384	0.5088	0.4912	0.4912	0.0084
12	50740	0.0381	0.4654	0.5346	0.4654	0.0092
13	47488	0.0357	0.773	0.227	0.227	0.0088
14	45923	0.0345	0.651	0.349	0.349	0.0076
15	38117	0.0286	0.4955	0.5045	0.4955	0.0128
16	36994	0.0278	0.3339	0.6661	0.3339	0.0122
17	32736	0.0246	0.2614	0.7386	0.2614	0.0069
18	30780	0.0231	0.5532	0.4468	0.4468	0.0083
19	24849	0.0187	0.2666	0.7334	0.2666	0.0109
20	21808	0.0164	0.2001	0.7999	0.2001	0.0065
21	19603	0.0147	0.3204	0.6796	0.3204	0.0063
22	19247	0.0145	0.3545	0.6455	0.3545	0.0076
23	13614	0.0102	0.5184	0.4816	0.4816	0.0089
24	12667	0.0095	0.2851	0.7149	0.2851	0.0065
25	12200	0.0092	0.3957	0.6043	0.3957	0.0072
26	10510	0.0079	0.5873	0.4127	0.4127	0.0106
27	9579	0.0072	0.5187	0.4813	0.4813	0.0094
28	7553	0.0057	0.3347	0.6653	0.3347	0.0065
29	7282	0.0055	0.5501	0.4499	0.4499	0.0111
30	7019	0.0053	0.2839	0.7161	0.2839	0.0067
31	6462	0.0049	0.3691	0.6309	0.3691	0.0095
32	6443	0.0048	0.4742	0.5258	0.4742	0.0072
33	6415	0.0048	0.5517	0.4483	0.4483	0.0094
34	5058	0.0038	0.3541	0.6459	0.3541	0.0069
35	5005	0.0038	0.5479	0.4521	0.4521	0.0144
36	4866	0.0037	0.524	0.476	0.476	0.009
37	4805	0.0036	0.2982	0.7018	0.2982	0.0066
38	4757	0.0036	0.3944	0.6056	0.3944	0.0074
39	4437	0.0033	0.4927	0.5073	0.4927	0.0089
40	4172	0.0031	0.4068	0.5932	0.4068	0.0077
41	3583	0.0027	0.607	0.393	0.393	0.0101
