cluster	n_cells	frac	top_lineage	compartment	frac_M01	frac_M02	minority_frac	neg_mean	signal_to_bg
0	180860	0.0552	Macrophage	immune	0.115	0.885	0.115	0.0136	46.02
1	180226	0.055	NK	immune	0.6888	0.3112	0.3112	0.0191	10.46
2	177687	0.0542	Epithelial	tumor	0.1708	0.8292	0.1708	0.0048	52.02
3	168683	0.0515	Epithelial	tumor	0.026	0.974	0.026	0.0177	22.18
4	166197	0.0507	Epithelial	tumor	0.0889	0.9111	0.0889	0.02	42.81
5	165440	0.0505	Fibroblast	stroma	0.5691	0.4309	0.4309	0.0084	9.45
6	163533	0.0499	Fibroblast	stroma	0.3499	0.6501	0.3499	0.0073	21.19
7	160279	0.0489	Fibroblast	stroma	0.2607	0.7393	0.2607	0.0091	46.6
8	158212	0.0483	Epithelial	tumor	0.3412	0.6588	0.3412	0.0229	28.49
9	154113	0.047	Epithelial	tumor	0.1703	0.8297	0.1703	0.0136	26.97
10	149720	0.0457	Fibroblast	stroma	0.134	0.866	0.134	0.0054	15.98
11	147484	0.045	Epithelial	tumor	0.085	0.915	0.085	0.0224	34.69
12	142478	0.0435	SmoothMuscle	stroma	0.3674	0.6326	0.3674	0.0076	46.33
13	141886	0.0433	Fibroblast	stroma	0.6626	0.3374	0.3374	0.017	23.5
14	133948	0.0409	Epithelial	tumor	0.0761	0.9239	0.0761	0.0209	32.51
15	121696	0.0371	Epithelial	tumor	0.234	0.766	0.234	0.0117	26.72
16	77201	0.0236	Fibroblast	stroma	0.5048	0.4952	0.4952	0.0128	22.02
17	74035	0.0226	Fibroblast	stroma	0.3409	0.6591	0.3409	0.0076	18.48
18	65977	0.0201	Epithelial	tumor	0.2971	0.7029	0.2971	0.013	25.27
19	60339	0.0184	Epithelial	tumor	0.2037	0.7963	0.2037	0.0127	32.36
20	57395	0.0175	Epithelial	tumor	0.2292	0.7708	0.2292	0.0126	28.14
21	45744	0.014	Epithelial	tumor	0.332	0.668	0.332	0.014	25.99
22	45591	0.0139	Epithelial	tumor	0.2566	0.7434	0.2566	0.0109	27.39
23	35680	0.0109	Fibroblast	stroma	0.3143	0.6857	0.3143	0.0142	19.97
24	33685	0.0103	Fibroblast	stroma	0.455	0.545	0.455	0.0128	19.48
25	26324	0.008	Fibroblast	stroma	0.7192	0.2808	0.2808	0.0097	15.51
26	26295	0.008	Epithelial	tumor	0.4829	0.5171	0.4829	0.0094	10.12
27	21098	0.0064	Fibroblast	stroma	0.2184	0.7816	0.2184	0.011	26.16
28	16977	0.0052	Fibroblast	stroma	0.2825	0.7175	0.2825	0.0124	25.21
