cluster	n_cells	frac	top_lineage	compartment	frac_M01	frac_M02	minority_frac	neg_mean	signal_to_bg
91	3	0.0	Epithelial	tumor	0.6667	0.3333	0.3333	0.0333	12.5
92	3	0.0	Epithelial	tumor	0.3333	0.6667	0.3333	0.0	208333.33
93	3	0.0	SmoothMuscle	stroma	1.0	0.0	0.0	0.0333	2.86
94	3	0.0	Epithelial	tumor	0.6667	0.3333	0.3333	0.0	208333.33
95	3	0.0	Fibroblast	stroma	0.0	1.0	0.0	0.0	1666666.67
96	3	0.0	Fibroblast	stroma	0.3333	0.6667	0.3333	0.0333	13.0
97	3	0.0	SmoothMuscle	stroma	0.0	1.0	0.0	0.0	142857.14
98	2	0.0	Epithelial	tumor	0.0	1.0	0.0	0.0	187500.0
99	2	0.0	Epithelial	tumor	0.5	0.5	0.5	0.0	437500.0
100	2	0.0	Pericyte	stroma	0.5	0.5	0.5	0.0	166666.67
101	2	0.0	Fibroblast	stroma	0.0	1.0	0.0	0.0	650000.0
102	2	0.0	Epithelial	tumor	1.0	0.0	0.0	0.05	6.25
103	2	0.0	Epithelial	tumor	0.0	1.0	0.0	0.0	125000.0
104	2	0.0	Fibroblast	stroma	0.0	1.0	0.0	0.0	800000.0
105	2	0.0	Epithelial	tumor	0.5	0.5	0.5	0.0	187500.0
