comparison	contrast	unit	feature_type	feature_id	estimate	se	df	stat	p
mutter02_day2	SBRT_vs_Ctrl	mouse	myeloid	M1_mean	-0.00367107664537003	0.00664469277486638	9.21737626123657	-0.552482525491008	0.593760250059498
mutter02_day2	SBRT_vs_Ctrl	mouse	myeloid	M2_M1_ratio	0.0750497189517647	0.0142664791143246	9.21737626123657	5.26056347542747	0.000481122000607288
mutter02_day2	SBRT_vs_Ctrl	mouse	myeloid	M2_mean	0.0352302245636611	0.00831024578911477	9.21737626123657	4.23937215067786	0.00206247570576086
mutter02_day2	MBRT_vs_Ctrl	mouse	myeloid	M1_mean	0.00184334912383011	0.00664469277486638	9.21737626123657	0.277416757446273	0.787581868501911
mutter02_day2	MBRT_vs_Ctrl	mouse	myeloid	M2_M1_ratio	0.0385249421436802	0.0142664791143246	9.21737626123657	2.70038191167983	0.0238826748839739
mutter02_day2	MBRT_vs_Ctrl	mouse	myeloid	M2_mean	0.0224652728418676	0.00831024578911477	9.21737626123657	2.70332230982794	0.0237666939937717
mutter02_day2	MBRT_vs_SBRT	mouse	myeloid	M1_mean	0.00551442576920014	0.00664469277486638	9.21737626123657	0.829899282937281	0.427566063062582
mutter02_day2	MBRT_vs_SBRT	mouse	myeloid	M2_M1_ratio	-0.0365247768080845	0.0142664791143246	9.21737626123657	-2.56018156374764	0.0301278597908486
mutter02_day2	MBRT_vs_SBRT	mouse	myeloid	M2_mean	-0.0127649517217935	0.00831024578911477	9.21737626123657	-1.53604984084992	0.158109749393927
