# msigdbr_version: 26.1.0
set	tier	concept	source	source_id	citation	n_total	n_panel	coverage	usable	thin	confirmatory
HALLMARK_IL6_JAK_STAT3_SIGNALING	exploratory	HALLMARK_IL6_JAK_STAT3_SIGNALING	hallmark	HALLMARK_IL6_JAK_STAT3_SIGNALING		85	54	0.635294117647059	TRUE	FALSE	FALSE
HALLMARK_INFLAMMATORY_RESPONSE	exploratory	HALLMARK_INFLAMMATORY_RESPONSE	hallmark	HALLMARK_INFLAMMATORY_RESPONSE		197	84	0.426395939086294	TRUE	FALSE	FALSE
HALLMARK_KRAS_SIGNALING_DN	exploratory	HALLMARK_KRAS_SIGNALING_DN	hallmark	HALLMARK_KRAS_SIGNALING_DN		194	19	0.0979381443298969	TRUE	FALSE	FALSE
HALLMARK_KRAS_SIGNALING_UP	exploratory	HALLMARK_KRAS_SIGNALING_UP	hallmark	HALLMARK_KRAS_SIGNALING_UP		198	49	0.247474747474748	TRUE	FALSE	FALSE
HALLMARK_MITOTIC_SPINDLE	exploratory	HALLMARK_MITOTIC_SPINDLE	hallmark	HALLMARK_MITOTIC_SPINDLE		199	11	0.0552763819095477	TRUE	FALSE	FALSE
HALLMARK_MTORC1_SIGNALING	exploratory	HALLMARK_MTORC1_SIGNALING	hallmark	HALLMARK_MTORC1_SIGNALING		199	14	0.0703517587939699	TRUE	FALSE	FALSE
HALLMARK_MYC_TARGETS_V1	exploratory	HALLMARK_MYC_TARGETS_V1	hallmark	HALLMARK_MYC_TARGETS_V1		197	8	0.0406091370558376	TRUE	FALSE	FALSE
HALLMARK_MYOGENESIS	exploratory	HALLMARK_MYOGENESIS	hallmark	HALLMARK_MYOGENESIS		199	39	0.195979899497487	TRUE	FALSE	FALSE
HALLMARK_NOTCH_SIGNALING	exploratory	HALLMARK_NOTCH_SIGNALING	hallmark	HALLMARK_NOTCH_SIGNALING		32	12	0.375	TRUE	FALSE	FALSE
HALLMARK_PEROXISOME	exploratory	HALLMARK_PEROXISOME	hallmark	HALLMARK_PEROXISOME		103	5	0.0485436893203884	TRUE	FALSE	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	exploratory	HALLMARK_PI3K_AKT_MTOR_SIGNALING	hallmark	HALLMARK_PI3K_AKT_MTOR_SIGNALING		105	16	0.152380952380952	TRUE	FALSE	FALSE
HALLMARK_PROTEIN_SECRETION	exploratory	HALLMARK_PROTEIN_SECRETION	hallmark	HALLMARK_PROTEIN_SECRETION		94	9	0.0957446808510638	TRUE	FALSE	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	exploratory	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	hallmark	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		48	6	0.125	TRUE	FALSE	FALSE
HALLMARK_SPERMATOGENESIS	exploratory	HALLMARK_SPERMATOGENESIS	hallmark	HALLMARK_SPERMATOGENESIS		135	6	0.0444444444444444	TRUE	FALSE	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	exploratory	HALLMARK_TNFA_SIGNALING_VIA_NFKB	hallmark	HALLMARK_TNFA_SIGNALING_VIA_NFKB		196	74	0.377551020408163	TRUE	FALSE	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	exploratory	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	hallmark	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		111	5	0.0450450450450451	TRUE	FALSE	FALSE
HALLMARK_UV_RESPONSE_DN	exploratory	HALLMARK_UV_RESPONSE_DN	hallmark	HALLMARK_UV_RESPONSE_DN		144	32	0.222222222222222	TRUE	FALSE	FALSE
HALLMARK_UV_RESPONSE_UP	exploratory	HALLMARK_UV_RESPONSE_UP	hallmark	HALLMARK_UV_RESPONSE_UP		156	22	0.141025641025641	TRUE	FALSE	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	exploratory	HALLMARK_WNT_BETA_CATENIN_SIGNALING	hallmark	HALLMARK_WNT_BETA_CATENIN_SIGNALING		42	15	0.357142857142857	TRUE	FALSE	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	exploratory	HALLMARK_XENOBIOTIC_METABOLISM	hallmark	HALLMARK_XENOBIOTIC_METABOLISM		196	18	0.0918367346938776	TRUE	FALSE	FALSE
