cell_type	n	sample_id	dataset
a	14125	sam0002	Mutter_01
b	2	sam0002	Mutter_01
B.cell	547	sam0002	Mutter_01
Blood.endothelial	1446	sam0002	Mutter_01
BM.Neutrophil	131	sam0002	Mutter_01
CD8.T.cell	4279	sam0002	Mutter_01
Colon.Treg.Nrplo	85	sam0002	Mutter_01
Dendritic	274	sam0002	Mutter_01
DN2a	18	sam0002	Mutter_01
DN2b	51	sam0002	Mutter_01
DN3	31	sam0002	Mutter_01
DN4	243	sam0002	Mutter_01
Fibroblastic.reticular	1195	sam0002	Mutter_01
GC_centroblasts	1	sam0002	Mutter_01
GC_centrocyes	2	sam0002	Mutter_01
gdT	2566	sam0002	Mutter_01
ILC	366	sam0002	Mutter_01
ISP	9	sam0002	Mutter_01
Ly6Chi.blood.monocytes	454	sam0002	Mutter_01
Ly6Clo.blood.monocytes	1391	sam0002	Mutter_01
Lymphatic.endothelial	680	sam0002	Mutter_01
Macrophage	1170	sam0002	Mutter_01
Memory.B	106	sam0002	Mutter_01
Microglia	205	sam0002	Mutter_01
NK	39	sam0002	Mutter_01
NKT	265	sam0002	Mutter_01
PerC.macrophage	128	sam0002	Mutter_01
Pericyte	3685	sam0002	Mutter_01
Plasma	8	sam0002	Mutter_01
Plasmablast	1	sam0002	Mutter_01
small.peritoneal.macs	41	sam0002	Mutter_01
Spleen.CD19	2	sam0002	Mutter_01
Spleen.CD4Act.48hrs	54	sam0002	Mutter_01
Spleen.LN.Naive.CD4	7	sam0002	Mutter_01
Spleen.Naive.CD4	3	sam0002	Mutter_01
Spleen.Naive.CD8	3	sam0002	Mutter_01
spleen.red.pulp.macs	661	sam0002	Mutter_01
Spleen.Treg	19	sam0002	Mutter_01
Stem.Prog	2479	sam0002	Mutter_01
Thio.induced.Peritoneal.Neutrophil	94	sam0002	Mutter_01
Thymic.4.8.CD3lo.DP	1262	sam0002	Mutter_01
Thymic.CD4SP	118	sam0002	Mutter_01
Thymic.CD8SP	50	sam0002	Mutter_01
Thymic.preT.DN1	1032	sam0002	Mutter_01
tumor_epithelial	3876	sam0002	Mutter_01
