cell_type	n	sample_id	dataset
a	61844	sam0019	Mutter_02
b	2197	sam0019	Mutter_02
B.cell	312	sam0019	Mutter_02
Blood.endothelial	2873	sam0019	Mutter_02
BM.Neutrophil	200	sam0019	Mutter_02
CD8.T.cell	6707	sam0019	Mutter_02
Colon.Treg.Nrplo	70	sam0019	Mutter_02
Dendritic	1999	sam0019	Mutter_02
DN2a	9	sam0019	Mutter_02
DN2b	4	sam0019	Mutter_02
DN3	10	sam0019	Mutter_02
DN4	25	sam0019	Mutter_02
Fibroblastic.reticular	2442	sam0019	Mutter_02
GC_centroblasts	21	sam0019	Mutter_02
GC_centrocyes	39	sam0019	Mutter_02
gdT	5914	sam0019	Mutter_02
ILC	906	sam0019	Mutter_02
ISP	1	sam0019	Mutter_02
Ly6Chi.blood.monocytes	298	sam0019	Mutter_02
Ly6Clo.blood.monocytes	4730	sam0019	Mutter_02
Lymphatic.endothelial	808	sam0019	Mutter_02
Macrophage	1560	sam0019	Mutter_02
Memory.B	129	sam0019	Mutter_02
Microglia	157	sam0019	Mutter_02
NK	24	sam0019	Mutter_02
NKT	1745	sam0019	Mutter_02
PerC.macrophage	1021	sam0019	Mutter_02
Pericyte	4530	sam0019	Mutter_02
Plasma	240	sam0019	Mutter_02
Plasmablast	64	sam0019	Mutter_02
small.peritoneal.macs	200	sam0019	Mutter_02
Spleen.CD4Act.48hrs	27	sam0019	Mutter_02
Spleen.LN.Naive.CD4	7	sam0019	Mutter_02
Spleen.Naive.CD4	266	sam0019	Mutter_02
spleen.red.pulp.macs	2190	sam0019	Mutter_02
Spleen.Treg	29	sam0019	Mutter_02
Stem.Prog	2976	sam0019	Mutter_02
Thio.induced.Peritoneal.Neutrophil	125	sam0019	Mutter_02
Thymic.4.8.CD3lo.DP	1554	sam0019	Mutter_02
Thymic.CD4SP	86	sam0019	Mutter_02
Thymic.CD8SP	61	sam0019	Mutter_02
Thymic.preT.DN1	1026	sam0019	Mutter_02
tumor_epithelial	2235	sam0019	Mutter_02
