cell_type	n	sample_id	dataset
a	19391	sam0005	Mutter_01
b	98	sam0005	Mutter_01
B.cell	3642	sam0005	Mutter_01
Blood.endothelial	3198	sam0005	Mutter_01
BM.Neutrophil	2433	sam0005	Mutter_01
CD8.T.cell	1639	sam0005	Mutter_01
Colon.Treg.Nrplo	176	sam0005	Mutter_01
Dendritic	3697	sam0005	Mutter_01
DN2a	72	sam0005	Mutter_01
DN2b	13	sam0005	Mutter_01
DN3	77	sam0005	Mutter_01
DN4	17	sam0005	Mutter_01
Fibroblastic.reticular	1099	sam0005	Mutter_01
GC_centroblasts	396	sam0005	Mutter_01
GC_centrocyes	714	sam0005	Mutter_01
gdT	5245	sam0005	Mutter_01
ILC	4255	sam0005	Mutter_01
ISP	38	sam0005	Mutter_01
Ly6Chi.blood.monocytes	207	sam0005	Mutter_01
Ly6Clo.blood.monocytes	13684	sam0005	Mutter_01
Lymphatic.endothelial	68	sam0005	Mutter_01
Macrophage	527	sam0005	Mutter_01
Memory.B	2076	sam0005	Mutter_01
Microglia	1685	sam0005	Mutter_01
NK	182	sam0005	Mutter_01
NKT	7489	sam0005	Mutter_01
PerC.macrophage	880	sam0005	Mutter_01
Pericyte	3496	sam0005	Mutter_01
Plasma	3859	sam0005	Mutter_01
Plasmablast	1398	sam0005	Mutter_01
small.peritoneal.macs	437	sam0005	Mutter_01
Spleen.CD19	27	sam0005	Mutter_01
Spleen.CD4Act.48hrs	394	sam0005	Mutter_01
Spleen.LN.Naive.CD4	108	sam0005	Mutter_01
Spleen.Naive.CD4	16	sam0005	Mutter_01
Spleen.Naive.CD8	41	sam0005	Mutter_01
spleen.red.pulp.macs	3203	sam0005	Mutter_01
Spleen.Treg	554	sam0005	Mutter_01
Stem.Prog	8114	sam0005	Mutter_01
Thio.induced.Peritoneal.Neutrophil	582	sam0005	Mutter_01
Thymic.4.8.CD3lo.DP	7142	sam0005	Mutter_01
Thymic.CD4SP	1286	sam0005	Mutter_01
Thymic.CD8SP	966	sam0005	Mutter_01
Thymic.preT.DN1	6582	sam0005	Mutter_01
tumor_epithelial	794	sam0005	Mutter_01
