cell_type	n	sample_id	dataset
a	2308	sam0011	Mutter_01
b	5639	sam0011	Mutter_01
B.cell	534	sam0011	Mutter_01
Blood.endothelial	4288	sam0011	Mutter_01
BM.Neutrophil	309	sam0011	Mutter_01
CD8.T.cell	22657	sam0011	Mutter_01
Colon.Treg.Nrplo	23	sam0011	Mutter_01
Dendritic	921	sam0011	Mutter_01
DN2a	19	sam0011	Mutter_01
DN3	166	sam0011	Mutter_01
DN4	21	sam0011	Mutter_01
Fibroblastic.reticular	8049	sam0011	Mutter_01
GC_centroblasts	6	sam0011	Mutter_01
GC_centrocyes	1	sam0011	Mutter_01
gdT	493	sam0011	Mutter_01
ILC	2121	sam0011	Mutter_01
ISP	12	sam0011	Mutter_01
Ly6Chi.blood.monocytes	37	sam0011	Mutter_01
Ly6Clo.blood.monocytes	563	sam0011	Mutter_01
Lymphatic.endothelial	11	sam0011	Mutter_01
Macrophage	1520	sam0011	Mutter_01
Memory.B	258	sam0011	Mutter_01
Microglia	222	sam0011	Mutter_01
NK	36	sam0011	Mutter_01
NKT	151	sam0011	Mutter_01
PerC.macrophage	73	sam0011	Mutter_01
Pericyte	267	sam0011	Mutter_01
Plasma	10	sam0011	Mutter_01
Plasmablast	6	sam0011	Mutter_01
small.peritoneal.macs	609	sam0011	Mutter_01
Spleen.CD19	1	sam0011	Mutter_01
Spleen.CD4Act.48hrs	18	sam0011	Mutter_01
Spleen.LN.Naive.CD4	9	sam0011	Mutter_01
Spleen.Naive.CD4	3419	sam0011	Mutter_01
Spleen.Naive.CD8	4	sam0011	Mutter_01
spleen.red.pulp.macs	881	sam0011	Mutter_01
Spleen.Treg	46	sam0011	Mutter_01
Stem.Prog	1125	sam0011	Mutter_01
Thio.induced.Peritoneal.Neutrophil	123	sam0011	Mutter_01
Thymic.4.8.CD3lo.DP	3521	sam0011	Mutter_01
Thymic.CD4SP	114	sam0011	Mutter_01
Thymic.CD8SP	17	sam0011	Mutter_01
Thymic.preT.DN1	226	sam0011	Mutter_01
tumor_epithelial	96	sam0011	Mutter_01
