cell_type	n	sample_id	dataset
a	80228	sam0016	Mutter_02
b	2021	sam0016	Mutter_02
B.cell	513	sam0016	Mutter_02
Blood.endothelial	3620	sam0016	Mutter_02
BM.Neutrophil	2632	sam0016	Mutter_02
CD8.T.cell	9352	sam0016	Mutter_02
Colon.Treg.Nrplo	72	sam0016	Mutter_02
Dendritic	2764	sam0016	Mutter_02
DN2a	7	sam0016	Mutter_02
DN2b	6	sam0016	Mutter_02
DN3	20	sam0016	Mutter_02
DN4	18	sam0016	Mutter_02
Fibroblastic.reticular	3636	sam0016	Mutter_02
GC_centroblasts	24	sam0016	Mutter_02
GC_centrocyes	34	sam0016	Mutter_02
gdT	7716	sam0016	Mutter_02
ILC	1692	sam0016	Mutter_02
Ly6Chi.blood.monocytes	459	sam0016	Mutter_02
Ly6Clo.blood.monocytes	9504	sam0016	Mutter_02
Lymphatic.endothelial	806	sam0016	Mutter_02
Macrophage	1793	sam0016	Mutter_02
Memory.B	169	sam0016	Mutter_02
Microglia	197	sam0016	Mutter_02
NK	21	sam0016	Mutter_02
NKT	3127	sam0016	Mutter_02
PerC.macrophage	3021	sam0016	Mutter_02
Pericyte	6715	sam0016	Mutter_02
Plasma	193	sam0016	Mutter_02
Plasmablast	71	sam0016	Mutter_02
small.peritoneal.macs	495	sam0016	Mutter_02
Spleen.CD4Act.48hrs	48	sam0016	Mutter_02
Spleen.LN.Naive.CD4	4	sam0016	Mutter_02
Spleen.Naive.CD4	411	sam0016	Mutter_02
Spleen.Naive.CD8	2	sam0016	Mutter_02
spleen.red.pulp.macs	4731	sam0016	Mutter_02
Spleen.Treg	33	sam0016	Mutter_02
Stem.Prog	4564	sam0016	Mutter_02
Thio.induced.Peritoneal.Neutrophil	222	sam0016	Mutter_02
Thymic.4.8.CD3lo.DP	2684	sam0016	Mutter_02
Thymic.CD4SP	125	sam0016	Mutter_02
Thymic.CD8SP	80	sam0016	Mutter_02
Thymic.preT.DN1	1852	sam0016	Mutter_02
tumor_epithelial	4217	sam0016	Mutter_02
