cell_type	n	sample_id	dataset
a	36629	sam0001	Mutter_01
B.cell	912	sam0001	Mutter_01
Blood.endothelial	2917	sam0001	Mutter_01
BM.Neutrophil	394	sam0001	Mutter_01
CD8.T.cell	1958	sam0001	Mutter_01
Colon.Treg.Nrplo	351	sam0001	Mutter_01
Dendritic	1657	sam0001	Mutter_01
DN2a	15	sam0001	Mutter_01
DN2b	75	sam0001	Mutter_01
DN3	11	sam0001	Mutter_01
DN4	238	sam0001	Mutter_01
Fibroblastic.reticular	2028	sam0001	Mutter_01
GC_centroblasts	16	sam0001	Mutter_01
GC_centrocyes	3	sam0001	Mutter_01
gdT	13715	sam0001	Mutter_01
ILC	1004	sam0001	Mutter_01
ISP	10	sam0001	Mutter_01
Ly6Chi.blood.monocytes	2170	sam0001	Mutter_01
Ly6Clo.blood.monocytes	5424	sam0001	Mutter_01
Lymphatic.endothelial	5649	sam0001	Mutter_01
Macrophage	1262	sam0001	Mutter_01
Memory.B	304	sam0001	Mutter_01
Microglia	531	sam0001	Mutter_01
NK	70	sam0001	Mutter_01
NKT	1241	sam0001	Mutter_01
PerC.macrophage	752	sam0001	Mutter_01
Pericyte	11438	sam0001	Mutter_01
Plasma	13	sam0001	Mutter_01
Plasmablast	4	sam0001	Mutter_01
small.peritoneal.macs	435	sam0001	Mutter_01
Spleen.CD19	1	sam0001	Mutter_01
Spleen.CD4Act.48hrs	85	sam0001	Mutter_01
Spleen.LN.Naive.CD4	11	sam0001	Mutter_01
Spleen.Naive.CD4	2	sam0001	Mutter_01
Spleen.Naive.CD8	1	sam0001	Mutter_01
spleen.red.pulp.macs	2462	sam0001	Mutter_01
Spleen.Treg	73	sam0001	Mutter_01
Stem.Prog	8884	sam0001	Mutter_01
Thio.induced.Peritoneal.Neutrophil	191	sam0001	Mutter_01
Thymic.4.8.CD3lo.DP	1448	sam0001	Mutter_01
Thymic.CD4SP	248	sam0001	Mutter_01
Thymic.CD8SP	142	sam0001	Mutter_01
Thymic.preT.DN1	2507	sam0001	Mutter_01
tumor_epithelial	20118	sam0001	Mutter_01
