cell_type	n	sample_id	dataset
a	109233	sam0022	Mutter_02
b	4290	sam0022	Mutter_02
B.cell	458	sam0022	Mutter_02
Blood.endothelial	5567	sam0022	Mutter_02
BM.Neutrophil	251	sam0022	Mutter_02
CD8.T.cell	7992	sam0022	Mutter_02
Colon.Treg.Nrplo	94	sam0022	Mutter_02
Dendritic	2865	sam0022	Mutter_02
DN2a	12	sam0022	Mutter_02
DN2b	10	sam0022	Mutter_02
DN3	19	sam0022	Mutter_02
DN4	26	sam0022	Mutter_02
Fibroblastic.reticular	3208	sam0022	Mutter_02
GC_centroblasts	24	sam0022	Mutter_02
GC_centrocyes	38	sam0022	Mutter_02
gdT	7926	sam0022	Mutter_02
ILC	2086	sam0022	Mutter_02
ISP	5	sam0022	Mutter_02
Ly6Chi.blood.monocytes	346	sam0022	Mutter_02
Ly6Clo.blood.monocytes	9801	sam0022	Mutter_02
Lymphatic.endothelial	1120	sam0022	Mutter_02
Macrophage	2005	sam0022	Mutter_02
Memory.B	221	sam0022	Mutter_02
Microglia	246	sam0022	Mutter_02
NK	28	sam0022	Mutter_02
NKT	3420	sam0022	Mutter_02
PerC.macrophage	1857	sam0022	Mutter_02
Pericyte	7720	sam0022	Mutter_02
Plasma	309	sam0022	Mutter_02
Plasmablast	82	sam0022	Mutter_02
small.peritoneal.macs	379	sam0022	Mutter_02
Spleen.CD4Act.48hrs	38	sam0022	Mutter_02
Spleen.LN.Naive.CD4	16	sam0022	Mutter_02
Spleen.Naive.CD4	533	sam0022	Mutter_02
spleen.red.pulp.macs	4213	sam0022	Mutter_02
Spleen.Treg	46	sam0022	Mutter_02
Stem.Prog	4560	sam0022	Mutter_02
Thio.induced.Peritoneal.Neutrophil	203	sam0022	Mutter_02
Thymic.4.8.CD3lo.DP	2533	sam0022	Mutter_02
Thymic.CD4SP	144	sam0022	Mutter_02
Thymic.CD8SP	129	sam0022	Mutter_02
Thymic.preT.DN1	1729	sam0022	Mutter_02
tumor_epithelial	4262	sam0022	Mutter_02
