cell_type	n	sample_id	dataset
a	203993	sam0014	Mutter_02
b	7381	sam0014	Mutter_02
B.cell	651	sam0014	Mutter_02
Blood.endothelial	9871	sam0014	Mutter_02
BM.Neutrophil	718	sam0014	Mutter_02
CD8.T.cell	14056	sam0014	Mutter_02
Colon.Treg.Nrplo	125	sam0014	Mutter_02
Dendritic	6878	sam0014	Mutter_02
DN2a	20	sam0014	Mutter_02
DN2b	12	sam0014	Mutter_02
DN3	37	sam0014	Mutter_02
DN4	33	sam0014	Mutter_02
Fibroblastic.reticular	9546	sam0014	Mutter_02
GC_centroblasts	37	sam0014	Mutter_02
GC_centrocyes	73	sam0014	Mutter_02
gdT	14772	sam0014	Mutter_02
ILC	3814	sam0014	Mutter_02
ISP	2	sam0014	Mutter_02
Ly6Chi.blood.monocytes	679	sam0014	Mutter_02
Ly6Clo.blood.monocytes	17206	sam0014	Mutter_02
Lymphatic.endothelial	1924	sam0014	Mutter_02
Macrophage	3575	sam0014	Mutter_02
Memory.B	324	sam0014	Mutter_02
Microglia	326	sam0014	Mutter_02
NK	35	sam0014	Mutter_02
NKT	6368	sam0014	Mutter_02
PerC.macrophage	4961	sam0014	Mutter_02
Pericyte	15095	sam0014	Mutter_02
Plasma	340	sam0014	Mutter_02
Plasmablast	82	sam0014	Mutter_02
small.peritoneal.macs	751	sam0014	Mutter_02
Spleen.CD4Act.48hrs	60	sam0014	Mutter_02
Spleen.LN.Naive.CD4	10	sam0014	Mutter_02
Spleen.Naive.CD4	1616	sam0014	Mutter_02
Spleen.Naive.CD8	1	sam0014	Mutter_02
spleen.red.pulp.macs	9302	sam0014	Mutter_02
Spleen.Treg	80	sam0014	Mutter_02
Stem.Prog	8812	sam0014	Mutter_02
Thio.induced.Peritoneal.Neutrophil	311	sam0014	Mutter_02
Thymic.4.8.CD3lo.DP	4353	sam0014	Mutter_02
Thymic.CD4SP	140	sam0014	Mutter_02
Thymic.CD8SP	161	sam0014	Mutter_02
Thymic.preT.DN1	2171	sam0014	Mutter_02
tumor_epithelial	7407	sam0014	Mutter_02
