cell_type	n	sample_id	dataset
a	16415	sam0008	Mutter_01
B.cell	1234	sam0008	Mutter_01
Blood.endothelial	2786	sam0008	Mutter_01
BM.Neutrophil	636	sam0008	Mutter_01
CD8.T.cell	6571	sam0008	Mutter_01
Colon.Treg.Nrplo	313	sam0008	Mutter_01
Dendritic	6598	sam0008	Mutter_01
DN2a	38	sam0008	Mutter_01
DN2b	38	sam0008	Mutter_01
DN3	45	sam0008	Mutter_01
DN4	33	sam0008	Mutter_01
Fibroblastic.reticular	1004	sam0008	Mutter_01
GC_centroblasts	101	sam0008	Mutter_01
GC_centrocyes	29	sam0008	Mutter_01
gdT	6394	sam0008	Mutter_01
ILC	1998	sam0008	Mutter_01
ISP	16	sam0008	Mutter_01
Ly6Chi.blood.monocytes	714	sam0008	Mutter_01
Ly6Clo.blood.monocytes	16869	sam0008	Mutter_01
Lymphatic.endothelial	291	sam0008	Mutter_01
Macrophage	1386	sam0008	Mutter_01
Memory.B	956	sam0008	Mutter_01
Microglia	1357	sam0008	Mutter_01
NK	176	sam0008	Mutter_01
NKT	15059	sam0008	Mutter_01
PerC.macrophage	1044	sam0008	Mutter_01
Pericyte	8072	sam0008	Mutter_01
Plasma	54	sam0008	Mutter_01
Plasmablast	31	sam0008	Mutter_01
small.peritoneal.macs	825	sam0008	Mutter_01
Spleen.CD19	7	sam0008	Mutter_01
Spleen.CD4Act.48hrs	581	sam0008	Mutter_01
Spleen.LN.Naive.CD4	55	sam0008	Mutter_01
Spleen.Naive.CD4	4	sam0008	Mutter_01
Spleen.Naive.CD8	30	sam0008	Mutter_01
spleen.red.pulp.macs	6069	sam0008	Mutter_01
Spleen.Treg	258	sam0008	Mutter_01
Stem.Prog	5233	sam0008	Mutter_01
Thio.induced.Peritoneal.Neutrophil	283	sam0008	Mutter_01
Thymic.4.8.CD3lo.DP	3490	sam0008	Mutter_01
Thymic.CD4SP	751	sam0008	Mutter_01
Thymic.CD8SP	1708	sam0008	Mutter_01
Thymic.preT.DN1	6077	sam0008	Mutter_01
tumor_epithelial	1634	sam0008	Mutter_01
