cell_type	n	sample_id	dataset
a	55686	sam0021	Mutter_02
b	1771	sam0021	Mutter_02
B.cell	295	sam0021	Mutter_02
Blood.endothelial	1975	sam0021	Mutter_02
BM.Neutrophil	142	sam0021	Mutter_02
CD8.T.cell	10729	sam0021	Mutter_02
Colon.Treg.Nrplo	49	sam0021	Mutter_02
Dendritic	1432	sam0021	Mutter_02
DN2a	9	sam0021	Mutter_02
DN2b	4	sam0021	Mutter_02
DN3	9	sam0021	Mutter_02
DN4	16	sam0021	Mutter_02
Fibroblastic.reticular	1489	sam0021	Mutter_02
GC_centroblasts	22	sam0021	Mutter_02
GC_centrocyes	31	sam0021	Mutter_02
gdT	4462	sam0021	Mutter_02
ILC	926	sam0021	Mutter_02
ISP	1	sam0021	Mutter_02
Ly6Chi.blood.monocytes	224	sam0021	Mutter_02
Ly6Clo.blood.monocytes	3723	sam0021	Mutter_02
Lymphatic.endothelial	540	sam0021	Mutter_02
Macrophage	1318	sam0021	Mutter_02
Memory.B	104	sam0021	Mutter_02
Microglia	140	sam0021	Mutter_02
NK	21	sam0021	Mutter_02
NKT	1651	sam0021	Mutter_02
PerC.macrophage	848	sam0021	Mutter_02
Pericyte	3284	sam0021	Mutter_02
Plasma	228	sam0021	Mutter_02
Plasmablast	71	sam0021	Mutter_02
small.peritoneal.macs	222	sam0021	Mutter_02
Spleen.CD4Act.48hrs	19	sam0021	Mutter_02
Spleen.LN.Naive.CD4	7	sam0021	Mutter_02
Spleen.Naive.CD4	298	sam0021	Mutter_02
Spleen.Naive.CD8	5	sam0021	Mutter_02
spleen.red.pulp.macs	1613	sam0021	Mutter_02
Spleen.Treg	33	sam0021	Mutter_02
Stem.Prog	2471	sam0021	Mutter_02
Thio.induced.Peritoneal.Neutrophil	91	sam0021	Mutter_02
Thymic.4.8.CD3lo.DP	1046	sam0021	Mutter_02
Thymic.CD4SP	81	sam0021	Mutter_02
Thymic.CD8SP	76	sam0021	Mutter_02
Thymic.preT.DN1	1022	sam0021	Mutter_02
tumor_epithelial	2164	sam0021	Mutter_02
