cell_type	n	sample_id	dataset
a	168959	sam0012	Mutter_02
b	5804	sam0012	Mutter_02
B.cell	715	sam0012	Mutter_02
Blood.endothelial	5748	sam0012	Mutter_02
BM.Neutrophil	2283	sam0012	Mutter_02
CD8.T.cell	20054	sam0012	Mutter_02
Colon.Treg.Nrplo	120	sam0012	Mutter_02
Dendritic	4242	sam0012	Mutter_02
DN2a	13	sam0012	Mutter_02
DN2b	12	sam0012	Mutter_02
DN3	22	sam0012	Mutter_02
DN4	20	sam0012	Mutter_02
Fibroblastic.reticular	4937	sam0012	Mutter_02
GC_centroblasts	41	sam0012	Mutter_02
GC_centrocyes	98	sam0012	Mutter_02
gdT	12061	sam0012	Mutter_02
ILC	3321	sam0012	Mutter_02
ISP	1	sam0012	Mutter_02
Ly6Chi.blood.monocytes	555	sam0012	Mutter_02
Ly6Clo.blood.monocytes	14785	sam0012	Mutter_02
Lymphatic.endothelial	1396	sam0012	Mutter_02
Macrophage	3116	sam0012	Mutter_02
Memory.B	300	sam0012	Mutter_02
Microglia	307	sam0012	Mutter_02
NK	29	sam0012	Mutter_02
NKT	5418	sam0012	Mutter_02
PerC.macrophage	4246	sam0012	Mutter_02
Pericyte	9812	sam0012	Mutter_02
Plasma	540	sam0012	Mutter_02
Plasmablast	87	sam0012	Mutter_02
small.peritoneal.macs	478	sam0012	Mutter_02
Spleen.CD4Act.48hrs	35	sam0012	Mutter_02
Spleen.LN.Naive.CD4	9	sam0012	Mutter_02
Spleen.Naive.CD4	1040	sam0012	Mutter_02
spleen.red.pulp.macs	7631	sam0012	Mutter_02
Spleen.Treg	74	sam0012	Mutter_02
Stem.Prog	6987	sam0012	Mutter_02
Thio.induced.Peritoneal.Neutrophil	214	sam0012	Mutter_02
Thymic.4.8.CD3lo.DP	3872	sam0012	Mutter_02
Thymic.CD4SP	133	sam0012	Mutter_02
Thymic.CD8SP	143	sam0012	Mutter_02
Thymic.preT.DN1	1963	sam0012	Mutter_02
tumor_epithelial	6467	sam0012	Mutter_02
