cell_type	n	sample_id	dataset
a	1766	sam0009	Mutter_01
b	8135	sam0009	Mutter_01
B.cell	502	sam0009	Mutter_01
Blood.endothelial	3347	sam0009	Mutter_01
BM.Neutrophil	121	sam0009	Mutter_01
CD8.T.cell	26776	sam0009	Mutter_01
Colon.Treg.Nrplo	9	sam0009	Mutter_01
Dendritic	576	sam0009	Mutter_01
DN2a	19	sam0009	Mutter_01
DN2b	1	sam0009	Mutter_01
DN3	281	sam0009	Mutter_01
DN4	37	sam0009	Mutter_01
Fibroblastic.reticular	8605	sam0009	Mutter_01
GC_centroblasts	7	sam0009	Mutter_01
gdT	414	sam0009	Mutter_01
ILC	1735	sam0009	Mutter_01
ISP	20	sam0009	Mutter_01
Ly6Chi.blood.monocytes	32	sam0009	Mutter_01
Ly6Clo.blood.monocytes	364	sam0009	Mutter_01
Lymphatic.endothelial	5	sam0009	Mutter_01
Macrophage	1262	sam0009	Mutter_01
Memory.B	171	sam0009	Mutter_01
Microglia	169	sam0009	Mutter_01
NK	21	sam0009	Mutter_01
NKT	102	sam0009	Mutter_01
PerC.macrophage	60	sam0009	Mutter_01
Pericyte	254	sam0009	Mutter_01
Plasma	3	sam0009	Mutter_01
Plasmablast	4	sam0009	Mutter_01
small.peritoneal.macs	470	sam0009	Mutter_01
Spleen.CD19	1	sam0009	Mutter_01
Spleen.CD4Act.48hrs	14	sam0009	Mutter_01
Spleen.LN.Naive.CD4	6	sam0009	Mutter_01
Spleen.Naive.CD4	2166	sam0009	Mutter_01
Spleen.Naive.CD8	2	sam0009	Mutter_01
spleen.red.pulp.macs	557	sam0009	Mutter_01
Spleen.Treg	28	sam0009	Mutter_01
Stem.Prog	1198	sam0009	Mutter_01
Thio.induced.Peritoneal.Neutrophil	35	sam0009	Mutter_01
Thymic.4.8.CD3lo.DP	2491	sam0009	Mutter_01
Thymic.CD4SP	77	sam0009	Mutter_01
Thymic.CD8SP	18	sam0009	Mutter_01
Thymic.preT.DN1	191	sam0009	Mutter_01
tumor_epithelial	65	sam0009	Mutter_01
