cell_type	n	sample_id	dataset
a	111945	sam0015	Mutter_02
b	4341	sam0015	Mutter_02
B.cell	1623	sam0015	Mutter_02
Blood.endothelial	5504	sam0015	Mutter_02
BM.Neutrophil	987	sam0015	Mutter_02
CD8.T.cell	14055	sam0015	Mutter_02
Colon.Treg.Nrplo	113	sam0015	Mutter_02
Dendritic	2993	sam0015	Mutter_02
DN2a	11	sam0015	Mutter_02
DN2b	7	sam0015	Mutter_02
DN3	19	sam0015	Mutter_02
DN4	17	sam0015	Mutter_02
Fibroblastic.reticular	4546	sam0015	Mutter_02
GC_centroblasts	77	sam0015	Mutter_02
GC_centrocyes	255	sam0015	Mutter_02
gdT	9339	sam0015	Mutter_02
ILC	2718	sam0015	Mutter_02
ISP	4	sam0015	Mutter_02
Ly6Chi.blood.monocytes	425	sam0015	Mutter_02
Ly6Clo.blood.monocytes	14662	sam0015	Mutter_02
Lymphatic.endothelial	1042	sam0015	Mutter_02
Macrophage	2392	sam0015	Mutter_02
Memory.B	241	sam0015	Mutter_02
Microglia	236	sam0015	Mutter_02
NK	26	sam0015	Mutter_02
NKT	8052	sam0015	Mutter_02
PerC.macrophage	2621	sam0015	Mutter_02
Pericyte	6006	sam0015	Mutter_02
Plasma	825	sam0015	Mutter_02
Plasmablast	144	sam0015	Mutter_02
small.peritoneal.macs	315	sam0015	Mutter_02
Spleen.CD4Act.48hrs	37	sam0015	Mutter_02
Spleen.LN.Naive.CD4	21	sam0015	Mutter_02
Spleen.Naive.CD4	529	sam0015	Mutter_02
Spleen.Naive.CD8	1	sam0015	Mutter_02
spleen.red.pulp.macs	5981	sam0015	Mutter_02
Spleen.Treg	55	sam0015	Mutter_02
Stem.Prog	6061	sam0015	Mutter_02
Thio.induced.Peritoneal.Neutrophil	221	sam0015	Mutter_02
Thymic.4.8.CD3lo.DP	3020	sam0015	Mutter_02
Thymic.CD4SP	132	sam0015	Mutter_02
Thymic.CD8SP	142	sam0015	Mutter_02
Thymic.preT.DN1	2204	sam0015	Mutter_02
tumor_epithelial	5449	sam0015	Mutter_02
