cell_type	n	sample_id	dataset
a	52712	sam0020	Mutter_02
b	1928	sam0020	Mutter_02
B.cell	267	sam0020	Mutter_02
Blood.endothelial	2983	sam0020	Mutter_02
BM.Neutrophil	260	sam0020	Mutter_02
CD8.T.cell	3577	sam0020	Mutter_02
Colon.Treg.Nrplo	61	sam0020	Mutter_02
Dendritic	2174	sam0020	Mutter_02
DN2a	10	sam0020	Mutter_02
DN2b	6	sam0020	Mutter_02
DN3	16	sam0020	Mutter_02
DN4	10	sam0020	Mutter_02
Fibroblastic.reticular	2598	sam0020	Mutter_02
GC_centroblasts	11	sam0020	Mutter_02
GC_centrocyes	21	sam0020	Mutter_02
gdT	4129	sam0020	Mutter_02
ILC	1054	sam0020	Mutter_02
ISP	1	sam0020	Mutter_02
Ly6Chi.blood.monocytes	225	sam0020	Mutter_02
Ly6Clo.blood.monocytes	5332	sam0020	Mutter_02
Lymphatic.endothelial	598	sam0020	Mutter_02
Macrophage	1084	sam0020	Mutter_02
Memory.B	122	sam0020	Mutter_02
Microglia	137	sam0020	Mutter_02
NK	17	sam0020	Mutter_02
NKT	1868	sam0020	Mutter_02
PerC.macrophage	1672	sam0020	Mutter_02
Pericyte	4356	sam0020	Mutter_02
Plasma	164	sam0020	Mutter_02
Plasmablast	63	sam0020	Mutter_02
small.peritoneal.macs	221	sam0020	Mutter_02
Spleen.CD4Act.48hrs	20	sam0020	Mutter_02
Spleen.LN.Naive.CD4	6	sam0020	Mutter_02
Spleen.Naive.CD4	262	sam0020	Mutter_02
Spleen.Naive.CD8	1	sam0020	Mutter_02
spleen.red.pulp.macs	2730	sam0020	Mutter_02
Spleen.Treg	22	sam0020	Mutter_02
Stem.Prog	2434	sam0020	Mutter_02
Thio.induced.Peritoneal.Neutrophil	107	sam0020	Mutter_02
Thymic.4.8.CD3lo.DP	1058	sam0020	Mutter_02
Thymic.CD4SP	60	sam0020	Mutter_02
Thymic.CD8SP	87	sam0020	Mutter_02
Thymic.preT.DN1	852	sam0020	Mutter_02
tumor_epithelial	2226	sam0020	Mutter_02
