cell_type	n	sample_id	dataset
a	58550	sam0017	Mutter_02
b	2129	sam0017	Mutter_02
B.cell	260	sam0017	Mutter_02
Blood.endothelial	2651	sam0017	Mutter_02
BM.Neutrophil	163	sam0017	Mutter_02
CD8.T.cell	4958	sam0017	Mutter_02
Colon.Treg.Nrplo	67	sam0017	Mutter_02
Dendritic	1978	sam0017	Mutter_02
DN2a	7	sam0017	Mutter_02
DN2b	9	sam0017	Mutter_02
DN3	13	sam0017	Mutter_02
DN4	15	sam0017	Mutter_02
Fibroblastic.reticular	2599	sam0017	Mutter_02
GC_centroblasts	12	sam0017	Mutter_02
GC_centrocyes	22	sam0017	Mutter_02
gdT	4804	sam0017	Mutter_02
ILC	1009	sam0017	Mutter_02
ISP	2	sam0017	Mutter_02
Ly6Chi.blood.monocytes	213	sam0017	Mutter_02
Ly6Clo.blood.monocytes	4813	sam0017	Mutter_02
Lymphatic.endothelial	670	sam0017	Mutter_02
Macrophage	1248	sam0017	Mutter_02
Memory.B	100	sam0017	Mutter_02
Microglia	126	sam0017	Mutter_02
NK	25	sam0017	Mutter_02
NKT	2023	sam0017	Mutter_02
PerC.macrophage	1637	sam0017	Mutter_02
Pericyte	4042	sam0017	Mutter_02
Plasma	114	sam0017	Mutter_02
Plasmablast	37	sam0017	Mutter_02
small.peritoneal.macs	203	sam0017	Mutter_02
Spleen.CD4Act.48hrs	27	sam0017	Mutter_02
Spleen.LN.Naive.CD4	4	sam0017	Mutter_02
Spleen.Naive.CD4	237	sam0017	Mutter_02
Spleen.Naive.CD8	1	sam0017	Mutter_02
spleen.red.pulp.macs	2621	sam0017	Mutter_02
Spleen.Treg	27	sam0017	Mutter_02
Stem.Prog	2818	sam0017	Mutter_02
Thio.induced.Peritoneal.Neutrophil	134	sam0017	Mutter_02
Thymic.4.8.CD3lo.DP	1283	sam0017	Mutter_02
Thymic.CD4SP	68	sam0017	Mutter_02
Thymic.CD8SP	70	sam0017	Mutter_02
Thymic.preT.DN1	961	sam0017	Mutter_02
tumor_epithelial	2636	sam0017	Mutter_02
