cell_type	n	sample_id	dataset
a	51042	sam0018	Mutter_02
b	1764	sam0018	Mutter_02
B.cell	262	sam0018	Mutter_02
Blood.endothelial	1979	sam0018	Mutter_02
BM.Neutrophil	143	sam0018	Mutter_02
CD8.T.cell	3953	sam0018	Mutter_02
Colon.Treg.Nrplo	50	sam0018	Mutter_02
Dendritic	1408	sam0018	Mutter_02
DN2a	6	sam0018	Mutter_02
DN2b	1	sam0018	Mutter_02
DN3	9	sam0018	Mutter_02
DN4	19	sam0018	Mutter_02
Fibroblastic.reticular	1341	sam0018	Mutter_02
GC_centroblasts	18	sam0018	Mutter_02
GC_centrocyes	26	sam0018	Mutter_02
gdT	3658	sam0018	Mutter_02
ILC	701	sam0018	Mutter_02
Ly6Chi.blood.monocytes	185	sam0018	Mutter_02
Ly6Clo.blood.monocytes	3493	sam0018	Mutter_02
Lymphatic.endothelial	436	sam0018	Mutter_02
Macrophage	960	sam0018	Mutter_02
Memory.B	111	sam0018	Mutter_02
Microglia	116	sam0018	Mutter_02
NK	11	sam0018	Mutter_02
NKT	1400	sam0018	Mutter_02
PerC.macrophage	1001	sam0018	Mutter_02
Pericyte	3801	sam0018	Mutter_02
Plasma	224	sam0018	Mutter_02
Plasmablast	58	sam0018	Mutter_02
small.peritoneal.macs	159	sam0018	Mutter_02
Spleen.CD4Act.48hrs	30	sam0018	Mutter_02
Spleen.LN.Naive.CD4	10	sam0018	Mutter_02
Spleen.Naive.CD4	349	sam0018	Mutter_02
spleen.red.pulp.macs	1967	sam0018	Mutter_02
Spleen.Treg	35	sam0018	Mutter_02
Stem.Prog	2309	sam0018	Mutter_02
Thio.induced.Peritoneal.Neutrophil	82	sam0018	Mutter_02
Thymic.4.8.CD3lo.DP	1092	sam0018	Mutter_02
Thymic.CD4SP	78	sam0018	Mutter_02
Thymic.CD8SP	76	sam0018	Mutter_02
Thymic.preT.DN1	859	sam0018	Mutter_02
tumor_epithelial	1996	sam0018	Mutter_02
