cell_type	n	sample_id	dataset
a	86781	sam0006	Mutter_01
B.cell	1802	sam0006	Mutter_01
Blood.endothelial	2660	sam0006	Mutter_01
BM.Neutrophil	585	sam0006	Mutter_01
CD8.T.cell	992	sam0006	Mutter_01
Colon.Treg.Nrplo	691	sam0006	Mutter_01
Dendritic	560	sam0006	Mutter_01
DN2a	69	sam0006	Mutter_01
DN2b	59	sam0006	Mutter_01
DN3	66	sam0006	Mutter_01
DN4	117	sam0006	Mutter_01
Fibroblastic.reticular	649	sam0006	Mutter_01
GC_centroblasts	22	sam0006	Mutter_01
GC_centrocyes	6	sam0006	Mutter_01
gdT	7671	sam0006	Mutter_01
ILC	2515	sam0006	Mutter_01
ISP	24	sam0006	Mutter_01
Ly6Chi.blood.monocytes	637	sam0006	Mutter_01
Ly6Clo.blood.monocytes	6126	sam0006	Mutter_01
Lymphatic.endothelial	2039	sam0006	Mutter_01
Macrophage	878	sam0006	Mutter_01
Memory.B	493	sam0006	Mutter_01
Microglia	778	sam0006	Mutter_01
NK	95	sam0006	Mutter_01
NKT	1601	sam0006	Mutter_01
PerC.macrophage	681	sam0006	Mutter_01
Pericyte	3738	sam0006	Mutter_01
Plasma	26	sam0006	Mutter_01
Plasmablast	8	sam0006	Mutter_01
small.peritoneal.macs	51	sam0006	Mutter_01
Spleen.CD19	1	sam0006	Mutter_01
Spleen.CD4Act.48hrs	195	sam0006	Mutter_01
Spleen.LN.Naive.CD4	44	sam0006	Mutter_01
Spleen.Naive.CD4	4	sam0006	Mutter_01
Spleen.Naive.CD8	11	sam0006	Mutter_01
spleen.red.pulp.macs	1401	sam0006	Mutter_01
Spleen.Treg	187	sam0006	Mutter_01
Stem.Prog	14081	sam0006	Mutter_01
Thio.induced.Peritoneal.Neutrophil	550	sam0006	Mutter_01
Thymic.4.8.CD3lo.DP	3509	sam0006	Mutter_01
Thymic.CD4SP	734	sam0006	Mutter_01
Thymic.CD8SP	343	sam0006	Mutter_01
Thymic.preT.DN1	6271	sam0006	Mutter_01
tumor_epithelial	16412	sam0006	Mutter_01
