cell_type	n	sample_id	dataset
a	108109	sam0013	Mutter_02
b	4435	sam0013	Mutter_02
B.cell	570	sam0013	Mutter_02
Blood.endothelial	4691	sam0013	Mutter_02
BM.Neutrophil	3250	sam0013	Mutter_02
CD8.T.cell	14300	sam0013	Mutter_02
Colon.Treg.Nrplo	96	sam0013	Mutter_02
Dendritic	4207	sam0013	Mutter_02
DN2a	15	sam0013	Mutter_02
DN2b	15	sam0013	Mutter_02
DN3	18	sam0013	Mutter_02
DN4	22	sam0013	Mutter_02
Fibroblastic.reticular	5686	sam0013	Mutter_02
GC_centroblasts	27	sam0013	Mutter_02
GC_centrocyes	59	sam0013	Mutter_02
gdT	9922	sam0013	Mutter_02
ILC	2620	sam0013	Mutter_02
ISP	1	sam0013	Mutter_02
Ly6Chi.blood.monocytes	618	sam0013	Mutter_02
Ly6Clo.blood.monocytes	13645	sam0013	Mutter_02
Lymphatic.endothelial	1229	sam0013	Mutter_02
Macrophage	2682	sam0013	Mutter_02
Memory.B	257	sam0013	Mutter_02
Microglia	298	sam0013	Mutter_02
NK	33	sam0013	Mutter_02
NKT	4412	sam0013	Mutter_02
PerC.macrophage	5179	sam0013	Mutter_02
Pericyte	8937	sam0013	Mutter_02
Plasma	401	sam0013	Mutter_02
Plasmablast	85	sam0013	Mutter_02
small.peritoneal.macs	545	sam0013	Mutter_02
Spleen.CD4Act.48hrs	42	sam0013	Mutter_02
Spleen.LN.Naive.CD4	12	sam0013	Mutter_02
Spleen.Naive.CD4	627	sam0013	Mutter_02
Spleen.Naive.CD8	3	sam0013	Mutter_02
spleen.red.pulp.macs	7669	sam0013	Mutter_02
Spleen.Treg	45	sam0013	Mutter_02
Stem.Prog	5729	sam0013	Mutter_02
Thio.induced.Peritoneal.Neutrophil	233	sam0013	Mutter_02
Thymic.4.8.CD3lo.DP	4265	sam0013	Mutter_02
Thymic.CD4SP	106	sam0013	Mutter_02
Thymic.CD8SP	139	sam0013	Mutter_02
Thymic.preT.DN1	2109	sam0013	Mutter_02
tumor_epithelial	4882	sam0013	Mutter_02
