cell_type	n	sample_id	dataset
a	2511	sam0010	Mutter_01
b	4319	sam0010	Mutter_01
B.cell	655	sam0010	Mutter_01
Blood.endothelial	3436	sam0010	Mutter_01
BM.Neutrophil	221	sam0010	Mutter_01
CD8.T.cell	21780	sam0010	Mutter_01
Colon.Treg.Nrplo	22	sam0010	Mutter_01
Dendritic	869	sam0010	Mutter_01
DN2a	17	sam0010	Mutter_01
DN2b	6	sam0010	Mutter_01
DN3	204	sam0010	Mutter_01
DN4	31	sam0010	Mutter_01
Fibroblastic.reticular	6940	sam0010	Mutter_01
GC_centroblasts	6	sam0010	Mutter_01
GC_centrocyes	2	sam0010	Mutter_01
gdT	577	sam0010	Mutter_01
ILC	1382	sam0010	Mutter_01
ISP	21	sam0010	Mutter_01
Ly6Chi.blood.monocytes	21	sam0010	Mutter_01
Ly6Clo.blood.monocytes	643	sam0010	Mutter_01
Lymphatic.endothelial	6	sam0010	Mutter_01
Macrophage	837	sam0010	Mutter_01
Memory.B	290	sam0010	Mutter_01
Microglia	278	sam0010	Mutter_01
NK	33	sam0010	Mutter_01
NKT	135	sam0010	Mutter_01
PerC.macrophage	26	sam0010	Mutter_01
Pericyte	205	sam0010	Mutter_01
Plasma	12	sam0010	Mutter_01
Plasmablast	5	sam0010	Mutter_01
small.peritoneal.macs	333	sam0010	Mutter_01
Spleen.CD19	1	sam0010	Mutter_01
Spleen.CD4Act.48hrs	9	sam0010	Mutter_01
Spleen.LN.Naive.CD4	12	sam0010	Mutter_01
Spleen.Naive.CD4	669	sam0010	Mutter_01
Spleen.Naive.CD8	6	sam0010	Mutter_01
spleen.red.pulp.macs	550	sam0010	Mutter_01
Spleen.Treg	34	sam0010	Mutter_01
Stem.Prog	1021	sam0010	Mutter_01
Thio.induced.Peritoneal.Neutrophil	58	sam0010	Mutter_01
Thymic.4.8.CD3lo.DP	4251	sam0010	Mutter_01
Thymic.CD4SP	128	sam0010	Mutter_01
Thymic.CD8SP	27	sam0010	Mutter_01
Thymic.preT.DN1	260	sam0010	Mutter_01
tumor_epithelial	49	sam0010	Mutter_01
