cell_type	n	sample_id	dataset
a	32997	sam0004	Mutter_01
b	43	sam0004	Mutter_01
B.cell	1053	sam0004	Mutter_01
Blood.endothelial	3524	sam0004	Mutter_01
BM.Neutrophil	2160	sam0004	Mutter_01
CD8.T.cell	1021	sam0004	Mutter_01
Colon.Treg.Nrplo	717	sam0004	Mutter_01
Dendritic	2382	sam0004	Mutter_01
DN2a	58	sam0004	Mutter_01
DN2b	32	sam0004	Mutter_01
DN3	44	sam0004	Mutter_01
DN4	47	sam0004	Mutter_01
Fibroblastic.reticular	2514	sam0004	Mutter_01
GC_centroblasts	23	sam0004	Mutter_01
GC_centrocyes	9	sam0004	Mutter_01
gdT	8041	sam0004	Mutter_01
ILC	7468	sam0004	Mutter_01
ISP	8	sam0004	Mutter_01
Ly6Chi.blood.monocytes	2499	sam0004	Mutter_01
Ly6Clo.blood.monocytes	9210	sam0004	Mutter_01
Lymphatic.endothelial	1699	sam0004	Mutter_01
Macrophage	6222	sam0004	Mutter_01
Memory.B	507	sam0004	Mutter_01
Microglia	922	sam0004	Mutter_01
NK	144	sam0004	Mutter_01
NKT	1543	sam0004	Mutter_01
PerC.macrophage	7649	sam0004	Mutter_01
Pericyte	7512	sam0004	Mutter_01
Plasma	284	sam0004	Mutter_01
Plasmablast	108	sam0004	Mutter_01
small.peritoneal.macs	1216	sam0004	Mutter_01
Spleen.CD19	1	sam0004	Mutter_01
Spleen.CD4Act.48hrs	157	sam0004	Mutter_01
Spleen.LN.Naive.CD4	32	sam0004	Mutter_01
Spleen.Naive.CD4	4	sam0004	Mutter_01
Spleen.Naive.CD8	8	sam0004	Mutter_01
spleen.red.pulp.macs	7363	sam0004	Mutter_01
Spleen.Treg	122	sam0004	Mutter_01
Stem.Prog	8453	sam0004	Mutter_01
Thio.induced.Peritoneal.Neutrophil	1967	sam0004	Mutter_01
Thymic.4.8.CD3lo.DP	2518	sam0004	Mutter_01
Thymic.CD4SP	391	sam0004	Mutter_01
Thymic.CD8SP	210	sam0004	Mutter_01
Thymic.preT.DN1	2545	sam0004	Mutter_01
tumor_epithelial	5841	sam0004	Mutter_01
