cell_type	n	sample_id	dataset
a	74866	sam0003	Mutter_01
b	66	sam0003	Mutter_01
B.cell	1775	sam0003	Mutter_01
Blood.endothelial	3239	sam0003	Mutter_01
BM.Neutrophil	618	sam0003	Mutter_01
CD8.T.cell	1212	sam0003	Mutter_01
Colon.Treg.Nrplo	853	sam0003	Mutter_01
Dendritic	1100	sam0003	Mutter_01
DN2a	56	sam0003	Mutter_01
DN2b	73	sam0003	Mutter_01
DN3	57	sam0003	Mutter_01
DN4	189	sam0003	Mutter_01
Fibroblastic.reticular	743	sam0003	Mutter_01
GC_centroblasts	29	sam0003	Mutter_01
GC_centrocyes	4	sam0003	Mutter_01
gdT	10689	sam0003	Mutter_01
ILC	4236	sam0003	Mutter_01
ISP	25	sam0003	Mutter_01
Ly6Chi.blood.monocytes	1385	sam0003	Mutter_01
Ly6Clo.blood.monocytes	9018	sam0003	Mutter_01
Lymphatic.endothelial	1307	sam0003	Mutter_01
Macrophage	1960	sam0003	Mutter_01
Memory.B	447	sam0003	Mutter_01
Microglia	811	sam0003	Mutter_01
NK	90	sam0003	Mutter_01
NKT	2093	sam0003	Mutter_01
PerC.macrophage	2602	sam0003	Mutter_01
Pericyte	6961	sam0003	Mutter_01
Plasma	30	sam0003	Mutter_01
Plasmablast	6	sam0003	Mutter_01
small.peritoneal.macs	192	sam0003	Mutter_01
Spleen.CD19	1	sam0003	Mutter_01
Spleen.CD4Act.48hrs	251	sam0003	Mutter_01
Spleen.LN.Naive.CD4	36	sam0003	Mutter_01
Spleen.Naive.CD4	3	sam0003	Mutter_01
Spleen.Naive.CD8	10	sam0003	Mutter_01
spleen.red.pulp.macs	3761	sam0003	Mutter_01
Spleen.Treg	177	sam0003	Mutter_01
Stem.Prog	12525	sam0003	Mutter_01
Thio.induced.Peritoneal.Neutrophil	1002	sam0003	Mutter_01
Thymic.4.8.CD3lo.DP	2520	sam0003	Mutter_01
Thymic.CD4SP	608	sam0003	Mutter_01
Thymic.CD8SP	288	sam0003	Mutter_01
Thymic.preT.DN1	5077	sam0003	Mutter_01
tumor_epithelial	15095	sam0003	Mutter_01
