cell_type	n	sample_id	dataset
a	217650	sam0023	Mutter_02
b	8059	sam0023	Mutter_02
B.cell	666	sam0023	Mutter_02
Blood.endothelial	10244	sam0023	Mutter_02
BM.Neutrophil	451	sam0023	Mutter_02
CD8.T.cell	14197	sam0023	Mutter_02
Colon.Treg.Nrplo	113	sam0023	Mutter_02
Dendritic	6972	sam0023	Mutter_02
DN2a	14	sam0023	Mutter_02
DN2b	16	sam0023	Mutter_02
DN3	31	sam0023	Mutter_02
DN4	46	sam0023	Mutter_02
Fibroblastic.reticular	8938	sam0023	Mutter_02
GC_centroblasts	49	sam0023	Mutter_02
GC_centrocyes	69	sam0023	Mutter_02
gdT	14027	sam0023	Mutter_02
ILC	3540	sam0023	Mutter_02
ISP	3	sam0023	Mutter_02
Ly6Chi.blood.monocytes	965	sam0023	Mutter_02
Ly6Clo.blood.monocytes	17048	sam0023	Mutter_02
Lymphatic.endothelial	1679	sam0023	Mutter_02
Macrophage	3365	sam0023	Mutter_02
Memory.B	248	sam0023	Mutter_02
Microglia	286	sam0023	Mutter_02
NK	38	sam0023	Mutter_02
NKT	5800	sam0023	Mutter_02
PerC.macrophage	5628	sam0023	Mutter_02
Pericyte	18053	sam0023	Mutter_02
Plasma	539	sam0023	Mutter_02
Plasmablast	105	sam0023	Mutter_02
small.peritoneal.macs	601	sam0023	Mutter_02
Spleen.CD4Act.48hrs	56	sam0023	Mutter_02
Spleen.LN.Naive.CD4	15	sam0023	Mutter_02
Spleen.Naive.CD4	1119	sam0023	Mutter_02
Spleen.Naive.CD8	1	sam0023	Mutter_02
spleen.red.pulp.macs	9494	sam0023	Mutter_02
Spleen.Treg	61	sam0023	Mutter_02
Stem.Prog	8244	sam0023	Mutter_02
Thio.induced.Peritoneal.Neutrophil	349	sam0023	Mutter_02
Thymic.4.8.CD3lo.DP	4598	sam0023	Mutter_02
Thymic.CD4SP	149	sam0023	Mutter_02
Thymic.CD8SP	165	sam0023	Mutter_02
Thymic.preT.DN1	2247	sam0023	Mutter_02
tumor_epithelial	9117	sam0023	Mutter_02
